xi,sequence,role,T_MeV,anchor_T_MeV,step_MeV,direction
0.5,1,high_extension_1,107.125,107.0625,0.0625,high
0.5,2,high_extension_2,107.1875,107.0625,0.0625,high
0.5,3,high_extension_3,107.25,107.0625,0.0625,high
