xi,mu_MeV,T_crossover_MeV,rho,method,converged,derivative,variable,curve_parameter,plot_order_key
-0.3,0.0,189.88894258381163,0.0,peak,true,13.25930942997405,phi_u,0.0,0.0
-0.3,16.35147747478301,189.68735308980263,0.2971341110886106,peak,true,13.286109772858119,phi_u,16.35147747478301,16.35147747478301
-0.3,32.70295494956602,189.0649639846413,0.5895803733177178,peak,true,13.36858841757958,phi_u,32.70295494956602,32.70295494956602
-0.3,49.05443242434903,188.01868837386087,0.8724247088927646,peak,true,13.513317812143246,phi_u,49.05443242434903,49.05443242434903
-0.3,65.40590989913204,186.55851565779508,1.1414614922513255,peak,true,13.732312517346333,phi_u,65.40590989913204,65.40590989913204
-0.3,81.75738737391505,184.66519575270993,1.3914797158033347,peak,true,14.044924034128137,phi_u,81.75738737391505,81.75738737391505
-0.3,98.10886484869806,182.34798934200563,1.6188711575185635,peak,true,14.481293732265284,phi_u,98.10886484869806,98.10886484869806
-0.3,114.46034232348109,179.58147255301452,1.8179227891838154,peak,true,15.088518681473808,phi_u,114.46034232348109,114.46034232348109
-0.3,130.81181979826408,176.37109045773664,1.9853578561750889,peak,true,15.942151179629818,phi_u,130.81181979826408,130.81181979826408
-0.3,147.16329727304708,172.71448487863879,2.118005662545397,peak,true,17.169101464149144,phi_u,147.16329727304708,147.16329727304708
-0.3,163.5147747478301,168.59857952092023,2.2118682929397746,peak,true,18.99733910884998,phi_u,163.5147747478301,163.5147747478301
-0.3,179.8662522226131,164.0395375738485,2.2681506108268272,peak,true,21.87847187605684,phi_u,179.8662522226131,179.8662522226131
-0.3,196.21772969739612,159.02046713122252,2.2855039401742268,peak,true,26.851934129749118,phi_u,196.21772969739612,196.21772969739612
-0.3,212.56920717217912,153.5390100155092,2.270880865804214,peak,true,36.99723080529036,phi_u,212.56920717217912,212.56920717217912
-0.3,228.92068464696217,147.52978475270555,2.2303645314264866,peak,true,67.61933479123952,phi_u,228.92068464696217,228.92068464696217
-0.3,245.27216212174514,140.84241395260457,2.2552310406761937,peak,true,1294.6947614430028,phi_u,245.27216212174514,245.27216212174514
0.0,0.0,200.15640379304457,0.0,peak,true,9.717598737924988,phi_u,0.0,0.0
0.0,19.41370096438001,199.87771779823203,0.3489749163944946,peak,true,9.731190790211059,phi_u,19.41370096438001,19.41370096438001
0.0,38.82740192876002,199.02347622586856,0.690971764053174,peak,true,9.77341364388057,phi_u,38.82740192876002,38.82740192876002
0.0,58.24110289314003,197.59715183222937,1.0191122599422284,peak,true,9.848802697117286,phi_u,58.24110289314003,58.24110289314003
0.0,77.65480385752004,195.59874461731437,1.3268904071210534,peak,true,9.96572772906209,phi_u,77.65480385752004,77.65480385752004
0.0,97.06850482190005,193.0031254806476,1.6069712324349283,peak,true,10.137805001170571,phi_u,97.06850482190005,97.06850482190005
0.0,116.48220578628006,189.7878182714779,1.8518084101003351,peak,true,10.386536441515625,phi_u,116.48220578628006,116.48220578628006
0.0,135.8959067506601,185.95282298980533,2.055483429103839,peak,true,10.746074717627238,phi_u,135.8959067506601,135.8959067506601
0.0,155.30960771504007,181.4764832914289,2.211120920919743,peak,true,11.272157773260885,phi_u,155.30960771504007,155.30960771504007
