# y_unit.tau_ubar: fm
# y_unit.tau_u: fm
# script: scripts/relaxtime/scan_relaxation_times_vs_T.jl
# schema: scan_csv_v1
# y_unit.tau_sbar: fm
# y_unit.tauinv_s: 1/fm
# y_unit.tauinv_ubar: 1/fm
# x_unit: MeV
# y_scale.tau_s: log
# y_scale.tau_sbar: log
# y_unit.tau_s: fm
# y_unit.tauinv_sbar: 1/fm
# title: relaxation_times_vs_T
# y_unit.tauinv_u: 1/fm
# y_scale.tau_u: log
# y_scale.tau_ubar: log
# x_label: T
T_MeV,muB_MeV,muq_MeV,xi,T_fm,muq_fm,converged,iterations,residual_norm,Phi,Phibar,m_u,m_s,n_u,n_s,n_ubar,n_sbar,tau_u,tau_s,tau_ubar,tau_sbar,tauinv_u,tauinv_s,tauinv_ubar,tauinv_sbar,tau_p_nodes,tau_angle_nodes,tau_phi_nodes,tau_n_sigma_points,sigma_grid_n,p_cut_factor
150.0,0.0,0.0,0.0,0.7601595321471466,0.0,true,7,5.830186333710685e-11,0.05305368576330831,0.05305368576330831,1.8441939876059654,2.7728255717399173,0.005965926423510171,0.0025682156636541824,0.005965926423510171,0.0025682156636541824,208.07139608805207,209.93543847545624,169.79764447588417,205.22345782099993,0.004806042631524508,0.004763369192271514,0.005889363206932043,0.0048727373109180355,6,2,6,6,12,8.0
151.0,0.0,0.0,0.0,0.7652272623614609,0.0,true,3,8.170547571850761e-16,0.055895920307647014,0.055895920307647014,1.8425872992082941,2.7718037185714888,0.006482912209290409,0.0028103519207274556,0.006482912209290409,0.0028103519207274556,191.08778520216313,192.65943992991043,155.92366761504147,188.15061269098535,0.005233196873060413,0.005190506109453034,0.006413394549369445,0.005314891010439488,6,2,6,6,12,8.0
152.0,0.0,0.0,0.0,0.7702949925757753,0.0,true,3,6.973588373426765e-16,0.0589320678812125,0.0589320678812125,1.8408332201061368,2.7706868615092186,0.007048134178588335,0.0030764905934514654,0.007048134178588335,0.0030764905934514654,175.39845974333764,176.70032306940405,143.10643068856092,172.41102350384955,0.005701304341345473,0.005659299217054751,0.006987806174666433,0.005800093170827168,6,2,6,6,12,8.0
