# production_case: first_canonical_v1_p128_xi005_validated_anchored_prod_v1
# source_candidate_case: first_canonical_v1_match_validated_anchored_plus5_candidate_p128_a20_phi36_ns24_g560
# source_sharded_action_runs: see ../../first_canonical_v1_p128_xi005_validated_anchored_prod_v1_convergence/download_manifest.csv
# git_commit: c3f25dde5c9e62e7a3ebcd8ed50aef2b53377c0f
# script: scripts/relaxtime/run_phase_guided_transport_scan.jl
# source_csv: data/outputs/results/relaxtime/transport/phase_guided/mode_a_fixed_muB_phase_scaled/first_canonical_v1_p128_xi005_validated_anchored_prod_v1/phase_guided_transport_scan.csv
# title: phase_guided_transport_scan_channel_diagnostics
T_MeV,muq_MeV,muB_MeV,xi,species,channel,density_key,multiplicity,density,rate,contribution,total,tau_inv_species,equilibrium_backend,phase_curr,phase_structure
125.06991551004262,300.0,900.0,-0.5,d,ud_to_ud,d,1.0,0.9818122660363865,0.07271940325086167,0.07139680209054226,0.1889968588233268,0.18899685882332684,models,quark,first_order_possible
125.06991551004262,300.0,900.0,-0.5,d,udbar_to_udbar,dbar,1.0,0.00802274772383254,1.3543909397397709,0.010865936828976661,0.1889968588233268,0.18899685882332684,models,quark,first_order_possible
125.06991551004262,300.0,900.0,-0.5,d,us_to_us,s,1.0,0.20729129160712848,0.1419499678849536,0.029424992186462436,0.1889968588233268,0.18899685882332684,models,quark,first_order_possible
125.06991551004262,300.0,900.0,-0.5,d,usbar_to_usbar,sbar,1.0,0.0016656392364780023,0.3586739278037749,0.0005974213672516458,0.1889968588233268,0.18899685882332684,models,quark,first_order_possible
125.06991551004262,300.0,900.0,-0.5,d,uu_to_uu,d,1.0,0.9818122660363865,0.06524000801965046,0.06405344011000505,0.1889968588233268,0.18899685882332684,models,quark,first_order_possible
125.06991551004262,300.0,900.0,-0.5,d,uubar_to_ddbar,dbar,1.0,0.00802274772383254,0.7234583025583896,0.005804123450138073,0.1889968588233268,0.18899685882332684,models,quark,first_order_possible
125.06991551004262,300.0,900.0,-0.5,d,uubar_to_ssbar,dbar,1.0,0.00802274772383254,0.015916993107315,0.00012769802022196964,0.1889968588233268,0.18899685882332684,models,quark,first_order_possible
125.06991551004262,300.0,900.0,-0.5,d,uubar_to_uubar,dbar,1.0,0.00802274772383254,0.8384215734151812,0.0067264447697287415,0.1889968588233268,0.18899685882332684,models,quark,first_order_possible
125.06991551004262,300.0,900.0,-0.5,dbar,dubar_to_dubar,d,1.0,0.9818122660363865,1.3543909397397704,1.329757637645055,3.1559159083443187,3.1559159083443187,models,quark,first_order_possible
125.06991551004262,300.0,900.0,-0.5,dbar,subar_to_subar,s,1.0,0.20729129160712848,1.3108831077369218,0.27173465254875306,3.1559159083443187,3.1559159083443187,models,quark,first_order_possible
