xi,candidate_result_status,reference_result_status,candidate_bracket_width_T_MeV,reference_bracket_width_T_MeV,candidate_ambiguity_width_T_MeV,reference_ambiguity_width_T_MeV,candidate_endpoint_resolution_MeV,reference_endpoint_resolution_MeV,candidate_bracket_pass,reference_bracket_pass
-0.5,ambiguous,ambiguous,0.0625,0.0625,0.0625,0.0625,0.1,0.1,True,True
-0.45,ambiguous,ambiguous,0.0625,0.0625,0.0625,0.0625,0.1,0.1,True,True
-0.4,ambiguous,ambiguous,0.0625,0.0625,0.0625,0.0625,0.1,0.1,True,True
-0.35,ambiguous,ambiguous,0.0625,0.0625,0.0625,0.0625,0.1,0.1,True,True
-0.3,ambiguous,ambiguous,0.0625,0.0625,0.0625,0.0625,0.1,0.1,True,True
-0.25,ambiguous,ambiguous,0.0625,0.0625,0.0625,0.0625,0.1,0.1,True,True
-0.2,ambiguous,ambiguous,0.0625,0.0625,0.0625,0.0625,0.1,0.1,True,True
-0.15,ambiguous,ambiguous,0.0625,0.0625,0.0625,0.0625,0.1,0.1,True,True
-0.1,ambiguous,ambiguous,0.0625,0.0625,0.0625,0.0625,0.1,0.1,True,True
-0.05,ambiguous,ambiguous,0.0625,0.0625,0.0625,0.0625,0.1,0.1,True,True
0.0,ambiguous,ambiguous,0.0625,0.0625,0.0625,0.0625,0.1,0.1,True,True
0.05,ambiguous,ambiguous,0.0625,0.0625,0.0625,0.0625,0.1,0.1,True,True
0.1,ambiguous,ambiguous,0.0625,0.0625,0.0625,0.0625,0.1,0.1,True,True
0.15,ambiguous,ambiguous,0.0625,0.0625,0.0625,0.0625,0.1,0.1,True,True
0.2,ambiguous,ambiguous,0.0625,0.0625,0.0625,0.0625,0.1,0.1,True,True
0.25,ambiguous,ambiguous,0.0625,0.0625,0.0625,0.0625,0.1,0.1,True,True
0.3,ambiguous,ambiguous,0.0625,0.0625,0.0625,0.0625,0.1,0.1,True,True
0.35,ambiguous,ambiguous,0.0625,0.0625,0.0625,0.0625,0.1,0.1,True,True
0.4,ambiguous,ambiguous,0.0703125,0.0625,0.0703125,0.0625,0.1,0.1,True,True
0.45,ambiguous,ambiguous,0.0625,0.0625,0.0625,0.0625,0.1,0.1,True,True
0.5,ambiguous,ambiguous,0.125,0.0625,0.125,0.0625,0.1,0.1,False,True
