xi,T_MeV,c1_present,c2_present,c1_mu_transition_MeV,c2_mu_transition_MeV,abs_diff_mu_transition_MeV,normalized_diff_mu_transition_MeV,c1_rho_hadron,c2_rho_hadron,abs_diff_rho_hadron,normalized_diff_rho_hadron,c1_rho_quark,c2_rho_quark,abs_diff_rho_quark,normalized_diff_rho_quark,c1_area_residual,c2_area_residual,abs_diff_area_residual,normalized_diff_area_residual
-0.35,51,true,false,336.5940381908264,,,,0.030427131711902446,,,,2.6797979101668656,,,,5.58361245275281e-6,,,
-0.25,41,true,false,345.15442654437453,,,,0.02160627331698977,,,,2.622990055225289,,,,1.1008982149067458e-6,,,
-0.2,41,true,false,347.98368930581216,,,,0.025933364812872766,,,,2.594912257845671,,,,7.373282815921082e-6,,,
-0.15,41,true,false,350.6587922133378,,,,0.03083225469578644,,,,2.567688879678629,,,,9.515737665871142e-6,,,
-0.1,41,true,false,353.1963104708645,,,,0.03644392305030442,,,,2.5410642617324175,,,,9.861197412829801e-6,,,
0,51,true,false,355.8788119323188,,,,0.08149576318373232,,,,2.4850709341873265,,,,6.896522347588506e-7,,,
0.3,21,true,false,371.9760414529921,,,,0.049080424641919515,,,,2.33518729714565,,,,9.324404295337559e-7,,,
0.35,51,true,false,369.84118562705316,,,,0.18352266469390702,,,,2.282438172454594,,,,9.331185313364317e-6,,,
0.35,101,true,false,347.31031413692176,,,,0.7899179786964688,,,,2.1950894011484707,,,,9.92289437643452e-6,,,
