table,legacy_row,key,accepted_exact,strict_exact,same_xi_distance,reason,disposition
crossover,300,"{""muq_MeV"":300.0,""xi"":0.4}",False,False,0.7160995356949797,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,301,"{""muq_MeV"":330.0,""xi"":0.4}",False,False,1.9668125874110274,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,302,"{""muq_MeV"":360.0,""xi"":0.4}",False,False,,legacy_derivative_peak_not_physical_crossover,excluded_above_cep_proxy
crossover,303,"{""muq_MeV"":390.0,""xi"":0.4}",False,False,,legacy_derivative_peak_not_physical_crossover,excluded_above_cep_proxy
crossover,304,"{""muq_MeV"":420.0,""xi"":0.4}",False,False,,legacy_derivative_peak_not_physical_crossover,excluded_above_cep_proxy
crossover,305,"{""muq_MeV"":450.0,""xi"":0.4}",False,False,,legacy_derivative_peak_not_physical_crossover,excluded_above_cep_proxy
crossover,306,"{""muq_MeV"":0.0,""xi"":0.45}",True,True,0.0,accepted_primary_exact,exact_accepted_key
crossover,307,"{""muq_MeV"":30.0,""xi"":0.45}",False,False,4.836340315394999,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,308,"{""muq_MeV"":60.0,""xi"":0.45}",False,False,9.672680630791,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,309,"{""muq_MeV"":90.0,""xi"":0.45}",False,False,10.654638738418,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,310,"{""muq_MeV"":120.0,""xi"":0.45}",False,False,5.818298423022995,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,311,"{""muq_MeV"":150.0,""xi"":0.45}",False,False,0.9819581076270083,accepted_key_grid_differs_from_legacy,nearest_accepted_support
