table,legacy_row,key,accepted_exact,strict_exact,same_xi_distance,reason,disposition
crossover,149,"{""muq_MeV"":90.0,""xi"":-0.05}",False,False,5.679527750725001,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,150,"{""muq_MeV"":120.0,""xi"":-0.05}",False,False,0.4005903115940015,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,151,"{""muq_MeV"":150.0,""xi"":-0.05}",False,False,6.480708373911995,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,152,"{""muq_MeV"":180.0,""xi"":-0.05}",False,False,11.359055501450001,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,153,"{""muq_MeV"":210.0,""xi"":-0.05}",False,False,5.278937439130999,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,154,"{""muq_MeV"":240.0,""xi"":-0.05}",False,False,0.8011806231870082,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,155,"{""muq_MeV"":270.0,""xi"":-0.05}",False,False,3.7807569953080247,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,156,"{""muq_MeV"":300.0,""xi"":-0.05}",False,False,,legacy_derivative_peak_not_physical_crossover,excluded_above_cep_proxy
crossover,157,"{""muq_MeV"":330.0,""xi"":-0.05}",False,False,,legacy_derivative_peak_not_physical_crossover,excluded_above_cep_proxy
crossover,158,"{""muq_MeV"":360.0,""xi"":-0.05}",False,False,,legacy_derivative_peak_not_physical_crossover,excluded_above_cep_proxy
crossover,159,"{""muq_MeV"":390.0,""xi"":-0.05}",False,False,,legacy_derivative_peak_not_physical_crossover,excluded_above_cep_proxy
crossover,160,"{""muq_MeV"":420.0,""xi"":-0.05}",False,False,,legacy_derivative_peak_not_physical_crossover,excluded_above_cep_proxy
crossover,161,"{""muq_MeV"":450.0,""xi"":-0.05}",False,False,,legacy_derivative_peak_not_physical_crossover,excluded_above_cep_proxy
crossover,162,"{""muq_MeV"":0.0,""xi"":0.0}",True,True,0.0,accepted_primary_exact,exact_accepted_key
crossover,163,"{""muq_MeV"":30.0,""xi"":0.0}",False,False,5.930714677878001,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,164,"{""muq_MeV"":60.0,""xi"":0.0}",False,False,11.861429355756002,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,165,"{""muq_MeV"":90.0,""xi"":0.0}",False,False,6.2771412884879965,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,166,"{""muq_MeV"":120.0,""xi"":0.0}",False,False,0.3464266106090008,accepted_key_grid_differs_from_legacy,nearest_accepted_support
crossover,167,"{""muq_MeV"":150.0,""xi"":0.0}",False,False,5.584288067269,accepted_key_grid_differs_from_legacy,nearest_accepted_support
