path,line,token,classification,path_retirement_blocker,snippet
.github/workflows/pnjl-phase-diagram.yml,102,data/reference/pnjl/boundary.csv,diagnostic_or_historical_tooling,False,--boundary data/reference/pnjl/boundary.csv
.github/workflows/pnjl-phase-diagram.yml,103,data/reference/pnjl/spinodals.csv,diagnostic_or_historical_tooling,False,--spinodal data/reference/pnjl/spinodals.csv
.github/workflows/pnjl-phase-diagram.yml,111,data/reference/pnjl/boundary.csv,diagnostic_or_historical_tooling,False,--boundary data/reference/pnjl/boundary.csv \
.github/workflows/pnjl-phase-diagram.yml,112,data/reference/pnjl/cep.csv,diagnostic_or_historical_tooling,False,--cep data/reference/pnjl/cep.csv \
.github/workflows/pnjl-phase-diagram.yml,113,data/reference/pnjl/spinodals.csv,diagnostic_or_historical_tooling,False,--spinodal data/reference/pnjl/spinodals.csv \
.github/workflows/relaxtime-issue130-rs-numerical-pilot-v1.yml,92,legacy_phase_reference_v1,diagnostic_or_historical_tooling,False,cp -R data/reference/pnjl/legacy_phase_reference_v1 calculation/data/reference/pnjl/
.github/workflows/relaxtime-issue130-rs-numerical-pilot-v1.yml,94,legacy_phase_reference_v1,diagnostic_or_historical_tooling,False,test -f calculation/data/reference/pnjl/legacy_phase_reference_v1/RETIREMENT_MANIFEST.json
.github/workflows/relaxtime-issue130-rs-numerical-pilot-v1.yml,106,legacy_phase_reference_v1,diagnostic_or_historical_tooling,False,data/reference/pnjl/legacy_phase_reference_v1/RETIREMENT_MANIFEST.json \
.github/workflows/relaxtime-issue130-rs-numerical-pilot-v1.yml,107,legacy_phase_reference_v1,diagnostic_or_historical_tooling,False,data/reference/pnjl/legacy_phase_reference_v1/boundary.csv \
.github/workflows/relaxtime-issue130-rs-numerical-pilot-v1.yml,108,legacy_phase_reference_v1,diagnostic_or_historical_tooling,False,data/reference/pnjl/legacy_phase_reference_v1/cep.csv \
.github/workflows/relaxtime-issue130-rs-numerical-pilot-v1.yml,109,legacy_phase_reference_v1,diagnostic_or_historical_tooling,False,data/reference/pnjl/legacy_phase_reference_v1/crossover_dense.csv \
.github/workflows/relaxtime-issue130-rs-numerical-pilot-v1.yml,110,legacy_phase_reference_v1,diagnostic_or_historical_tooling,False,"data/reference/pnjl/legacy_phase_reference_v1/spinodals.csv > ""$root/provenance/input_hashes.sha256"""
config/governance/task_tracks.toml,471,legacy_phase_reference_v1,governance_or_metadata_reference,False,"""file:data/reference/pnjl/legacy_phase_reference_v1/RETIREMENT_MANIFEST.json"","
data/outputs/results/relaxtime/transport/phase_guided/mode_a_fixed_muB_phase_scaled/first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2/README.md,11,phase-reference-mode legacy,runtime_legacy_contract,False,- legacy fallback: retained; explicit rollback is `--phase-reference-mode legacy`
data/outputs/results/relaxtime/transport/phase_guided/mode_a_fixed_muB_phase_scaled/first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2/manifest.json,36,phase-reference-mode legacy,runtime_legacy_contract,False,"""explicit_rollback"": ""--phase-reference-mode legacy"","
data/outputs/results/relaxtime/transport/phase_guided/mode_b_fixed_T_sparse_muB/first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2/README.md,11,phase-reference-mode legacy,runtime_legacy_contract,False,- legacy fallback: retained; explicit rollback is `--phase-reference-mode legacy`
data/outputs/results/relaxtime/transport/phase_guided/mode_b_fixed_T_sparse_muB/first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2/manifest.json,36,phase-reference-mode legacy,runtime_legacy_contract,False,"""explicit_rollback"": ""--phase-reference-mode legacy"","
data/reference/pnjl/issue130_phase_reference_v1/manifest.json,308,data/reference/pnjl/boundary.csv,governance_or_metadata_reference,False,"""path"": ""data/reference/pnjl/boundary.csv"","
data/reference/pnjl/issue130_phase_reference_v1/manifest.json,313,data/reference/pnjl/cep.csv,governance_or_metadata_reference,False,"""path"": ""data/reference/pnjl/cep.csv"","
data/reference/pnjl/issue130_phase_reference_v1/manifest.json,318,data/reference/pnjl/spinodals.csv,governance_or_metadata_reference,False,"""path"": ""data/reference/pnjl/spinodals.csv"","
data/reference/pnjl/issue130_phase_reference_v1/manifest.json,323,data/reference/pnjl/crossover_dense.csv,governance_or_metadata_reference,False,"""path"": ""data/reference/pnjl/crossover_dense.csv"","
data/reference/pnjl/issue130_phase_reference_v1/manifest.json,328,data/reference/pnjl/phase_reference_dense_manifest.json,governance_or_metadata_reference,False,"""path"": ""data/reference/pnjl/phase_reference_dense_manifest.json"","
data/reference/pnjl/legacy_phase_reference_v1/RETIREMENT_MANIFEST.json,5,legacy_phase_reference_v1,governance_or_metadata_reference,False,"""snapshot_root"": ""data/reference/pnjl/legacy_phase_reference_v1"","
data/reference/pnjl/legacy_phase_reference_v1/RETIREMENT_MANIFEST.json,11,data/reference/pnjl/boundary.csv,governance_or_metadata_reference,False,"{""source_path"": ""data/reference/pnjl/boundary.csv"", ""path"": ""boundary.csv"", ""bytes"": 3221, ""sha256"": ""5480a3048177be5ff4a2e7314c56d228dacaa5899ff7fe07f3417e1139cf5890""},"
data/reference/pnjl/legacy_phase_reference_v1/RETIREMENT_MANIFEST.json,12,data/reference/pnjl/cep.csv,governance_or_metadata_reference,False,"{""source_path"": ""data/reference/pnjl/cep.csv"", ""path"": ""cep.csv"", ""bytes"": 651, ""sha256"": ""8bdda456f2495ff322f80a802ee1efab56567bbfce18f26617544d505be4d65c""},"
data/reference/pnjl/legacy_phase_reference_v1/RETIREMENT_MANIFEST.json,13,data/reference/pnjl/crossover_dense.csv,governance_or_metadata_reference,False,"{""source_path"": ""data/reference/pnjl/crossover_dense.csv"", ""path"": ""crossover_dense.csv"", ""bytes"": 27507, ""sha256"": ""0f811c3648a18a26d7a1a6383e08466638d7484a0c7b984c7ceb9c84661aa4df""},"
data/reference/pnjl/legacy_phase_reference_v1/RETIREMENT_MANIFEST.json,15,data/reference/pnjl/phase_reference_dense_manifest.json,governance_or_metadata_reference,False,"{""source_path"": ""data/reference/pnjl/phase_reference_dense_manifest.json"", ""path"": ""phase_reference_dense_manifest.json"", ""bytes"": 8059, ""sha256"": ""07b58593efc8a6729c6db2247ad03d6b5564003fe06eb96eb38897501cd7af39""},"
data/reference/pnjl/legacy_phase_reference_v1/RETIREMENT_MANIFEST.json,16,data/reference/pnjl/spinodals.csv,governance_or_metadata_reference,False,"{""source_path"": ""data/reference/pnjl/spinodals.csv"", ""path"": ""spinodals.csv"", ""bytes"": 4916, ""sha256"": ""96accaa2a1d863406e8d9bb961c3c39532e0372d8e0550a463749f220b1de33f""}"
data/reference/pnjl/legacy_phase_reference_v1/crossover_dense.meta.json,170,data/reference/pnjl/crossover_dense.csv,governance_or_metadata_reference,False,"""path"": ""data/reference/pnjl/crossover_dense.csv"","
data/reference/pnjl/legacy_phase_reference_v1/phase_reference_dense_manifest.json,244,data/reference/pnjl/phase_reference_dense_manifest.json,governance_or_metadata_reference,False,"""path"": ""data/reference/pnjl/phase_reference_dense_manifest.json"""
data/reference/pnjl/legacy_phase_reference_v1/phase_reference_dense_manifest.json,250,data/reference/pnjl/crossover_dense.csv,governance_or_metadata_reference,False,"""path"": ""data/reference/pnjl/crossover_dense.csv"","
docs/dev/active/2026-08-23_Issue130_RS_phase-reference_adapter_parity.md,18,legacy_phase_reference_v1,governance_or_metadata_reference,False,- legacy：`data/reference/pnjl/legacy_phase_reference_v1/` 仅为 retirement audit/history snapshot，
docs/dev/active/2026-08-23_Issue130_phase-reference-runtime-switch.md,23,phase-reference-mode legacy,runtime_legacy_contract,False,- `--phase-reference-mode legacy` 是显式 rollback；`diagnostic` 只允许审计 candidate，
docs/dev/active/2026-08-23_Issue130_phase-reference-runtime-switch.md,38,phase-reference-mode legacy,runtime_legacy_contract,False,v2 view 允许显式 accepted fallback，且 `--phase-reference-mode legacy` rollback 仍通过。
docs/dev/active/2026-08-23_Issue130_phase-reference-runtime-switch.md,66,legacy_phase_reference_v1,governance_or_metadata_reference,False,"`legacy_phase_reference_v1/{boundary.csv,cep.csv,crossover_dense.csv,spinodals.csv}`"
docs/dev/active/2026-08-24_Issue130_phase-reference-retirement.md,13,legacy_phase_reference_v1,governance_or_metadata_reference,False,`data/reference/pnjl/legacy_phase_reference_v1/` snapshot。
docs/dev/active/2026-08-24_Issue130_phase-reference-retirement.md,15,phase-reference-mode legacy,runtime_legacy_contract,False,`--phase-reference-mode legacy` rollback，以及历史结果复现。
docs/dev/active/2026-08-27_Issue130_RS_publication_clean_and_old_reference_retirement.md,43,phase-reference-mode legacy,runtime_legacy_contract,False,- [x] 在不调用 solver 的前提下验证默认 `prod_v2` 分析路径、显式 `--phase-reference-mode legacy` 回退和 versioned legacy snapshot 均可解析。详见 `consumer_smoke.csv` 与 `fallback_smoke.csv`。
docs/dev/active/2026-08-28_Issue130_PNJL_legacy_phase-reference_retirement_and_physical_cleanup.md,13,legacy_phase_reference_v1,governance_or_metadata_reference,False,`data/reference/pnjl/legacy_phase_reference_v1/` 不再承担逐键 fallback 或 rollback，
docs/dev/active/2026-08-28_Issue130_PNJL_legacy_phase-reference_retirement_and_physical_cleanup.md,51,legacy_phase_reference_v1,governance_or_metadata_reference,False,- legacy：`data/reference/pnjl/legacy_phase_reference_v1/`，其
docs/dev/active/2026-08-28_Issue130_RS_old_reference_retirement_audit.md,13,legacy_phase_reference_v1,governance_or_metadata_reference,False,- PNJL phase-reference 的 `legacy_phase_reference_v1` 已由 PR #264 完成 canonical-path retirement，
docs/dev/active/2026-08-28_Issue130_RS_old_reference_retirement_audit.md,32,phase-reference-mode legacy,runtime_legacy_contract,False,- [x] 核对两套 current `prod_v2` manifest 记录的 `legacy_prod_v1_tree_hash` 与实际旧 tree；确认显式 `--phase-reference-mode legacy` 和 fallback 标志仍存在。
docs/dev/active/2026-08-29_Issue130_phase-reference-accepted-primary-runtime.md,43,legacy_phase_reference_v1,governance_or_metadata_reference,False,`data/reference/pnjl/legacy_phase_reference_v1/` 只用于不可变历史审计和 Git 恢复边界。
docs/dev/active/2026-08-29_Issue130_phase-reference-accepted-primary-runtime.md,44,load_phase_reference_runtime_with_fallback,runtime_legacy_contract,False,正常 runtime 不加载它；`load_phase_reference_runtime_with_fallback`、
docs/dev/active/2026-08-29_Issue130_phase-reference-accepted-primary-runtime.md,45,source=:legacy,runtime_legacy_contract,False,`--phase-reference-mode legacy` 和 `source=:legacy` 不再是可用的 runtime 路径。
docs/dev/active/2026-08-29_Issue130_phase-reference-accepted-runtime-fallback.md,18,legacy_phase_reference_v1,governance_or_metadata_reference,False,3. versioned `legacy_phase_reference_v1` snapshot 的最后回退行。
docs/dev/active/2026-08-29_Issue130_phase-reference-accepted-runtime-fallback.md,27,phase-reference-mode legacy,runtime_legacy_contract,False,`--phase-reference-mode legacy` 仍是 rollback；传入自定义 candidate root 时，
docs/dev/active/2026-08-29_Issue130_phase-reference_three-layer_accepted-map.md,169,legacy_phase_reference_v1,governance_or_metadata_reference,False,`data/reference/pnjl/legacy_phase_reference_v1/`，与已合并的物理 retirement
docs/guides/scripts/README.md,186,phase-reference-mode legacy,runtime_legacy_contract,False,`--phase-reference-mode legacy` 显式回滚 legacy。`diagnostic` 仍只用于显式 candidate 的
docs/guides/scripts/README.md,215,legacy_phase_reference_v1,governance_or_metadata_reference,False,- path-retirement merge `74b53b47ebcca2b292cee72f70a70a84b0d2eea5` 保留删除前 snapshot 的 Git 历史恢复边界；这不是外部数值备份。当前 approved `prod_v2` 仍位于各 mode canonical 目录；PNJL phase-reference 的 `legacy_phase_reference_v1` fallback 不受此 RS 删除影响。
docs/guides/sop/workflows/relaxtime_transport.md,52,phase-reference-mode legacy,runtime_legacy_contract,False,或以 `--phase-reference-mode legacy` 显式回滚。`--phase-reference-mode diagnostic` 仅用于显式
docs/notes/pnjl/一阶相变方法对比.md,268,data/reference/pnjl/boundary.csv,governance_or_metadata_reference,False,- 参考数据：`data/reference/pnjl/boundary.csv`
docs/superpowers/plans/2026-04-27-relaxtime-xi-smoothness-sampling-implementation-plan.md,17,data/reference/pnjl/boundary.csv,governance_or_metadata_reference,False,- `data/reference/pnjl/boundary.csv`
docs/superpowers/plans/2026-04-27-relaxtime-xi-smoothness-sampling-implementation-plan.md,19,data/reference/pnjl/cep.csv,governance_or_metadata_reference,False,- `data/reference/pnjl/cep.csv`
scripts/analysis/pnjl/audit_issue130_phase_reference_accepted_primary.py,42,legacy_phase_reference_v1,diagnostic_or_historical_tooling,False,"LEGACY_RELATIVE = Path(""data/reference/pnjl/legacy_phase_reference_v1"")"
scripts/analysis/pnjl/audit_issue130_phase_reference_accepted_primary.py,76,legacy_phase_reference_v1,diagnostic_or_historical_tooling,False,"""legacy_phase_reference_v1"","
scripts/analysis/pnjl/audit_issue130_phase_reference_accepted_primary.py,77,data/reference/pnjl/boundary.csv,diagnostic_or_historical_tooling,False,"""data/reference/pnjl/boundary.csv"","
scripts/analysis/pnjl/audit_issue130_phase_reference_accepted_primary.py,78,data/reference/pnjl/cep.csv,diagnostic_or_historical_tooling,False,"""data/reference/pnjl/cep.csv"","
scripts/analysis/pnjl/audit_issue130_phase_reference_accepted_primary.py,79,data/reference/pnjl/spinodals.csv,diagnostic_or_historical_tooling,False,"""data/reference/pnjl/spinodals.csv"","
