xi,T_MeV,standard_oracle_status,deep_oracle_status,final_oracle_status,oracle_source,standard_hybrid_status,simulated_hybrid_status,route_certificate,classification_match
-0.5,5.0,confirmed_first_order,confirmed_first_order,confirmed_first_order,standard,ambiguous_near_critical,confirmed_first_order,endpoint_limited_first_order,True
-0.5,20.0,ambiguous_near_critical,confirmed_first_order,confirmed_first_order,deep_oracle,ambiguous_near_critical,confirmed_first_order,endpoint_local_geometry_first_order,True
-0.5,60.0,confirmed_first_order,,confirmed_first_order,standard,confirmed_first_order,confirmed_first_order,none,True
-0.5,130.0,confirmed_first_order,,confirmed_first_order,standard,confirmed_first_order,confirmed_first_order,none,True
-0.5,147.0947265625,confirmed_first_order,,confirmed_first_order,standard,confirmed_first_order,confirmed_first_order,none,True
-0.5,147.2197265625,confirmed_monotone,,confirmed_monotone,standard,confirmed_monotone,confirmed_monotone,none,True
0.0,5.0,ambiguous_near_critical,confirmed_first_order,confirmed_first_order,deep_oracle,ambiguous_near_critical,confirmed_first_order,endpoint_local_geometry_first_order,True
0.0,20.0,confirmed_first_order,,confirmed_first_order,standard,confirmed_first_order,confirmed_first_order,none,True
0.0,60.0,confirmed_first_order,,confirmed_first_order,standard,confirmed_first_order,confirmed_first_order,none,True
0.0,120.0,confirmed_first_order,,confirmed_first_order,standard,confirmed_first_order,confirmed_first_order,none,True
0.0,131.0869140625,confirmed_monotone,,confirmed_monotone,standard,confirmed_monotone,confirmed_monotone,none,True
0.0,145.0,confirmed_monotone,,confirmed_monotone,standard,confirmed_monotone,confirmed_monotone,none,True
0.5,5.0,confirmed_first_order,,confirmed_first_order,standard,confirmed_first_order,confirmed_first_order,none,True
0.5,60.0,confirmed_first_order,,confirmed_first_order,standard,confirmed_first_order,confirmed_first_order,none,True
0.5,90.0,confirmed_first_order,,confirmed_first_order,standard,confirmed_first_order,confirmed_first_order,none,True
0.5,106.9599609375,confirmed_first_order,,confirmed_first_order,standard,confirmed_first_order,confirmed_first_order,none,True
0.5,107.0849609375,confirmed_monotone,,confirmed_monotone,standard,confirmed_monotone,confirmed_monotone,none,True
0.5,120.0,confirmed_monotone,,confirmed_monotone,standard,confirmed_monotone,confirmed_monotone,none,True
