tau_s_muB800,,tau_sbar_muB800,,tau_u_muB0,,tau_s_muB0,,tau_u_muB800,,tau_ubar_muB800,,muB1200,,muB0,,muB400,,muB873,,muB800,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
135.35931360836344,16.006538409959983,136.2918370430807,12.93344642031458,190.5342421900221,2.678781256006176,190.7521652636418,3.6163842784813944,135.36091299681158,19.64829211060411,135.56905341098798,7.570527244281121,87.13396667522758,9.558642535817091,190.32398528918017,0.3220066883734956,175.44199040102242,0.5763626400160806,120.12896418055627,4.417481167093589,130.05397813649884,4.0068590121598575
136.6515554989632,13.641541150893026,136.6492683734823,10.175465281772643,192.68889672332438,2.3084244434332826,193.12247813652112,3.1472230939000663,136.65313889352694,16.71092725344282,137.07638505857147,6.0578351602554275,88.86983764038379,8.679767218160144,192.30776203501696,0.2866797114219112,177.1775813798604,0.5119384485908869,121.6163104479073,3.896436111557062,131.54132440384987,3.5342471327771383
137.7283837564185,11.878896537831087,137.9411264108545,8.255696536577478,194.843431302493,1.9589214571464397,195.27728621111441,2.7660025186848776,137.94531680858876,14.125553343962135,138.36821110817476,4.894815738682772,90.60554650819788,7.781581491660005,194.29153878085376,0.2552284157701206,178.66528131413983,0.4643272784946672,123.10361741893294,3.4262137794026724,133.02851348589942,3.07897346569785
139.02067362867177,10.18621732342342,139.6639396655916,6.52201905764403,196.99816740460614,1.7058303334283496,197.2166134782484,2.4625502929426935,139.2374627358817,11.891313879827832,139.65995718835563,3.9147485755092193,92.58933799015657,6.935929486619715,196.27543341566664,0.22935011211150147,180.40097544583185,0.4157949948390484,124.34304316948149,3.0788063131358374,134.26782134747177,2.741170134118742
140.5280092747264,8.155053809005077,141.04165607363961,5.043703998836845,203.4623901054415,1.1284790682218309,203.25005049689446,1.709821555751027,140.24226253457277,10.134310816484811,140.73616168431613,3.1469935797511237,94.5731736804814,6.203769714921353,197.5153159859976,0.21365526429155476,182.3846343026925,0.3667528162953197,125.33434209751917,2.773058760384019,135.25914974775353,2.4746977400021337
141.82013920813483,6.851109839439508,143.16104049303527,2.9845155929436786,206.04806006165956,0.954227799642931,209.56108262974186,1.2526521967826976,140.9599001343335,8.95234375547395,141.81217425366282,2.4683375659106277,96.55702410692825,5.555349679481837,202.72320886778462,0.16354568929815574,183.87246686207007,0.336141788967845,126.32546419209271,2.4630826062230926,136.00220396430436,2.2134503896121984
144.8342507142873,4.087230516324613,142.0317862814839,4.137659920516671,209.27912918201918,0.6790735934172605,213.37903497186858,1.1132100900353714,141.82115881827053,7.807570029601953,142.67280517763402,1.9862798755723234,98.54090400561918,4.986279278318194,205.36850814174974,0.14301369903636146,189.32830973290365,0.2531526157211281,127.31658628666625,2.187755994120586,136.99341447560997,1.9797853077889764
147.2585237546317,3.5866417992801125,144.82916465902207,2.129717736796917,212.51204575182106,0.6123742519245285,218.12126679442713,1.0358162717009411,142.46709983237002,7.043415612213825,144.39376314177127,1.2370778149451502,100.52485758492011,4.501585096478902,208.9218210568101,0.10771804647271822,197.01585969045786,0.1667384761545781,128.30770838123973,1.943205752709147,137.98470357956634,1.781797363600363
151.7309111201801,3.1837283057478674,147.14753480841892,1.3992574608469188,217.25463525579625,0.5965299835173383,222.86356840848163,0.9724631546201861,145.48172181000228,4.486070467996845,145.03879650292635,0.9934394565218648,102.75694682840506,4.057405152312962,212.39490888626668,0.09876683839173167,201.97807819767698,0.15522796716154288,129.29883047581333,1.725991658809184,138.97587479454663,1.5887686483963626
156.4731909243921,2.9806598336450203,146.12091073920294,1.7032938360629826,221.99738615260577,0.5932412014087375,227.6059310900951,0.9201588537162804,148.28299617663447,3.8044975780477244,145.68382986408153,0.797784861915268,104.98904786078757,3.6604550234598774,217.85414910304874,0.09723777573079569,207.43723803561167,0.15185907278857758,132.02404046477906,1.2094773345555718,140.13216916876038,1.381961095856648
161.2155710538795,2.826658070704493,151.72266215309276,1.106039190841573,226.74015013532073,0.5909608896007709,232.3483112195825,0.8726170027280878,152.4855551154069,3.228345450756893,146.54430084920784,0.6289540852967467,107.22108405423322,3.2854960348587863,223.31360366342383,0.09736445885118686,212.89648361098355,0.1495712583302089,133.51130813947938,1.0602265525297148,140.95786601359904,1.2286717818498898
165.95801661289443,2.7031874833449017,158.83589696041292,0.978459908150806,231.48287922228775,0.5860622635502449,237.09071752088084,0.8303120567158915,157.33522931019775,2.872714084492914,148.9121634589846,0.39983604716932003,109.70122054517006,2.935955759896417,228.773085016748,0.09769753126051937,218.35576133789445,0.147691937211538,135.24674193301578,0.9301152852180804,141.94885793909484,1.0801829362784092
170.70045344797222,2.582221274794257,165.30222845491727,0.8481708013575626,236.22566065287668,0.5851165738647179,241.8331325461162,0.7909419704908933,162.07754837212622,2.7030497428381906,152.14433025486846,0.32752696850317903,112.4296056772263,2.642784405868073,234.2326038802009,0.09832218024701611,223.8150390648053,0.14583622923824352,137.72710634263981,0.8462367502995648,144.92252876933705,0.7753328431239599
175.44294698864047,2.484661138871465,172.1998910230718,0.7512317491564525,240.96837229196967,0.5789701995445007,246.57557374316252,0.7559702599260184,166.81989360586562,2.551951896547146,159.25816909789262,0.3130705821669076,115.15807726119837,2.3951629522299007,239.6920852335251,0.09865852890906468,229.27434358466522,0.1443084503387082,141.69624740585854,0.7602083011115014,150.16592728454222,0.5960579768537387
180.18542744340328,2.386780462503428,179.09762556370652,0.6715382939422574,245.7111668084641,0.5790062587773998,251.31802366414587,0.723353194154165,171.56225192551057,2.4133445814575882,167.23485348475913,0.3198501791245425,117.88640148395027,2.1456607811930506,245.15158802120854,0.09916351852891639,234.73366418029465,0.1429778352987196,146.90628586701112,0.68920317518325,154.09960594030073,0.5349768154444864
184.92793406997703,2.3004595041248073,186.21105896175897,0.6093931052085998,250.45392206724216,0.5761360999008684,256.0604648611922,0.6913699393947318,176.30466695074597,2.2989134064624666,175.21151228141048,0.3257065538793721,121.11111688886254,1.9341062069913517,250.61110152607168,0.0997553735769878,240.19301156887323,0.14195914296934706,152.36449723454697,0.6256501849099367,159.30979229853247,0.4906991542464339
189.67040580080283,2.2073657282778116,193.54006993027195,0.5527171628597841,255.19665987814614,0.57199958098501,260.8028842483961,0.6589562353657049,181.0470994238553,2.194810848052155,182.97256391891506,0.33058316190045384,124.832127691142,1.7410532976639495,256.07059359657546,0.10018126545849013,245.65232144732303,0.14053135849758622,157.82290151131647,0.5766646129928944,164.76837876735598,0.4588253156712659
194.4129037034396,2.125155972391967,200.86913954302793,0.5050945727749397,259.93945439464056,0.5720352060761202,265.54536034119036,0.6326435382600525,185.7895667927126,2.1048153333364237,191.1647163181334,0.3328628687181781,128.80130952429838,1.5690949344228233,261.53008030848946,0.10056646574936247,251.1116527601321,0.13935330645704816,163.28143975283163,0.5371598083180302,170.22705633220656,0.43211526022264085
199.15538415820242,2.041437633214425,208.19826246873225,0.46473997811444245,264.682248911135,0.5720708333860207,270.287980378945,0.6186913525776575,190.5320254376329,2.0162542496608626,199.14132553374282,0.3368103293851593,133.26681426224965,1.4152756518053375,266.989642040661,0.10155221801568338,256.5710537346089,0.13894640754067364,168.74007980755343,0.5043952247963804,175.6857874829553,0.40868361759228033
203.89785152705974,1.9577309982102085,215.7428816626508,0.4229611386765996,269.4250434276294,0.5721064629148498,275.03065712229005,0.6094603276269132,195.274441189863,1.9208304866384007,207.11784358421073,0.3368456098208173,138.22865516750582,1.2789152632794767,272.44926807591037,0.10306901155783728,262.03052972934324,0.13936281766354078,174.19881095830218,0.47704416886329515,181.14465795703953,0.3907930914630538
208.64030581001157,1.8743103885613963,223.07211761180548,0.39484720331649154,274.16783794412385,0.572142094662746,279.7733425895721,0.6010387042501174,198.76250165585196,1.8152877201587518,215.31003436875176,0.3408412671771797,143.43880669490377,1.1698471273133233,277.90891018692923,0.10474117149172735,267.49000036548784,0.13972141488781673,179.6576385636678,0.4546214526199395,186.60353378971362,0.37384369922891464
213.38275573099486,1.7934414596348032,231.0484160129265,0.38392653393242543,278.91063246061833,0.5721777286298466,284.5160498666966,0.594392674128585,203.4661256952607,1.8214997071875572,223.07100443744554,0.3423465899395642,148.89717346154444,1.0750683141695698,283.3686005252565,0.10684608094378877,272.9495460218898,0.14091219575736874,185.11651439634184,0.43490371070781714,192.06247392546553,0.359447713709833
218.12517511819874,1.7093590063003652,239.240361024776,0.37643402066003195,283.65342697711276,0.5722133648162903,289.25883565925415,0.5937654071525545,208.20864976970847,1.7595533207240124,231.26320002015188,0.3466205988276894,154.35572242023923,1.0022668102728145,288.828285504994,0.10894723881016252,278.4091184712411,0.14241373827989884,190.57542238055484,0.4170974523997194,197.52148372288516,0.3475100727910799
222.867668658867,1.644776896849348,247.21687427707855,0.37624199938806624,288.3962476654182,0.5741717973195032,294.0016301757486,0.5938023878557422,212.9512043779357,1.7063785061597783,239.23983322658808,0.3518113361851173,159.81437855073048,0.9423265409533416,294.2880401463992,0.11170172249680708,283.8687016377718,0.14405298751001855,196.03435715771693,0.4008664019725788,202.9804935203048,0.3359688936253706
227.61021018118873,1.5923976617685054,255.19339712571184,0.37651288671999134,293.1391119734085,0.579366974650089,298.744424692243,0.5938393708621501,217.69376334813137,1.655736085391211,247.21647123118964,0.35729947049913185,165.27315257019788,0.8942467355986337,299.7477947878044,0.11452584705239786,289.32833839020077,0.14632820529915366,201.49336159654675,0.38738945117224954,208.43950867631426,0.3249483083067421
