T_MeV,muB_MeV,xi,mode,plot_panel,plot_series
220.16820952167086,0.0,0.44,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.1
220.16820952167086,0.0,0.45,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.1
220.16820952167086,0.0,0.46,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.1
220.16820952167086,0.0,0.47,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.1
220.16820952167086,0.0,0.48,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.1
220.16820952167086,0.0,0.49,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.1
220.16820952167086,0.0,0.5,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.1
240.18350129636818,0.0,-0.5,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
240.18350129636818,0.0,-0.49,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
240.18350129636818,0.0,-0.48,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
240.18350129636818,0.0,-0.47,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
240.18350129636818,0.0,-0.46,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
240.18350129636818,0.0,-0.45,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
240.18350129636818,0.0,-0.44,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
240.18350129636818,0.0,-0.43,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
240.18350129636818,0.0,-0.42,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
240.18350129636818,0.0,-0.41,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
240.18350129636818,0.0,-0.4,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
240.18350129636818,0.0,-0.39,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
240.18350129636818,0.0,-0.38,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
240.18350129636818,0.0,-0.37,mode_a_fixed_muB_phase_scaled,muB0.0,alpha1.2
