# y_unit.M_K: fm^-1
# y_unit.Gamma_pi: fm^-1
# y_unit.M_sigma_prime: fm^-1
# y_unit.Gamma_sigma: fm^-1
# y_unit.M_pi: fm^-1
# y_unit.Gamma_K: fm^-1
# script: scripts/relaxtime/run_mott_phase_scan.jl
# y_unit.m_u: fm^-1
# y_unit.M_sigma: fm^-1
# y_unit.Gamma_eta: fm^-1
# y_unit.Gamma_sigma_prime: fm^-1
# y_unit.m_d: fm^-1
# y_unit.Gamma_eta_prime: fm^-1
# format: scan_csv_v1
# x_unit: MeV
# y_unit.M_eta: fm^-1
# y_unit.M_eta_prime: fm^-1
# y_unit.m_s: fm^-1
# x_label: Temperature
run_id,T_MeV,muB_MeV,xi,M_pi,M_K,Gamma_pi,Gamma_K,residual_pi,residual_K,root_quality_pi,root_quality_K,selected_method_pi,selected_method_K,governance_candidate_count_pi,governance_candidate_count_K,governance_selection_reason_pi,governance_selection_reason_K,second_pass_triggered_pi,second_pass_triggered_K,second_pass_candidate_count_pi,second_pass_candidate_count_K,m_u,m_d,m_s,status,error_code,error_message,timestamp_utc,M_eta,M_eta_prime,M_sigma,M_sigma_prime,Gamma_eta,Gamma_eta_prime,Gamma_sigma,Gamma_sigma_prime,residual_eta,residual_eta_prime,residual_sigma,residual_sigma_prime,root_quality_eta,root_quality_eta_prime,root_quality_sigma,root_quality_sigma_prime,selected_method_eta,selected_method_eta_prime,selected_method_sigma,selected_method_sigma_prime,governance_candidate_count_eta,governance_candidate_count_eta_prime,governance_candidate_count_sigma,governance_candidate_count_sigma_prime,governance_selection_reason_eta,governance_selection_reason_eta_prime,governance_selection_reason_sigma,governance_selection_reason_sigma_prime,second_pass_triggered_eta,second_pass_triggered_eta_prime,second_pass_triggered_sigma,second_pass_triggered_sigma_prime,second_pass_candidate_count_eta,second_pass_candidate_count_eta_prime,second_pass_candidate_count_sigma,second_pass_candidate_count_sigma_prime
20260415T151619_e936585a,120.0,0.0,-0.5,0.6829271342099744,2.5216636987154746,0.0,0.0,2.3988122599405415e-10,1.7763568394002505e-15,good,good,newton,newton,0,0,none,none,false,false,0,0,1.8600559000508956,1.8600559000508956,2.7828128737936217,ok,,,2026-04-15T15:16:19Z,2.6077064868364186,4.8491322481660974,3.6871494750042184,6.068747245239003,0.0,1.3582234748034967,0.0,0.9723115613149335,4.251980711966752e-11,9.102857356779737e-13,9.505981002355668e-10,1.3322676295501878e-15,good,good,good,good,newton,newton,newton,newton,0,0,0,18,none,none,none,mixed_branch_score_min,false,false,false,false,0,0,0,0
20260415T151619_e936585a,125.0,0.0,-0.5,0.6822846209130387,2.521408802743528,0.0,0.0,3.552713678800501e-15,3.6834975070121345e-9,good,good,newton,newton,0,0,none,none,false,false,0,0,1.8582536716740181,1.8582536716740181,2.7817261295057896,ok,,,2026-04-15T15:16:35Z,2.6070867441610557,4.846498122984424,3.68359779208294,6.0665388942340455,0.0,1.3566859840107162,0.0,0.9717016080366009,7.0902742566048005e-9,7.862321904639202e-13,2.4279978028118876e-10,4.035660694512444e-14,good,good,good,good,newton,newton,newton,newton,0,0,0,0,none,none,none,none,false,false,false,false,0,0,0,0
20260415T151619_e936585a,130.0,0.0,-0.5,0.6812956151828036,2.5210066509096163,0.0,0.0,2.042810365310288e-14,9.188189320497031e-9,good,good,newton,newton,0,0,none,none,false,false,0,0,1.8555241538466352,1.8555241538466352,2.780061377240655,ok,,,2026-04-15T15:16:36Z,2.6061208132441043,4.842485535758915,3.6782183262770305,6.063160893570856,0.0,1.3543388591436376,0.0,0.9707951744918868,3.649858193455202e-15,4.196448744053782e-12,1.323668008534895e-9,2.4513724383723456e-13,good,good,good,good,newton,newton,newton,newton,0,0,0,0,none,none,none,none,false,false,false,false,0,0,0,0
20260415T151619_e936585a,135.0,0.0,-0.5,0.6797805909350414,2.52037746971379,0.0,0.0,1.13464793116691e-13,1.3322676295501878e-15,good,good,newton,newton,0,0,none,none,false,false,0,0,1.8514028635999689,1.8514028635999689,2.7775221434413213,ok,,,2026-04-15T15:16:36Z,2.6046240158453906,4.836396554891336,3.6700954075468126,6.058015045001755,0.0,1.350767652986707,0.0,0.9694512287538446,2.133015986061082e-14,2.1964402519003556e-11,7.288684350514885e-9,1.4136886106186353e-12,good,good,good,good,newton,newton,newton,newton,0,0,0,0,none,none,none,none,false,false,false,false,0,0,0,0
20260415T151619_e936585a,140.0,0.0,-0.5,0.6774505745470616,2.519393827049474,0.0,0.0,6.392664175791651e-13,7.549516567451064e-15,good,good,newton,newton,0,0,none,none,false,false,0,0,1.8451440298227593,1.8451440298227597,2.7736323730301637,ok,,,2026-04-15T15:16:36Z,2.6022950042733974,4.8271125810152755,3.6577586856933837,6.050141068790027,0.0,1.3453049898120792,0.0,0.9674458512604528,1.2789769243681803e-13,1.164333907066606e-10,2.0372592501871623e-14,7.957356995547116e-12,good,good,good,good,newton,newton,newton,newton,0,0,0,0,none,none,none,none,false,false,false,false,0,0,0,0
20260415T151619_e936585a,145.0,0.0,-0.5,0.6738064928373606,2.517838822797174,0.0,0.0,3.872235865287621e-12,4.6629367034256575e-14,good,good,newton,newton,0,0,none,none,false,false,0,0,1.8354588069904352,1.8354588069904338,2.7675723775875163,ok,,,2026-04-15T15:16:36Z,2.5986082080975152,4.812709428554009,3.638667326782047,6.0378855893764705,0.0,1.3367967254419464,0.0,0.964395897660596,8.303219223293468e-13,6.55051179965227e-10,1.0066392164276294e-12,4.5245293622819815e-11,good,good,good,good,newton,newton,newton,newton,0,0,0,0,none,none,none,none,false,false,false,false,0,0,0,0
20260415T151619_e936585a,150.0,0.0,-0.5,0.6678842081216777,2.5153060028136265,0.0,0.0,2.7538638036617158e-11,3.346212196220222e-13,good,good,newton,newton,0,0,none,none,false,false,0,0,1.819848626155896,1.8198486261559212,2.7577657354851355,ok,,,2026-04-15T15:16:36Z,2.592536355029669,4.78948700789248,3.6078952383628593,6.018068258474685,0.0,1.3230086880593692,0.0,0.9595657734020682,6.4577232450346855e-12,4.229038952363595e-9,2.475802896029222e-10,2.69506694738908e-10,good,good,good,good,newton,newton,newton,newton,0,0,0,0,none,none,none,none,false,false,false,false,0,0,0,0
20260415T151619_e936585a,155.0,0.0,-0.5,0.6574471186289202,2.5108992141546227,0.0,0.0,2.744544591593012e-10,3.1821212331806237e-12,good,good,newton,newton,0,0,none,none,false,false,0,0,1.7924823074949914,1.792482307494992,2.7405822490696696,ok,,,2026-04-15T15:16:36Z,2.5816587639208652,4.748919752986081,3.5539453229092914,5.983362372087381,0.0,1.2987419379000074,0.0,0.9512585917560109,7.357650599892906e-11,3.316791286067655e-15,3.676516591166745e-10,2.37909791866997e-9,good,good,good,good,newton,newton,newton,newton,0,0,0,0,none,none,none,none,false,false,false,false,0,0,0,0
20260415T151619_e936585a,160.0,0.0,-0.5,0.6355962565673334,2.502106781302646,0.0,0.0,5.616638931726925e-9,5.4533932924982764e-11,good,good,newton,newton,0,0,none,none,false,false,0,0,1.7352056457569722,1.735205645756971,2.7049790467287647,ok,,,2026-04-15T15:16:36Z,2.5582756668432522,4.665051354596729,3.4410197670928797,5.911466038753985,0.0,1.2478513109633393,0.0,0.9343032532565657,1.971855539961709e-9,9.496153863253198e-13,4.374207357438209e-9,6.286637876939949e-15,good,good,good,good,newton,newton,newton,newton,0,0,0,0,none,none,none,none,false,false,false,false,0,0,0,0
20260415T151619_e936585a,165.0,0.0,-0.5,0.5848388085567818,2.4844599841406683,0.0,0.0,7.209788321915767e-13,1.0762561952759597e-9,good,good,newton,newton,0,0,none,none,false,false,0,0,1.6008517896728758,1.6008517896728758,2.624114850180557,ok,,,2026-04-15T15:16:36Z,2.5001281687471857,4.47494742365874,3.1760832355945516,5.748117797420857,0.0,1.1278756754863706,0.0,0.8963993956433237,2.511185703824026e-13,6.022680826278659e-10,6.581124534221772e-13,1.717198605533099e-11,good,good,good,good,newton,newton,newton,newton,0,0,0,0,none,none,none,none,false,false,false,false,0,0,0,0
