surface,xi,mu_MeV,T_MeV,rho,mu_CEP_proxy_MeV,layer,status,interpolation_method,physical_region,source_layer,reference_write
crossover,-0.5,0.0,180.85738065653652,-0.0,202.33883159063282,strict_reference_v1,native_v6_or_endpoint,none_native,crossover_below_CEP,v5_baseline,False
crossover,-0.5,22.104914914144054,180.4627121316438,0.4063946889006905,202.33883159063282,strict_reference_v1,native_v6_or_endpoint,none_native,crossover_below_CEP,v5_baseline,False
crossover,-0.5,44.20982982828811,179.29790034422055,0.7998386533214566,202.33883159063282,strict_reference_v1,native_v6_or_endpoint,none_native,crossover_below_CEP,v5_baseline,False
crossover,-0.5,66.31474474243217,177.33555478129466,1.1666219004058758,202.33883159063282,strict_reference_v1,native_v6_or_endpoint,none_native,crossover_below_CEP,v5_baseline,False
crossover,-0.5,88.41965965657621,174.5683440685076,1.4937452634461277,202.33883159063282,strict_reference_v1,native_v6_or_endpoint,none_native,crossover_below_CEP,v5_baseline,False
crossover,-0.5,110.52457457072028,170.99626820585937,1.770623170682811,202.33883159063282,strict_reference_v1,native_v6_or_endpoint,none_native,crossover_below_CEP,v5_baseline,False
crossover,-0.5,132.62948948486434,166.60379909327418,1.987520277395101,202.33883159063282,strict_reference_v1,native_v6_or_endpoint,none_native,crossover_below_CEP,v5_baseline,False
crossover,-0.5,154.73440439900838,161.37174294349708,2.137012964777202,202.33883159063282,strict_reference_v1,native_v6_or_endpoint,none_native,crossover_below_CEP,v5_baseline,False
crossover,-0.5,176.83931931315243,155.27637493073527,2.218023925528127,202.33883159063282,strict_reference_v1,native_v6_or_endpoint,none_native,crossover_below_CEP,v5_baseline,False
crossover,-0.5,198.9442342272965,148.24091990596872,2.244303126383077,202.33883159063282,strict_reference_v1,native_v6_or_endpoint,none_native,crossover_below_CEP,v5_baseline,False
crossover,-0.5,200.64153290896468,147.6564130082117,2.2513784132462593,202.33883159063282,strict_reference_v1,native_v6_or_endpoint,none_native,crossover_below_CEP,endpoint_expansion,False
crossover,-0.5,201.49018224979875,147.35717798432486,2.209353942265492,202.33883159063282,strict_reference_v1,native_v6_or_endpoint,none_native,crossover_below_CEP,endpoint_expansion,False
crossover,-0.4875,0.0,181.4841053312064,-0.0,205.4752329298986,strict_reference_v1,native_v6_or_endpoint,none_native,crossover_below_CEP,v5_baseline,False
