side,artifact,row_count,xi_count,xi_values,naninf_count,negative_by_column,converged_false_count
candidate,boundary,72,5,"[-0.5, -0.25, 0.0, 0.25, 0.5]",0,{},
candidate,cep,5,5,"[-0.5, -0.25, 0.0, 0.25, 0.5]",0,{},
candidate,spinodals,72,5,"[-0.5, -0.25, 0.0, 0.25, 0.5]",0,{},
candidate,crossover,80,5,"[-0.5, -0.25, 0.0, 0.25, 0.5]",0,{},0
reference,boundary,72,5,"[-0.5, -0.25, 0.0, 0.25, 0.5]",0,{},
reference,cep,5,5,"[-0.5, -0.25, 0.0, 0.25, 0.5]",0,{},
reference,spinodals,72,5,"[-0.5, -0.25, 0.0, 0.25, 0.5]",0,{},
reference,crossover,80,5,"[-0.5, -0.25, 0.0, 0.25, 0.5]",0,{},0
