m_fm,g_fm,m_MeV,g_MeV,residual_re,residual_im,residual_norm,log10_residual_norm
2.2,0.0,434.11935688000005,0.0,0.18620712060458453,-0.06500576220914824,0.19722789073618013,-0.7050316698394266
2.21,0.0,436.092626684,0.0,0.18561161398447298,-0.06586437428164577,0.1969512301191179,-0.7056413023274131
2.22,0.0,438.065896488,0.0,0.18501682064342198,-0.0667300977914054,0.1966828153963907,-0.7062335836726752
2.23,0.0,440.039166292,0.0,0.18442278709363089,-0.06760295330915156,0.19642281867314204,-0.7068080611102809
2.24,0.0,442.01243609600004,0.0,0.1838295598327204,-0.06848296133204523,0.19617141244610065,-0.707364280959633
2.25,0.0,443.98570589999997,0.0,0.18323718539575937,-0.06937014227106716,0.1959287695834075,-0.7079017888447195
2.26,0.0,445.95897570399995,0.0,0.1826457103923346,-0.07026451644219744,0.1956950632887207,-0.7084201299552324
2.27,0.0,447.932245508,0.0,0.18205518153368158,-0.07116610406009725,0.19547046705411625,-0.7089188493387034
2.28,0.0,449.905515312,0.0,0.18146564565302273,-0.07207492523349132,0.19525515460463974,-0.7093974922173601
2.29,0.0,451.878785116,0.0,0.18087714972114227,-0.07299099996173425,0.19504929983637062,-0.7098556043255118
2.3,0.0,453.85205491999994,0.0,0.18028974085854926,-0.07391434813221995,0.19485307674926217,-0.7102927322645307
2.31,0.0,455.825324724,0.0,0.1797034663451518,-0.07484498951840364,0.19466665937564412,-0.7107084238732779
2.32,0.0,457.79859452799997,0.0,0.17911837362807986,-0.075782943778276,0.19449022170502495,-0.7111022286123195
2.33,0.0,459.771864332,0.0,0.178534510328119,-0.07672823045317788,0.19432393760568256,-0.7114736979605732
2.34,0.0,461.745134136,0.0,0.17795192424508127,-0.07768086896687366,0.19416798074341646,-0.7118223858232364
2.35,0.0,463.71840394000003,0.0,0.17737066336235865,-0.07864087862482501,0.19402252449776963,-0.7121478489499555
2.36,0.0,465.69167374399996,0.0,0.1767907758508103,-0.0796082786136205,0.19388774187595068,-0.7124496473623319
2.37,0.0,467.664943548,0.0,0.17621231007222649,-0.08058308800052975,0.193763805424779,-0.7127273447896179
2.38,0.0,469.638213352,0.0,0.17563531458228412,-0.08156532573315539,0.19365088714068326,-0.7129805091120792
2.39,0.0,471.611483156,0.0,0.17505983813326975,-0.08255501063916602,0.19354915837812217,-0.7132087128107046
2.4,0.0,473.58475295999995,0.0,0.1744859296765147,-0.08355216142609337,0.1934587897564998,-0.7134115334225823
2.41,0.0,475.55802276400004,0.0,0.17391363836463147,-0.08455679668118428,0.193379951065789,-0.7135885540009114
2.42,0.0,477.53129256799997,0.0,0.17334301355358642,-0.0855689348712959,0.1933128111710316,-0.7137393635786912
2.43,0.0,479.504562372,0.0,0.17277410480463867,-0.08658859434282959,0.19325753791588923,-0.7138635576350922
2.44,0.0,481.477832176,0.0,0.17220696188617288,-0.08761579332169561,0.19321429802542014,-0.7139607385634849
2.45,0.0,483.45110198000003,0.0,0.17164163477544528,-0.08865054991330515,0.19318325700825822,-0.7140305161400738
2.46,0.0,485.42437178399996,0.0,0.1710781736602624,-0.0896928821025856,0.19316457905837503,-0.7140725079920611
2.47,0.0,487.39764158800006,0.0,0.17051662894060343,-0.09074280775401611,0.1931584269566041,-0.7140863400642383
2.48,0.0,489.370911392,0.0,0.16995705123020205,-0.09180034461167988,0.1931649619721152,-0.7140716470828801
2.49,0.0,491.344181196,0.0,0.1693994913580939,-0.09286551029933361,0.1931843437640239,-0.7140280730157991
2.5,0.0,493.317451,0.0,0.16884400037014133,-0.09393832232048885,0.19321673028332806,-0.7139552715274002
2.51,0.0,495.29072080399993,0.0,0.1682906295305402,-0.09501879805850738,0.19326227767536253,-0.7138529064275636
2.52,0.0,497.263990608,0.0,0.16773943032331595,-0.09610695477670621,0.19332114018296712,-0.713720652113176
2.53,0.0,499.23726041199996,0.0,0.1671904544538144,-0.09720280961847388,0.19339347005056365,-0.7135581940011265
2.54,0.0,501.210530216,0.0,0.16664375385019053,-0.09830637960739519,0.1934794174293384,-0.7133652289515819
2.55,0.0,503.18380002,0.0,0.16609938066490093,-0.09941768164738479,0.1935791302837277,-0.7131414656803665
2.56,0.0,505.157069824,0.0,0.16555738727620167,-0.10053673252282831,0.19369275429940314,-0.7128866251592758
2.57,0.0,507.13033962799994,0.0,0.1650178262896566,-0.10166354889873111,0.19382043279295394,-0.7126004410031731
2.58,0.0,509.103609432,0.0,0.16448075053965594,-0.10279814732087364,0.1939623066234586,-0.7122826598427404
2.59,0.0,511.07687923599997,0.0,0.1639462130909505,-0.10394054421597318,0.1941185141061409,-0.7119330416817753
2.6,0.0,513.0501490400001,0.0,0.16341426724020255,-0.10509075589185188,0.1942891909282993,-0.7115513602379603
2.61,0.0,515.0234188439999,0.0,0.1628849665175538,-0.10624879853760985,0.19447447006769353,-0.711137403266073
2.62,0.0,516.996688648,0.0,0.16235836468821518,-0.10741468822380493,0.1946744817135741,-0.7106909728626319
2.63,0.0,518.969958452,0.0,0.16183451575407773,-0.10858844090263638,0.19488935319052753,-0.7102118857510394
2.64,0.0,520.943228256,0.0,0.16131347395534673,-0.1097700724081346,0.19511920888531054,-0.709699973546318
2.65,0.0,522.91649806,0.0,0.16079529377220095,-0.11095959845635495,0.1953641701768365,-0.7091550829986035
2.66,0.0,524.889767864,0.0,0.1602800299264781,-0.1121570346455769,0.19562435536947298,-0.7085770762146112
2.67,0.0,526.863037668,0.0,0.1597677373833868,-0.11336239645650659,0.19589987962979719,-0.7079658308563659
2.68,0.0,528.836307472,0.0,0.15925847135324742,-0.11457569925248524,0.1961908549269539,-0.707321240316543
2.69,0.0,530.809577276,0.0,0.15875228729326318,-0.11579695827970059,0.19649738997674623,-0.7066432138698514
2.7,0.0,532.78284708,0.0,0.15824924090931997,-0.11702618866740305,0.19681959018958098,-0.7059316767999603
2.71,0.0,534.756116884,0.0,0.15774938815781964,-0.11826340542812537,0.19715755762238382,-0.7051865705015467
2.72,0.0,536.729386688,0.0,0.1572527852475442,-0.11950862345790703,0.19751139093458397,-0.704407852557127
2.73,0.0,538.702656492,0.0,0.1567594886415543,-0.12076185753652133,0.1978811853482606,-0.703595496788416
2.74,0.0,540.6759262960001,0.0,0.156269555059123,-0.12202312232770779,0.19826703261253245,-0.7027494932820347
2.75,0.0,542.6491961,0.0,0.1557830414777004,-0.12329243237940606,0.19866902097225259,-0.7018698483894946
2.76,0.0,544.6224659039999,0.0,0.1553000051349207,-0.12456980212399578,0.19908723514107543,-0.7009565847014309
2.77,0.0,546.595735708,0.0,0.1548205035306499,-0.12585524587853825,0.1995217562789364,-0.7000097409961774
2.78,0.0,548.569005512,0.0,0.1543445944290401,-0.12714877784502204,0.19997266197394994,-0.6990293721629076
2.79,0.0,550.542275316,0.0,0.15387233586067708,-0.12845041211061262,0.20044002622881296,-0.6980155490994472
2.8,0.0,552.51554512,0.0,0.15340378612472005,-0.1297601626479039,0.20092391945164054,-0.6969683585852686
2.81,0.0,554.488814924,0.0,0.1529390037911002,-0.13107804331517536,0.20142440845128268,-0.6958879031299654
2.82,0.0,556.4620847279999,0.0,0.15247804770276296,-0.13240406785664924,0.20194155643708958,-0.6947743007977341
2.83,0.0,558.435354532,0.0,0.1520209769779451,-0.13373824990275437,0.20247542302309307,-0.6936276850084402
2.84,0.0,560.408624336,0.0,0.15156785101249876,-0.13508060297039015,0.20302606423656838,-0.6924482043158986
2.85,0.0,562.38189414,0.0,0.15111872948225802,-0.13643114046319532,0.20359353253092302,-0.6912360221640819
2.86,0.0,564.355163944,0.0,0.1506736723454498,-0.1377898756718199,0.2041778768028494,-0.68999131662203
2.87,0.0,566.3284337480001,0.0,0.1502327398451504,-0.1391568217741986,0.20477914241366652,-0.6887142800983008
2.88,0.0,568.3017035519999,0.0,0.14979599251178827,-0.14053199183582862,0.2053973712147678,-0.6874051190358499
2.89,0.0,570.274973356,0.0,0.14936349116569309,-0.14191539881004966,0.20603260157707937,-0.6860640535882846
2.9,0.0,572.24824316,0.0,0.14893529691969387,-0.14330705553832743,0.20668486842442685,-0.6846913172784824
2.91,0.0,574.221512964,0.0,0.14851147118176544,-0.1447069747505387,0.20735420327069667,-0.6832871566406071
2.92,0.0,576.194782768,0.0,0.1480920756577243,-0.1461151690652606,0.20804063426067232,-0.6818518308465894
2.93,0.0,578.168052572,0.0,0.1476771723539755,-0.14753165099006194,0.20874418621441707,-0.6803856113181713
2.94,0.0,580.141322376,0.0,0.1472668235803109,-0.14895643292179683,0.20946488067506727,-0.6788887813256435
2.95,0.0,582.11459218,0.0,0.14686109195276018,-0.15038952714690204,0.21020273595989628,-0.6773616355744139
2.96,0.0,584.087861984,0.0,0.14646004039649535,-0.15183094584169543,0.21095776721449935,-0.6758044797805767
2.97,0.0,586.061131788,0.0,0.14606373214878884,-0.15328070107267924,0.21172998646994995,-0.6742176302366448
2.98,0.0,588.034401592,0.0,0.14567223076202854,-0.15473880479684288,0.21251940270276767,-0.6726014133686273
2.99,0.0,590.007671396,0.0,0.14528560010678782,-0.15620526886197142,0.21332602189754124,-0.670956165285619
3.0,0.0,591.9809412,0.0,0.14490390437495396,-0.15768010500695398,0.21414984711203935,-0.6692822313230801
3.01,0.0,593.954211004,0.0,0.1445272080829141,-0.1591633248620961,0.21499087854464685,-0.6675799655809578
3.02,0.0,595.927480808,0.0,0.1441555760748023,-0.16065493994943392,0.21584911360395792,-0.6658497304577959
3.03,0.0,597.9007506119999,0.0,0.1437890735258057,-0.1621549616830507,0.21672454698035754,-0.6640918961819614
3.04,0.0,599.874020416,0.0,0.1434277659455331,-0.16366340136939583,0.21761717071942321,-0.6623068403410859
3.05,0.0,601.84729022,0.0,0.1430717191814467,-0.1651802702076058,0.21852697429697876,-0.6604949474108013
3.06,0.0,603.820560024,0.0,0.14272099942235733,-0.1667055792898284,0.21945394469563265,-0.6586566082838113
3.07,0.0,605.793829828,0.0,0.14237567320198485,-0.16823933960154733,0.2203980664826331,-0.6567922198003181
3.08,0.0,607.767099632,0.0,0.14203580740258592,-0.1697815620219112,0.2213593218888795,-0.6549021842807692
3.09,0.0,609.7403694359999,0.0,0.14170146925864796,-0.1713322573240629,0.2223376908889234,-0.6529869090618741
3.1,0.0,611.71363924,0.0,0.1413727263606531,-0.17289143617547167,0.2233331512818043,-0.6510468060367764
3.11,0.0,613.686909044,0.0,0.14104964665891184,-0.17445910913826781,0.22434567877256276,-0.6490822912002396
3.12,0.0,615.660178848,0.0,0.14073229846746785,-0.17603528666957882,0.2253752470542789,-0.6470937841996526
3.13,0.0,617.633448652,0.0,0.14042075046807675,-0.17761997912186722,0.22642182789048945,-0.6450817078926174
3.14,0.0,619.6067184560001,0.0,0.14011507171425683,-0.17921319674327138,0.22748539119783898,-0.6430464879118344
3.15,0.0,621.5799882599999,0.0,0.13981533163541826,-0.18081494967794756,0.22856590512882866,-0.6409885522379472
3.16,0.0,623.553258064,0.0,0.139521600041066,-0.18242524796641396,0.229663336154526,-0.6389083307809729
3.17,0.0,625.526527868,0.0,0.13923394712508413,-0.18404410154589673,0.23077764914711102,-0.6368062549708792
3.18,0.0,627.499797672,0.0,0.13895244347009758,-0.18567152025067826,0.23190880746213305,-0.634682757357833
3.19,0.0,629.473067476,0.0,0.13867716005191716,-0.18730751381244587,0.23305677302036223,-0.6325382712225929
3.2,0.0,631.4463372800001,0.0,0.13840816824406738,-0.18895209186064452,0.23422150638912623,-0.6303732301974627
3.21,0.0,633.419607084,0.0,0.13814553982239314,-0.19060526392282867,0.23540296686301893,-0.6281880678982001
3.22,0.0,635.392876888,0.0,0.13788934696976607,-0.1922670394250188,0.23660111254389796,-0.6259832175671765
3.23,0.0,637.366146692,0.0,0.13763966228086405,-0.19393742769205638,0.23781590042005582,-0.623759111728115
3.24,0.0,639.339416496,0.0,0.13739655876704734,-0.19561643794796343,0.23904728644449433,-0.6215161818526144
3.25,0.0,641.3126863,0.0,0.13716010986132632,-0.1973040793163014,0.24029522561221323,-0.6192548580386678
3.26,0.0,643.285956104,0.0,0.1369303894234198,-0.1990003608205339,0.24155967203643924,-0.616975568701332
3.27,0.0,645.259225908,0.0,0.13670747174491069,-0.20070529138438803,0.24284057902372425,-0.6146787402756636
3.28,0.0,647.232495712,0.0,0.1364914315544952,-0.20241887983222076,0.24413789914785142,-0.6123647969319949
3.29,0.0,649.205765516,0.0,0.13628234402333395,-0.20414113488938376,0.24545158432248898,-0.6100341603035948
3.3,0.0,651.1790353199999,0.0,0.1360802847705022,-0.20587206518259096,0.24678158587254026,-0.6076872492267199
2.2,0.01,434.11935688000005,1.973269804,0.1859120032829964,-0.06461259497717492,0.1968198678852857,-0.7059310640478099
2.21,0.01,436.092626684,1.973269804,0.18531394846183308,-0.06547028811893424,0.19653910074306127,-0.706551035376799
2.22,0.01,438.065896488,1.973269804,0.1847165978092286,-0.06633510424277982,0.19626657270436243,-0.707153661307951
2.23,0.01,440.039166292,1.973269804,0.18411999786966593,-0.06720706396437612,0.19600245677602496,-0.7077384849823811
2.24,0.01,442.01243609600004,1.973269804,0.18352419517249474,-0.06808618782652825,0.19574692637806915,-0.7083050485166292
2.25,0.01,443.98570589999997,1.973269804,0.18292923628409255,-0.06897249628639932,0.19550015532336215,-0.7088528932243686
2.26,0.01,445.95897570399995,1.973269804,0.1823351678450297,-0.06986600970657383,0.19526231778147626,-0.709381559879407
2.27,0.01,447.932245508,1.973269804,0.1817420365972712,-0.07076674834865582,0.19503358823127323,-0.7098905890100906
2.28,0.01,449.905515312,1.973269804,0.1811498894045671,-0.07167473236859015,0.19481414140507336,-0.7103795212188008
2.29,0.01,451.878785116,1.973269804,0.18055877326806763,-0.07258998181318321,0.1946041522262763,-0.7108478975223376
