g_fm,m_fixed_fm,g_MeV,residual_re,residual_im,residual_norm,log10_residual_norm
0.0,3.109228104708438,0.0,0.1410743817733565,-0.17433779843772293,0.22426691498490553,-0.6492347910594981
0.01,3.109228104708438,1.973269804,0.1405139691152901,-0.17391424175459375,0.22358519405722727,-0.6505569590689089
0.02,3.109228104708438,3.946539608,0.13995423668471332,-0.17348978331719037,0.22290332721035463,-0.6518834488893781
0.03,3.109228104708438,5.919809411999999,0.13939518448124927,-0.1730644231258466,0.22222131312824966,-0.653214290444209
0.04,3.109228104708438,7.893079216,0.13883681250452037,-0.1726381611808993,0.22153915049565734,-0.6545495139476195
0.05,3.109228104708438,9.866349020000001,0.13827912075414844,-0.1722109974826888,0.22085683799810912,-0.6558891499085435
0.06,3.109228104708438,11.839618823999999,0.137722109229755,-0.17178293203155817,0.2201743743219258,-0.657233229134496
0.07,3.109228104708438,13.812888628000001,0.13716577793096085,-0.17135396482785398,0.2194917581542211,-0.6585817827355003
0.08,3.109228104708438,15.786158432,0.13661012685738655,-0.17092409587192606,0.2188089881829049,-0.6599348421280815
0.09,3.109228104708438,17.759428235999998,0.1360551560086521,-0.17049332516412752,0.2181260630966863,-0.661292439039326
0.1,3.109228104708438,19.732698040000002,0.13550086538437695,-0.1700616527048146,0.21744298158507674,-0.662654605511009
0.11,3.109228104708438,21.705967844,0.13494725498418045,-0.169629078494347,0.2167597423383935,-0.6640213739037896
0.12,3.109228104708438,23.679237647999997,0.13439432480768107,-0.1691956025330878,0.2160763440477627,-0.665392776901478
0.13,3.109228104708438,25.652507452000002,0.13384207485449734,-0.16876122482140338,0.21539278540512244,-0.6667688475153736
0.14,3.109228104708438,27.625777256000003,0.13329050512424725,-0.1683259453596637,0.2147090651032263,-0.6681496190886762
0.15,3.109228104708438,29.599047059999997,0.13273961561654848,-0.1678897641482417,0.21402518183564584,-0.6695351253009731
0.16,3.109228104708438,31.572316864,0.13218940633101836,-0.16745268118751436,0.21334113429677456,-0.6709254001728007
0.17,3.109228104708438,33.545586668,0.13163987726727394,-0.16701469647786166,0.21265692118183033,-0.6723204780702853
0.18,3.109228104708438,35.518856471999996,0.13109102842493184,-0.1665758100196674,0.21197254118685896,-0.6737203937098629
0.19,3.109228104708438,37.492126276,0.13054285980360872,-0.16613602181331877,0.21128799300873718,-0.6751251821630803
0.2,3.109228104708438,39.465396080000005,0.12999537140292072,-0.16569533185920648,0.21060327534517564,-0.676534878861478
0.21,3.109228104708438,41.438665883999995,0.12944856322248405,-0.1652537401577249,0.20991838689472228,-0.6779495196015591
0.22,3.109228104708438,43.411935688,0.12890243526191433,-0.16481124670927205,0.20923332635676506,-0.679369140549843
0.23,3.109228104708438,45.385205492000004,0.1283569875208273,-0.16436785151424943,0.20854809243153524,-0.6807937782480081
0.24,3.109228104708438,47.358475295999995,0.12781221999883866,-0.16392355457306232,0.2078626838201106,-0.6822234696181233
0.25,3.109228104708438,49.3317451,0.12726813269556353,-0.16347835588611964,0.20717709922441804,-0.683658251967973
0.26,3.109228104708438,51.305014904000004,0.12672472561061732,-0.16303225545383407,0.20649133734723707,-0.6850981629964737
0.27,3.109228104708438,53.278284708,0.1261819987436153,-0.16258525327662193,0.2058053968922026,-0.6865432407991877
0.28,3.109228104708438,55.251554512000006,0.1256399520941725,-0.16213734935490332,0.20511927656380793,-0.687993523873934
0.29,3.109228104708438,57.224824315999996,0.12509858566190404,-0.1616885436891023,0.20443297506740807,-0.6894490511264988
0.3,3.109228104708438,59.19809411999999,0.1245578994464251,-0.16123883627964644,0.20374649110922224,-0.6909098618764492
0.31,3.109228104708438,61.171363924,0.12401789344735076,-0.1607882271269675,0.2030598233963374,-0.6923759958630483
0.32,3.109228104708438,63.144633728,0.12347856766429618,-0.16033671623150073,0.20237297063671067,-0.6938474932512804
0.33,3.109228104708438,65.117903532,0.12293992209687667,-0.15988430359368555,0.20168593153917283,-0.6953243946379807
0.34,3.109228104708438,67.091173336,0.12240195674470752,-0.15943098921396515,0.20099870481343088,-0.6968067410580797
0.35,3.109228104708438,69.06444314,0.12186467160740419,-0.15897677309278666,0.2003112891700711,-0.6982945739909593
0.36,3.109228104708438,71.03771294399999,0.12132806668458233,-0.15852165523060138,0.1996236833205622,-0.6997879353669239
0.37,3.109228104708438,73.010982748,0.12079214197585764,-0.1580656356278643,0.19893588597725778,-0.7012868675737927
0.38,3.109228104708438,74.984252552,0.12025689748084628,-0.15760871428503465,0.1982478958533998,-0.7027914134636098
0.39,3.109228104708438,76.957522356,0.11972233319916442,-0.15715089120257547,0.1975597116631209,-0.7043016163594816
0.4,3.109228104708438,78.93079216000001,0.1191884491304286,-0.15669216638095407,0.1968713321214477,-0.705817520062537
0.41,3.109228104708438,80.904061964,0.11865524527425549,-0.1562325398206419,0.1961827559443036,-0.7073391688590194
0.42,3.109228104708438,82.87733176799999,0.11812272163026238,-0.15577201152211428,0.19549398184851155,-0.7088666075275109
0.43,3.109228104708438,84.850601572,0.1175908781980667,-0.15531058148585086,0.19480500855179694,-0.7103998813462902
0.44,3.109228104708438,86.823871376,0.11705971497728639,-0.15484824971233538,0.19411583477279049,-0.7119390361008299
0.45,3.109228104708438,88.79714118,0.11652923196753959,-0.15438501620205575,0.1934264592310309,-0.713484118091435
0.46,3.109228104708438,90.77041098400001,0.11599942916844522,-0.15392088095550416,0.1927368806469681,-0.7150351741410251
0.47,3.109228104708438,92.74368078799999,0.11547030657962232,-0.15345584397317702,0.1920470977419654,-0.7165922516030665
0.48,3.109228104708438,94.71695059199999,0.11494186420069086,-0.15298990525557496,0.1913571092383031,-0.7181553983696523
0.49,3.109228104708438,96.690220396,0.11441410203127095,-0.15252306480320293,0.19066691385918041,-0.7197246628797409
0.5,3.109228104708438,98.6634902,0.11388702007098357,-0.15205532261657018,0.18997651032871893,-0.7213000941275499
0.51,3.109228104708438,100.636760004,0.11336061831945013,-0.1515866786961903,0.18928589737196505,-0.7228817416711134
0.52,3.109228104708438,102.61002980800001,0.1128348967762929,-0.15111713304258126,0.18859507371489287,-0.7244696556410044
0.53,3.109228104708438,104.583299612,0.1123098554411345,-0.15064668565626538,0.1879040380844067,-0.7260638867492278
0.54,3.109228104708438,106.556569416,0.1117854943135987,-0.15017533653776938,0.18721278920834414,-0.7276644862982848
0.55,3.109228104708438,108.52983922000001,0.1112618133933097,-0.14970308568762442,0.1865213258154785,-0.7292715061904175
0.56,3.109228104708438,110.50310902400001,0.11073881267989263,-0.1492299331063661,0.18582964663552165,-0.7308849989370334
0.57,3.109228104708438,112.476378828,0.11021649217297337,-0.1487558787945346,0.1851377503991268,-0.7325050176683168
0.58,3.109228104708438,114.44964863199999,0.10969485187217884,-0.1482809227526744,0.18444563583789086,-0.734131616143031
0.59,3.109228104708438,116.42291843599999,0.10917389177713667,-0.14780506498133467,0.18375330168435752,-0.7357648487585149
0.6,3.109228104708438,118.39618823999999,0.10865361188747541,-0.14732830548106904,0.1830607466720196,-0.7374047705608795
