xi,T_MeV,mu_pass,density_pass,area_pass,spinodal_pass,all_pass,mu_abs_diff,rho_hadron_abs_diff,rho_quark_abs_diff,area_abs_diff,rho_spinodal_hadron_abs_diff,rho_spinodal_quark_abs_diff
-0.5,5.0,True,True,True,True,True,2.063075044134166e-09,0.0,7.259259859893064e-11,1.0698404882478196e-08,1.6792123247455493e-15,2.872813098520055e-12
-0.5,7.0,True,True,True,True,True,1.1368683772161603e-13,0.0,2.1449508835758024e-13,2.4791210913571032e-11,4.860001290296623e-14,0.0
-0.5,9.0,True,True,True,True,True,4.0051872929325327e-10,0.0,1.0673240069536405e-11,9.053291777816504e-11,2.6492696925117798e-14,5.1958437552457326e-14
-0.5,11.0,True,True,True,True,True,2.122337377841177e-06,0.0,5.6502778900124895e-08,4.098420375333678e-06,9.375833442959447e-14,7.571721027943568e-14
-0.5,13.0,True,True,True,True,True,4.223675432513119e-06,4.296630065794935e-12,1.1244187758663315e-07,6.3364842564353e-06,7.779887845060784e-14,3.1530333899354446e-13
-0.5,15.0,True,True,True,True,True,2.1006691781622067e-06,7.425202610427707e-12,5.59213506612366e-08,5.885179594317013e-06,5.623279619726418e-14,5.084821452783217e-14
-0.5,19.0,True,True,True,True,True,1.5061232261359692e-09,3.3536256996251346e-14,4.00643962450431e-11,4.173847185950409e-09,5.284661597215745e-14,1.3722356584366935e-13
-0.5,21.0,True,True,True,True,True,2.06436470762128e-06,8.323939904323827e-11,5.490624266357713e-08,5.777484662495679e-06,2.9004576518332215e-13,1.2567724638756772e-13
-0.5,23.0,True,True,True,True,True,5.908304956392385e-10,2.1740421962679335e-14,1.5715428958174016e-11,1.6526640236446538e-09,5.079270337660091e-14,4.6629367034256575e-15
-0.5,25.0,True,True,True,True,True,1.765556589816697e-10,1.185585917634624e-14,4.695355215744712e-12,4.938324462896992e-10,2.117750419472486e-14,1.2745360322696797e-13
-0.5,27.0,True,True,True,True,True,4.042021885197755e-06,5.092738891189497e-10,1.0753278312236603e-07,4.5319031067348636e-06,3.799738301779598e-14,2.107203300738547e-13
-0.5,29.0,True,True,True,True,True,2.3419488570652902e-11,3.4074305876874433e-15,6.226130722097878e-13,6.68098579829576e-11,1.1671219546371958e-13,8.79296635503124e-14
-0.5,31.0,True,True,True,True,True,3.970791169649601e-06,7.475104420000267e-10,1.0559162033629832e-07,7.4088122229081605e-06,7.382983113757291e-14,1.4144241333724494e-13
-0.5,33.0,True,True,True,True,True,3.7073277781018987e-10,9.588597277288002e-14,9.852119120523639e-12,1.0335231481945796e-09,7.166489623955385e-14,2.353672812205332e-14
-0.5,35.0,True,True,True,True,True,2.944489096989855e-11,1.0118642035372716e-14,7.620570841027074e-13,8.163897124513833e-11,1.0083600621157984e-13,0.0
-0.5,37.0,True,True,True,True,True,8.403162610193249e-10,2.9755451574908776e-13,2.2379875730393906e-11,2.3407748482313483e-09,3.1280533718813786e-14,7.993605777301127e-15
-0.5,39.0,True,True,True,True,True,1.0982148523908108e-10,5.0525555961300483e-14,2.922995179233112e-12,3.0556574725880544e-10,1.0957901253050295e-13,6.261657858885883e-14
-0.5,41.0,True,True,True,True,True,3.769659258523461e-06,2.1939817350033475e-09,1.0047173892857586e-07,8.549723944760947e-06,2.456645997739315e-13,1.2168044349891716e-13
-0.5,43.0,True,True,True,True,True,3.7184762504693936e-06,2.0609944376137612e-09,9.915033105656335e-08,6.467827789240086e-06,2.942091015256665e-13,1.8451906669270102e-13
-0.5,45.0,True,True,True,True,True,3.6846843727289524e-06,2.7809683913332384e-09,9.83453922742683e-08,8.864606019629283e-06,4.3864911702939935e-13,7.016609515630989e-14
-0.5,47.0,True,True,True,True,True,3.626956527114089e-06,3.413682440889243e-09,9.691429347924441e-08,3.915164451868734e-06,1.1368683772161603e-13,2.120525977034049e-13
-0.5,49.0,True,True,True,True,True,3.5813597492051485e-06,3.2268490102183023e-09,9.582048887679662e-08,4.525247388637104e-06,9.797718192317006e-14,7.127631818093505e-14
-0.5,51.0,True,True,True,True,True,5.201172825763933e-10,5.562425520189151e-13,1.3939072118773765e-11,1.4390788690221167e-09,2.6700863742235015e-13,1.5187850976872141e-13
-0.5,53.0,True,True,True,True,True,3.4781569979713822e-06,4.268825234271523e-09,9.335436779167594e-08,9.6132286954825e-06,7.19757586864489e-13,0.0
-0.5,55.0,True,True,True,True,True,1.783575953595573e-09,2.454397796114449e-12,4.796252284222646e-11,4.924090219969037e-09,3.2335245592207684e-13,4.440892098500626e-15
-0.5,57.0,True,True,True,True,True,3.3700873700581724e-06,5.110510240685651e-09,9.081812235578468e-08,5.694460505880119e-06,2.1332935418172383e-13,5.1958437552457326e-14
-0.5,59.0,True,True,True,True,True,3.318367305382708e-06,5.471503337212136e-09,8.963653863602872e-08,3.3352660475856033e-06,4.27380353329454e-13,5.906386491005833e-14
-0.5,61.0,True,True,True,True,True,1.4267698134062812e-11,2.849109836944308e-14,3.863576125695545e-13,3.919673799131305e-11,5.95967719618784e-13,1.247890679678676e-13
-0.5,63.0,True,True,True,True,True,6.94626578479074e-11,1.4403755965730625e-13,1.886490963443066e-12,1.9085599332229527e-10,3.165800954718634e-13,1.7075230118734908e-13
-0.5,65.0,True,True,True,True,True,7.969740778435153e-05,1.6543510554363483e-05,2.0902598691918683e-06,1.3236362588277786e-06,2.3940607884798126e-05,6.982912517772277e-06
-0.5,67.0,True,True,True,True,True,1.1898464435944334e-09,2.823838385346278e-12,3.255262726042929e-11,3.2602838086323496e-09,8.604228440844963e-14,4.707345624410664e-14
-0.5,69.0,True,True,True,True,True,1.3517365005100146e-10,3.5636771311686744e-13,3.7125857943465235e-12,3.6986996061402766e-10,1.1812772982011666e-13,1.4566126083082054e-13
-0.5,71.0,True,True,True,True,True,3.091929818310746e-05,4.0283365134355376e-05,8.361998307115925e-07,7.455817643095444e-07,1.9990751181031552e-05,5.908279120392379e-06
