xi,T_MeV,mu_pass,density_pass,area_pass,spinodal_pass,all_pass,mu_abs_diff,rho_hadron_abs_diff,rho_quark_abs_diff,area_abs_diff,rho_spinodal_hadron_abs_diff,rho_spinodal_quark_abs_diff
-0.5,35.0,True,True,True,True,True,2.2696440282743424e-09,6.920870126991829e-13,6.039879707486762e-11,6.3266253531608224e-09,6.888933867799096e-14,5.773159728050814e-14
-0.5,37.0,True,True,True,True,True,8.166693987732287e-10,2.8916279093404995e-13,2.1742607714259066e-11,2.274723885328008e-09,8.146261443187086e-14,7.993605777301127e-14
-0.5,39.0,True,True,True,True,True,1.136072569352109e-09,5.241128711586107e-13,3.026467965128177e-11,3.161785726051231e-09,2.398081733190338e-13,1.2323475573339238e-13
-0.5,41.0,True,True,True,True,True,3.7707748674620234e-06,2.194631150420623e-09,1.0050147736251347e-07,8.552825998114113e-06,4.520273044761325e-13,1.4810375148499588e-13
-0.5,43.0,True,True,True,True,True,3.718848859080026e-06,2.061200926953277e-09,9.916026355583085e-08,6.46886294907516e-06,8.47655279301307e-14,7.616129948928574e-14
-0.5,45.0,True,True,True,True,True,3.681679288547457e-06,2.7787003427370838e-09,9.826518798661255e-08,8.85626555217313e-06,3.956834859764058e-13,7.260858581048524e-14
-0.5,47.0,True,True,True,True,True,3.630533115028811e-06,3.4170487828166785e-09,9.70098597008473e-08,3.925081525434014e-06,5.505040867603839e-13,2.646771690706373e-13
-0.5,49.0,True,True,True,True,True,3.5810228951049794e-06,3.2265455394281384e-09,9.581147875081797e-08,4.524314276679333e-06,7.793765632868599e-14,1.9118040484045196e-13
-0.5,51.0,True,True,True,True,True,1.6042349670897238e-09,1.7151002840165575e-12,4.298561506743681e-11,4.438816748678974e-09,1.513789094076401e-13,1.1723955140041653e-13
-0.5,53.0,True,True,True,True,True,3.47258998090183e-06,4.261992543608262e-09,9.320494642750532e-08,9.597842142605443e-06,6.380451722520775e-13,1.9406698470447736e-13
-0.5,55.0,True,True,True,True,True,3.825789463007823e-09,5.264757380052387e-12,1.028794827107049e-10,1.0561980282536832e-08,2.0317081350640365e-13,5.46229728115577e-14
-0.5,57.0,True,True,True,True,True,3.3700919175316812e-06,5.1105174744825455e-09,9.08182449244066e-08,5.694473048936121e-06,5.683786774568489e-13,5.1958437552457326e-14
-0.5,59.0,True,True,True,True,True,3.3202263125531317e-06,5.4745684027746044e-09,8.968675491161093e-08,3.340386239027232e-06,1.407207683712386e-12,8.482103908136196e-14
-0.5,61.0,True,True,True,True,True,3.7862264434807e-09,7.428953285870676e-12,1.0254375126805826e-10,1.0415299918066457e-08,1.012356865004449e-12,9.769962616701378e-15
-0.5,63.0,True,True,True,True,True,5.493461685546208e-09,1.140575828229018e-11,1.4921663904488014e-10,1.509257919596991e-08,1.6042722705833512e-14,1.0325074129013956e-13
-0.5,65.0,True,True,True,True,True,7.969628103410287e-05,1.6543513323565018e-05,2.0902291506530446e-06,1.3205447321384073e-06,2.3940607884798126e-05,6.982912491348969e-06
-0.5,67.0,True,True,True,True,True,1.5650130080757663e-09,3.71435521229202e-12,4.281686116769379e-11,4.288262891145671e-09,1.400546345564635e-13,5.88418203051333e-14
-0.5,69.0,True,True,True,True,True,1.0171561370952986e-09,2.690479783407085e-12,2.793365538877879e-11,2.783255781120368e-09,9.242606680004428e-14,8.01581023779363e-14
-0.5,71.0,True,True,True,True,True,3.091857320214331e-05,4.0283367241947254e-05,8.361798369271867e-07,7.475626772192692e-07,1.9990751269349794e-05,5.908279141930706e-06
-0.5,73.0,True,True,True,True,True,3.124766635664855e-05,2.6815067499505463e-05,5.217485239406017e-07,1.2987233977933548e-07,1.943492516220946e-05,3.949145646942043e-06
-0.5,75.0,True,True,True,True,True,2.2461764842773846e-05,2.0304743126448033e-06,5.156363567238031e-07,1.232468352917529e-06,8.69488865884449e-06,6.358101846792863e-06
-0.5,77.0,True,True,True,True,True,1.5870006564000505e-05,3.159703353124155e-05,1.366406787717267e-07,5.852529228338654e-06,1.674825532149704e-05,5.310483557341428e-06
-0.5,79.0,True,True,True,True,True,2.6804908088706725e-06,1.1278789971425063e-08,7.55289004672477e-08,7.277937628608847e-06,4.21995771660022e-13,2.0872192862952943e-14
-0.5,81.0,True,True,True,True,True,1.3660610420629382e-09,6.034200916715804e-12,3.874500720257856e-11,3.7024755843682866e-09,5.349054532644004e-13,6.838973831690964e-14
