artifact,match_status,grid_change_kind,xi,match_key,metric,candidate_value,reference_value,abs_diff,rel_diff
crossover,matched,physical_mu_union,0.2875,0.2875|0,T_crossover_MeV,207.93496384518588,207.93496384518588,0.0,0.0
crossover,matched,physical_mu_union,0.2875,0.2875|0,rho,-0.0,-0.0,0.0,0.0
crossover,matched,physical_mu_union,0.2875,0.2875|0,derivative,8.06425095409993,8.06425095409993,0.0,0.0
crossover,interpolated,physical_mu_union,0.2875,0.2875|24.7968242595,T_crossover_MeV,207.48903247559832,207.48931236706372,0.0002798914653965312,1.3489440116384538e-06
crossover,interpolated,physical_mu_union,0.2875,0.2875|24.7968242595,rho,0.4432792154792818,0.4432832042439437,3.98876466189968e-06,8.998230981259146e-06
crossover,interpolated,physical_mu_union,0.2875,0.2875|24.7968242595,derivative,8.074212680371993,8.074219180397805,6.5000258118175225e-06,8.050346004475539e-07
crossover,interpolated,physical_mu_union,0.2875,0.2875|24.812397908,T_crossover_MeV,207.4881885893869,207.48903247559832,0.0008438862114132917,4.067136471478494e-06
crossover,interpolated,physical_mu_union,0.2875,0.2875|24.812397908,rho,0.44354947656347055,0.44356160831463315,1.21317511626029e-05,2.7350769172063784e-05
crossover,interpolated,physical_mu_union,0.2875,0.2875|24.812397908,derivative,8.07423269419512,8.07422544094355,7.253251569139252e-06,8.983216560140585e-07
crossover,interpolated,physical_mu_union,0.2875,0.2875|49.593648519,T_crossover_MeV,206.14537186430766,206.1375782925765,0.007793571731156135,3.780762244181657e-05
crossover,interpolated,physical_mu_union,0.2875,0.2875|49.593648519,rho,0.8735969155220793,0.8734109519461004,0.0001859635759788869,0.0002129164691197541
crossover,interpolated,physical_mu_union,0.2875,0.2875|49.593648519,derivative,8.106079282116918,8.106094975322087,1.5693205169142743e-05,1.935975980656357e-06
crossover,interpolated,physical_mu_union,0.2875,0.2875|49.624795816,T_crossover_MeV,206.1425220918361,206.13587966382235,0.006642428013748258,3.22235412126268e-05
crossover,interpolated,physical_mu_union,0.2875,0.2875|49.624795816,rho,0.8741042562698974,0.8739512251305146,0.00015303113938280877,0.00017510260868386026
crossover,interpolated,physical_mu_union,0.2875,0.2875|49.624795816,derivative,8.106154839165395,8.106135031809504,1.9807355890577583e-05,2.4435018430918065e-06
crossover,interpolated,physical_mu_union,0.2875,0.2875|74.3904727785,T_crossover_MeV,203.87662581214335,203.87502445823546,0.0016013539078869599,7.854585975610775e-06
crossover,interpolated,physical_mu_union,0.2875,0.2875|74.3904727785,rho,1.277498395445431,1.2774396239516554,5.87714937756445e-05,4.600725754367919e-05
crossover,interpolated,physical_mu_union,0.2875,0.2875|74.3904727785,derivative,8.16623136694308,8.166264498417107,3.313147402650429e-05,4.057114979918453e-06
crossover,interpolated,physical_mu_union,0.2875,0.2875|74.437193724,T_crossover_MeV,203.8705818246043,203.87075930961535,0.00017748501105074865,8.705761024866e-07
crossover,interpolated,physical_mu_union,0.2875,0.2875|74.437193724,rho,1.2781851372749293,1.2782008128960916,1.567562116222554e-05,1.2263817237534375e-05
crossover,interpolated,physical_mu_union,0.2875,0.2875|74.437193724,derivative,8.166421083399369,8.166377933859986,4.314953938333588e-05,5.283803876431723e-06
