artifact,match_status,grid_change_kind,xi,match_key,metric,candidate_value,reference_value,abs_diff,rel_diff,exception_kind
boundary,adaptive_xi_added,new_xi,-0.5,-0.5|94.0,,,,,,adaptive_xi_added
boundary,adaptive_xi_added,new_xi,-0.5,-0.5|96.0,,,,,,adaptive_xi_added
boundary,adaptive_xi_added,new_xi,-0.5,-0.5|98.0,,,,,,adaptive_xi_added
boundary,adaptive_xi_added,new_xi,-0.5,-0.5|100.0,,,,,,adaptive_xi_added
boundary,adaptive_xi_added,new_xi,-0.5,-0.5|102.0,,,,,,adaptive_xi_added
boundary,adaptive_xi_added,new_xi,-0.5,-0.5|104.0,,,,,,adaptive_xi_added
boundary,adaptive_xi_added,new_xi,-0.5,-0.5|106.0,,,,,,adaptive_xi_added
boundary,adaptive_xi_added,new_xi,-0.5,-0.5|108.0,,,,,,adaptive_xi_added
boundary,adaptive_xi_added,new_xi,-0.5,-0.5|110.0,,,,,,adaptive_xi_added
boundary,adaptive_xi_added,new_xi,-0.5,-0.5|112.0,,,,,,adaptive_xi_added
boundary,adaptive_xi_added,new_xi,-0.5,-0.5|114.0,,,,,,adaptive_xi_added
boundary,adaptive_xi_added,new_xi,-0.5,-0.5|116.0,,,,,,adaptive_xi_added
boundary,adaptive_xi_added,new_xi,-0.5,-0.5|118.0,,,,,,adaptive_xi_added
boundary,adaptive_xi_added,new_xi,-0.5,-0.5|120.0,,,,,,adaptive_xi_added
boundary,adaptive_xi_added,new_xi,-0.5,-0.5|122.0,,,,,,adaptive_xi_added
boundary,adaptive_xi_added,new_xi,-0.5,-0.5|124.0,,,,,,adaptive_xi_added
boundary,adaptive_xi_added,new_xi,-0.5,-0.5|126.0,,,,,,adaptive_xi_added
boundary,adaptive_xi_added,new_xi,-0.5,-0.5|128.0,,,,,,adaptive_xi_added
boundary,adaptive_xi_added,new_xi,-0.5,-0.5|130.0,,,,,,adaptive_xi_added
boundary,adaptive_xi_added,new_xi,-0.5,-0.5|132.0,,,,,,adaptive_xi_added
boundary,adaptive_xi_added,new_xi,-0.5,-0.5|134.0,,,,,,adaptive_xi_added
boundary,adaptive_xi_added,new_xi,-0.5,-0.5|136.0,,,,,,adaptive_xi_added
boundary,adaptive_xi_added,new_xi,-0.5,-0.5|143.5,,,,,,adaptive_xi_added
boundary,adaptive_xi_added,new_xi,-0.5,-0.5|144.5,,,,,,adaptive_xi_added
boundary,adaptive_xi_added,new_xi,-0.46875,-0.46875|5.0,,,,,,adaptive_xi_added
boundary,adaptive_xi_added,new_xi,-0.46875,-0.46875|7.0,,,,,,adaptive_xi_added
