T_MeV,xi,meson,q,omega,mass_ref,gamma_ref,threshold_ref,gap_ref,exp_omega_over_T,bose_g,Pi_re,Pi_im,denom_re,denom_im,denom_phase,D_re,D_im,D_abs,phase_raw,phase_unwrapped,phase_shifted_tail
208.0,0.0,pi,0.0,0.05,0.8453988732731724,0.07256096460410094,0.8042267073873247,0.04117216588584771,1.0485773810319456,20.58571250151124,0.9840141381488519,-8.075684845546405e-9,0.07049954235542277,7.628297672480468e-9,1.0820350625855766e-7,6.699339333321628,-7.248920054812716e-7,6.699339333321667,-1.0820350625855772e-7,-1.0820350625855772e-7,-2.9819623742415494e-7
208.0,0.0,pi,0.0,0.07,0.8453988732731724,0.07256096460410094,0.8042267073873247,0.04117216588584771,1.0686627691231108,14.563933449975218,0.9842081415013899,-1.131129924790585e-8,0.07031628665006473,1.068466134771411e-8,1.519514447753363e-7,6.716798903692071,-1.0206272976814126e-6,6.7167989036921485,-1.5195144477533624e-7,-1.5195144477533624e-7,-3.4194417594093344e-7
208.0,0.0,pi,0.0,0.09,0.8453988732731724,0.07256096460410094,0.8042267073873247,0.04117216588584771,1.089132890684662,11.219203060942347,0.9844670986260369,-1.455227996275051e-8,0.0700716755651849,1.3746094045553723e-8,1.961719044775246e-7,6.740246373065285,-1.322246967651961e-6,6.740246373065415,-1.961719044775245e-7,-1.961719044775245e-7,-3.861646356431217e-7
208.0,0.0,pi,0.0,0.11,0.8453988732731724,0.07256096460410094,0.8042267073873247,0.04117216588584771,1.1099951152452618,9.091312807575578,0.9847912568924412,-1.7800197540512007e-8,0.0697654754352367,1.6814079309058648e-8,2.4100859636034206e-7,6.76982926205774,-1.6315870480477381e-6,6.769829262057936,-2.410085963603421e-7,-2.410085963603421e-7,-4.310013275259393e-7
208.0,0.0,pi,0.0,0.13,0.8453988732731724,0.07256096460410094,0.8042267073873247,0.04117216588584771,1.1312569534961094,7.618643990770676,0.9851809283569261,-2.1056651218663715e-8,0.0693973914915943,1.989012777908836e-8,2.866120375936175e-7,6.805736453941955,-1.950605992389519e-6,6.8057364539422345,-2.8661203759361766e-7,-2.8661203759361766e-7,-4.7660476875921485e-7
208.0,0.0,pi,0.0,0.15,0.8453988732731724,0.07256096460410094,0.8042267073873247,0.04117216588584771,1.1529260599948945,6.53910785403995,0.9856364917350257,-2.4323276097504157e-8,0.06896706599929359,2.297578397255257e-8,3.331413862493013e-7,6.848201387712333,-2.281419303616958e-6,6.848201387712713,-3.3314138624930104e-7,-3.3314138624930104e-7,-5.231341174148982e-7
208.0,0.0,pi,0.0,0.17,0.8453988732731724,0.07256096460410094,0.8042267073873247,0.04117216588584771,1.1750102359215446,5.713951499661369,0.9861583948485076,-2.7601750832882274e-8,0.0684740759455732,2.607263354896503e-8,3.807664899295271e-7,6.897506108124828,-2.6263391900582892e-6,6.897506108125328,-3.807664899295268e-7,-3.807664899295268e-7,-5.70759221095124e-7
208.0,0.0,pi,0.0,0.19,0.8453988732731724,0.07256096460410094,0.8042267073873247,0.04117216588584771,1.1975174318867576,5.062844278844861,0.9867471575953798,-3.089380597544472e-8,0.06791793023440362,2.918231118770247e-8,4.296702076606932e-7,6.953986310429902,-2.9879207420722166e-6,6.953986310430544,-4.296702076606931e-7,-4.296702076606931e-7,-6.196629388262903e-7
208.0,0.0,pi,0.0,0.21,0.8453988732731724,0.07256096460410094,0.8042267073873247,0.04117216588584771,1.220455750794333,4.536057673237646,0.9874033755039411,-3.4201233106938625e-8,0.06729806632932833,3.230650921816271e-8,4.800510769516885e-7,7.018037558040912,-3.3690164878251978e-6,7.01803755804172,-4.800510769516887e-7,-4.800510769516887e-7,-6.700438081172859e-7
208.0,0.0,pi,0.0,0.23,0.8453988732731724,0.07256096460410094,0.8042267073873247,0.04117216588584771,1.2438334507583297,4.101160020866571,0.9881277239470846,-3.752589495106294e-8,0.06661384627263012,3.544698717048208e-8,5.321264144605169e-7,7.0901229025231265,-3.7728416782043817e-6,7.09012290252413,-5.321264144605172e-7,-5.321264144605172e-7,-7.221191456261144e-7
208.0,0.0,pi,0.0,0.25,0.8453988732731724,0.07256096460410094,0.8042267073873247,0.04117216588584771,1.267658948076103,3.7360977736327046,0.988920963111582,-4.086973667095792e-8,0.06586455199134167,3.8605582447152035e-8,5.861359605425172e-7,7.170782200792742,-4.203053313103321e-6,7.170782200793974,-5.861359605425172e-7,-5.861359605425172e-7,-7.761286917081144e-7
208.0,0.0,pi,0.0,0.27,0.8453988732731724,0.07256096460410094,0.8042267073873247,0.04117216588584771,1.2919408202582867,3.4253517514792104,0.9897839438400419,-4.4234798609850613e-8,0.06504937977892722,4.178422235784197e-8,6.423462068330472e-7,7.26064350940469,-4.663846817433732e-6,7.260643509406187,-6.423462068330478e-7,-6.423462068330478e-7,-8.32338937998645e-7
208.0,0.0,pi,0.0,0.29,0.8453988732731724,0.07256096460410094,0.8042267073873247,0.04117216588584771,1.3166878091168184,3.1576839120798756,0.9907176144920624,-4.7623230788624185e-8,0.06416743381423295,4.498493781381362e-8,7.01055584426818e-7,7.360437047396307,-5.160075495900063e-6,7.360437047398116,-7.010555844268174e-7,-7.010555844268174e-7,-8.910483155924147e-7
208.0,0.0,pi,0.0,0.31,0.8453988732731724,0.07256096460410094,0.8042267073873247,0.04117216588584771,1.3419088239121124,2.9247563387163407,0.9917230290076904,-5.103730954825013e-8,0.06321771854473823,4.820987904837432e-8,7.626007416614942e-7,7.471012367337309,-5.697399572294732e-6,7.4710123673394815,-7.626007416614942e-7,-7.626007416614942e-7,-9.525934728270915e-7
208.0,0.0,pi,0.0,0.33,0.8453988732731724,0.07256096460410094,0.8042267073873247,0.04117216588584771,1.3676129445605174,2.7202524143851994,0.9928013564033134,-5.447945682182976e-8,0.06219912971672825,5.146133382126125e-8,8.273642100077351e-7,7.593359573253256,-6.282473944630782e-6,7.593359573255855,-8.273642100077346e-7,-8.273642100077346e-7,-1.0173569411733317e-6
208.0,0.0,pi,0.0,0.35,0.8453988732731724,0.07256096460410094,0.8042267073873247,0.04117216588584771,1.3938094249032136,2.539299307642954,0.9939538919911783,-5.7952262648384616e-8,0.06111044377732966,5.4741748685183864e-8,8.957838513599037e-7,7.728635694471841,-6.923187048153465e-6,7.728635694474941,-8.957838513599042e-7,-8.957838513599042e-7,-1.0857765825255014e-6
208.0,0.0,pi,0.0,0.37,0.8453988732731724,0.07256096460410094,0.8042267073873247,0.04117216588584771,1.420507696037723,2.3780777603420886,0.9951820706940346,-6.145851170985848e-8,0.05995030529748846,5.8053754052694984e-8,9.683646107321648e-7,7.878197696221024,-7.628967845374497e-6,7.878197696224718,-9.683646107321652e-7,-9.683646107321652e-7,-1.1583573418977623e-6
208.0,0.0,pi,0.0,0.39,0.8453988732731724,0.07256096460410094,0.8042267073873247,0.04117216588584771,1.4477173697132373,2.2335519406819073,0.9964874829332654,-6.5001214900281e-8,0.05871721196403035,6.140019401644529e-8,1.0456932807715074e-6,8.04364412553637,-8.411184614993651e-6,8.043644125540768,-1.045693280771507e-6,-1.045693280771507e-6,-1.2356860119371042e-6
208.0,0.0,pi,0.0,0.41,0.8453988732731724,0.07256096460410094,0.8042267073873247,0.04117216588584771,1.4754482417909798,2.103278363661776,0.9978718937130286,-6.858364724545534e-8,0.05740949655276728,6.478416216814737e-8,1.1284572424106568e-6,8.226868121864689,-9.283668914479506e-6,8.226868121869927,-1.1284572424106568e-6,-1.1284572424106568e-6,-1.318449973576254e-6
208.0,0.0,pi,0.0,0.43,0.8453988732731724,0.07256096460410094,0.8042267073873247,0.04117216588584771,1.503710295770853,1.985268136061523,0.9993372657200827,-7.220939391801325e-8,0.05602530510838555,6.820904506442958e-8,1.2174685159222226e-6,8.430125568588332,-1.02634124650323e-5,8.43012556859458,-1.2174685159222237e-6,-1.2174685159222237e-6,-1.4074612470878208e-6
208.0,0.0,pi,0.0,0.45,0.8453988732731724,0.07256096460410094,0.8042267073873247,0.04117216588584771,1.5325137063856373,1.8778859360961067,1.0008857875328077,-7.588240668932531e-8,0.05456257029818434,7.167857555135079e-8,1.3136949956643588e-6,8.656123685173323,-1.1371506367070463e-5,8.656123685180793,-1.3136949956643586e-6,-1.3136949956643586e-6,-1.5036877268299558e-6
208.0,0.0,pi,0.0,0.47,0.8453988732731724,0.07256096460410094,0.8042267073873247,0.04117216588584771,1.561868843264036,1.7797747855010986,1.0025199084196363,-7.96070740082001e-8,0.05301897854145288,7.519689896078965e-8,1.418301540870814e-6,8.90813761552659,-1.2634425306399099e-5,8.90813761553555,-1.4183015408708148e-6,-1.4183015408708148e-6,-1.608294272036412e-6
208.0,0.0,pi,0.0,0.49,0.8453988732731724,0.07256096460410094,0.8042267073873247,0.04117216588584771,1.5917862746638858,1.6897992447830354,1.0042423817632984,-8.338830912485562e-8,0.051391928990898283,7.876865635241099e-8,1.5327048020769866e-6,9.190165972664701,-1.4085811518198746e-5,9.190165972675496,-1.5327048020769875e-6,-1.5327048020769875e-6,-1.7226975332425846e-6
208.0,0.0,pi,0.0,0.51,0.8453988732731724,0.07256096460410094,0.8042267073873247,0.04117216588584771,1.6222767712768773,1.6070019742952246,1.006056319963611,-8.723166249373549e-8,0.04967848167143041,8.239909068944616e-8,1.6586475253883913e-6,9.50714154682345,-1.576899680017032e-5,9.507141546836527,-1.6586475253883894e-6,-1.6586475253883894e-6,-1.8486402565539865e-6
208.0,0.0,pi,0.0,0.53,0.8453988732731724,0.07256096460410094,0.8042267073873247,0.04117216588584771,1.653351310106154,1.5305701305435873,1.0079652648970143,-9.11434674313448e-8,0.04787529092403464,8.609418442718893e-8,1.798301018446127e-6,9.865221661644856,-1.7740638161351863e-5,9.865221661660808,-1.7983010184461273e-6,-1.7983010184461273e-6,-1.9882937496117244e-6
208.0,0.0,pi,0.0,0.55,0.8453988732731724,0.07256096460410094,0.8042267073873247,0.04117216588584771,1.6850210784181854,1.4598090942094033,1.0099732798979346,-9.513103225537197e-8,0.04597851852010981,8.986084100774711e-8,1.954409230656918e-6,10.272196066397548,-2.0076074811310605e-5,10.272196066417166,-1.954409230656917e-6,-1.954409230656917e-6,-2.1444019618225143e-6
208.0,0.0,pi,0.0,0.57,0.8453988732731724,0.07256096460410094,0.8042267073873247,0.04117216588584771,1.7172974777703394,1.394121729116375,1.0120850722166592,-9.920289890860459e-8,0.043983717987672866,9.370712915637825e-8,2.1304958617300017e-6,10.738072602527348,-2.2877419242675428e-5,10.738072602551718,-2.130495861730001e-6,-2.130495861730001e-6,-2.320488592895598e-6
208.0,0.0,pi,0.0,0.59,0.8453988732731724,0.07256096460410094,0.8042267073873247,0.04117216588584771,1.7501921281156014,1.3329918597145083,1.014306159802614,-1.0336919923697462e-7,0.04188567706775537,9.764261942198549e-8,2.331169656488049e-6,11.275939417579208,-2.6286127818705763e-5,11.275939417609846,-2.3311696564880467e-6,-2.3311696564880467e-6,-2.521162387653644e-6
208.0,0.0,pi,0.0,0.61,0.8453988732731724,0.07256096460410094,0.8042267073873247,0.04117216588584771,1.7837168719859187,1.275970998896611,1.0166431045816668,-1.0764215919331497e-7,0.03967819736049616,1.0167886044834613e-7,2.5625876983351975e-6,11.903271531936737,-3.0503177197751395e-5,11.90327153197582,-2.562587698335196e-6,-2.562587698335196e-6,-2.752580429500793e-6
208.0,0.0,pi,0.0,0.63,0.8453988732731724,0.07256096460410094,0.8042267073873247,0.04117216588584771,1.8178837787556776,1.2226676038512376,1.0191038491744204,-1.1203683538639786e-7,0.03735377626080172,1.0583007471885935e-7,2.83318275452734e-6,12.643978851870315,-3.582270283182324e-5,12.643978851921062,-2.8331827545273417e-6,-2.8331827545273417e-6,-3.023175485692939e-6
208.0,0.0,pi,0.0,0.65,0.8453988732731724,0.07256096460410094,0.8042267073873247,0.04117216588584771,1.8527051489868451,1.1727383154519069,1.0216982216547548,-1.1657223269861664e-7,0.03490313016306601,1.1011421425900653e-7,3.154852121978518e-6,13.531747865351754,-4.269066346722493e-5,13.531747865419096,-3.1548521219785208e-6,-3.1548521219785208e-6,-3.344844853144118e-6
208.0,0.0,pi,0.0,0.67,0.8453988732731724,0.07256096460410094,0.8042267073873247,0.04117216588584771,1.8881935188573442,1.1258807667122974,1.0244387280333382,-1.2127308061383496e-7,0.03231444588068033,1.1455463855690622e-7,3.544997769091084e-6,14.615765308830502,-5.1812855413580096e-5,14.61576530892234,-3.544997769091088e-6,-3.544997769091088e-6,-3.7349905002566854e-6
208.0,0.0,pi,0.0,0.69,0.8453988732731724,0.07256096460410094,0.8042267073873247,0.04117216588584771,1.9243616646742496,1.0818276419461919,1.0273418706785824,-1.2617282507501446e-7,0.02957213526465774,1.1918294067416593e-7,4.030244674822605e-6,15.971127984107671,-6.436755350920886e-5,15.971127984237379,-4.030244674822613e-6,-4.030244674822613e-6,-4.22023740598821e-6
208.0,0.0,pi,0.0,0.71,0.8453988732731724,0.07256096460410094,0.8042267073873247,0.04117216588584771,1.9612226074734396,1.0403417400142994,1.0304305120814947,-1.3131905930646008e-7,0.026654602389664883,1.2404407720445357e-7,4.653758303731262e-6,17.719279776454865,-8.246124539640954e-5,17.719279776646744,-4.653758303731262e-6,-4.653758303731262e-6,-4.843751034896859e-6
208.0,0.0,pi,0.0,0.73,0.8453988732731724,0.07256096460410094,0.8042267073873247,0.04117216588584771,1.998789617707347,1.001211849093337,1.0337385620735715,-1.3678442752293533e-7,0.023529816004653203,1.2920666792491475e-7,5.491189047039912e-6,20.07242032726565,-0.0001102214546497702,20.072420327568274,-5.491189047039909e-6,-5.491189047039909e-6,-5.681181778205506e-6
