T_MeV,meson,q,omega_max,omega_integral_estimate,integrand_tail
208.0,K,0.0,9.99,0.07384006761477262,1.2841817627003633e-11
208.0,pi,0.0,9.99,2.0950220990533444,1.4548778570677751e-11
210.0,K,0.0,9.99,0.062159957055673044,1.3939325542731019e-11
210.0,pi,0.0,9.99,1.940927610741945,1.5792405680773496e-11
212.0,K,0.0,9.99,0.043073173157940084,1.510818865801649e-11
212.0,pi,0.0,9.99,1.803143949917364,1.7104765363440913e-11
