T_MeV,meson,qmax_request,omega_max_request,q_last_node,omega_last_node,q_nodes,omega_nodes,q_integral_estimate,omega_shell_at_qmax,double_integral_estimate
208.0,pi,10.0,10.0,9.99385503626213,9.998455281819073,48,96,0.9969695099293705,0.005575477082024689,2.8374372540177473
208.0,K,10.0,10.0,9.99385503626213,9.998455281819073,48,96,1.005863197379402,0.006619077019797484,3.8169989891224345
210.0,pi,10.0,10.0,9.99385503626213,9.998455281819073,48,96,1.0033827507043902,0.005800570622801268,2.8284926911706183
210.0,K,10.0,10.0,9.99385503626213,9.998455281819073,48,96,1.0143336125281288,0.0068358670071818565,3.8124835976837956
212.0,pi,10.0,10.0,9.99385503626213,9.998455281819073,48,96,1.010683123556539,0.006036139174695154,2.8221940883865844
212.0,K,10.0,10.0,9.99385503626213,9.998455281819073,48,96,1.0235310888293176,0.007062874887264229,3.8107603604568565
