xi,method,calculation_sha,anchor_T_MeV,result_status,found,T_last_first_order_MeV,muq_last_first_order_MeV,T_first_monotone_MeV,ambiguity_width_T_MeV,temperature_resolution_target_MeV,standard_oracle_status,deep_oracle_status,final_oracle_status,oracle_source
0.0,memoized_dense,8fb86255c7894004cb1c52bbb03f9f53a4828411,120.0,ambiguous,false,120.0,308.6045852020402,NaN,NaN,0.125,,,,
0.0,memoized_dense,8fb86255c7894004cb1c52bbb03f9f53a4828411,130.9619140625,ambiguous,false,130.9619140625,291.2621810413321,NaN,NaN,0.125,,,,
0.0,memoized_dense,8fb86255c7894004cb1c52bbb03f9f53a4828411,131.0869140625,not_found,false,NaN,NaN,NaN,NaN,0.125,,,,
0.0,memoized_dense,8fb86255c7894004cb1c52bbb03f9f53a4828411,145.0,not_found,false,NaN,NaN,NaN,NaN,0.125,,,,
0.5,memoized_dense,8fb86255c7894004cb1c52bbb03f9f53a4828411,5.0,ambiguous,false,5.0,378.9384984731856,NaN,NaN,0.125,,,,
0.5,memoized_dense,8fb86255c7894004cb1c52bbb03f9f53a4828411,20.0,ambiguous,false,20.0,378.4644575212865,NaN,NaN,0.125,,,,
0.5,memoized_dense,8fb86255c7894004cb1c52bbb03f9f53a4828411,60.0,ambiguous,false,60.0,372.80974794603776,NaN,NaN,0.125,,,,
0.5,memoized_dense,8fb86255c7894004cb1c52bbb03f9f53a4828411,90.0,ambiguous,false,90.0,360.76648682398786,NaN,NaN,0.125,,,,
0.5,memoized_dense,8fb86255c7894004cb1c52bbb03f9f53a4828411,100.0,ambiguous,false,100.0,354.1079949180489,NaN,NaN,0.125,,,,
0.5,memoized_dense,8fb86255c7894004cb1c52bbb03f9f53a4828411,106.9599609375,ambiguous,false,106.9599609375,348.37902189967997,NaN,NaN,0.125,,,,
0.5,memoized_dense,8fb86255c7894004cb1c52bbb03f9f53a4828411,107.0849609375,not_found,false,NaN,NaN,NaN,NaN,0.125,,,,
0.5,memoized_dense,8fb86255c7894004cb1c52bbb03f9f53a4828411,120.0,not_found,false,NaN,NaN,NaN,NaN,0.125,,,,
