T_MeV,xi,method,m0,g0,mass,gamma,residual,converged
260.0,-0.3,newton,2.6,1.8,2.827519658966758,1.1080539242305825,0.08545230013601865,false
260.0,-0.3,trust_region,2.6,1.8,2.8776474416319067,2.65472451752908,1.2671951704103235e-16,true
260.0,-0.3,newton,2.6,1.82,2.8275196589571183,1.1080539242055296,0.08545230013603516,false
260.0,-0.3,trust_region,2.6,1.82,2.8776474416319062,2.6547245175290803,1.391370200477804e-16,true
260.0,-0.3,newton,2.6,1.84,2.8275196589631224,1.1080539242362626,0.08545230013522623,false
260.0,-0.3,trust_region,2.6,1.84,2.8776474416319062,2.654724517529078,2.2301361061669023e-16,true
260.0,-0.3,newton,2.6,1.86,2.8776474416319062,2.6547245175290786,2.2266802117421047e-16,true
260.0,-0.3,trust_region,2.6,1.86,2.8776474416319062,2.6547245175290786,2.2266802117421047e-16,true
260.0,-0.3,newton,2.6,1.88,2.8776474416319062,2.6547245175290786,2.2266802117421047e-16,true
260.0,-0.3,trust_region,2.6,1.88,2.8776474416319062,2.6547245175290786,2.2266802117421047e-16,true
260.0,-0.3,newton,2.6,1.9,2.8776474416319067,2.65472451752908,1.2671951704103235e-16,true
260.0,-0.3,trust_region,2.6,1.9,2.8776474416319067,2.65472451752908,1.2671951704103235e-16,true
260.0,-0.3,newton,2.6,1.92,2.877647441631906,2.654724517529078,2.227527244689359e-16,true
260.0,-0.3,trust_region,2.6,1.92,2.877647441631906,2.654724517529078,2.227527244689359e-16,true
260.0,-0.3,newton,2.6,1.94,2.877647441631907,2.6547245175290786,8.448984242272195e-17,true
260.0,-0.3,trust_region,2.6,1.94,2.877647441631907,2.6547245175290786,8.448984242272195e-17,true
260.0,-0.3,newton,2.6,1.96,2.8776474416319067,2.6547245175290803,1.2636715133497456e-16,true
260.0,-0.3,trust_region,2.6,1.96,2.8776474416319067,2.6547245175290803,1.2636715133497456e-16,true
260.0,-0.3,newton,2.6,1.98,2.877647441631907,2.6547245175290795,1.1260456000798669e-16,true
260.0,-0.3,trust_region,2.6,1.98,2.877647441631907,2.6547245175290795,1.1260456000798669e-16,true
260.0,-0.3,newton,2.6,2.0,2.877647441631906,2.6547245175290786,2.228882497404966e-16,true
260.0,-0.3,trust_region,2.6,2.0,2.877647441631906,2.6547245175290786,2.228882497404966e-16,true
260.0,-0.3,newton,2.6,2.02,2.7991169506396956,2.653910196059619,0.10710113825091823,false
260.0,-0.3,trust_region,2.6,2.02,2.8776474416319067,2.6547245175290786,6.938893903907228e-17,true
260.0,-0.3,newton,2.6,2.04,2.7991169506162112,2.6539101960036415,0.10710113824988962,false
260.0,-0.3,trust_region,2.6,2.04,2.8776474416319076,2.6547245175290795,2.1510571102112408e-16,true
260.0,-0.3,newton,2.6,2.06,2.7991169506451534,2.6539101960818865,0.10710113825177912,false
260.0,-0.3,trust_region,2.6,2.06,2.8776474416319062,2.6547245175290795,2.228137108411382e-16,true
260.0,-0.3,newton,2.6,2.08,2.7991169506398608,2.653910196129854,0.1071011382556153,false
260.0,-0.3,trust_region,2.6,2.08,2.8776474416319067,2.654724517529079,1.265738273741046e-16,true
260.0,-0.3,newton,2.6,2.1,2.7991169506471847,2.653910196107055,0.10710113825323275,false
