T_MeV,muB_MeV,eB_GeV2,eB_fm_minus2,candidate_index,seed_index,seed_label,converged,physical,method,iterations,n_max,residual_norm,omega_fm4,state_l2_delta_external,omega_delta_from_julia_external,phi_u,phi_d,phi_s,Phi1,Phi2
240.0,0.0,0.2,5.136221729911374,1,3,project_thermal,true,true,trust_region,14,79,4.673492854601949e-12,-26.613327540631794,5.118493289830456e-5,-3.247713209475478e-10,-0.08660013634158825,-0.07769892779303636,-1.2109552953380882,0.744645626090097,0.744645626090097
150.0,0.0,0.2,5.136221729911374,1,2,external_chiral_shift,true,true,trust_region,4,79,3.041411601115936e-14,-21.517220737811627,1.8061746595377968e-12,-3.552713678800501e-15,-1.994093251345303,-1.847122926905195,-2.2273225959593135,0.0614784048584325,0.0614784048584325
50.0,0.0,0.2,5.136221729911374,1,2,external_chiral_shift,true,true,trust_region,4,79,1.7032838097207303e-15,-21.50440449452513,1.6286282385031917e-12,0.0,-2.0171438978851546,-1.8696801585348353,-2.2366468053140824,4.18593785395899e-5,4.18593785395899e-5
240.0,0.0,0.4,10.272443459822748,1,1,external_committed,true,true,trust_region,2,79,8.48024091933076e-14,-26.395432941754336,0.000924560285555968,-9.754870688993833e-8,-0.09857093456751834,-0.07019950063003716,-1.1273236515892116,0.7520513806750613,0.7520513806750613
150.0,0.0,0.4,10.272443459822748,1,2,external_chiral_shift,true,true,trust_region,4,79,1.195577982981172e-13,-20.674516241144072,1.5582308930701058e-12,0.0,-2.3556209369870844,-1.8913195266778706,-2.2511047524489856,0.08976958518923149,0.08976958518923149
50.0,0.0,0.4,10.272443459822748,1,2,external_chiral_shift,true,true,trust_region,4,79,1.0613359874545054e-16,-20.65070535893972,1.2657009854190041e-12,-7.105427357601002e-15,-2.3968673496540367,-1.932449764941658,-2.2689379297301566,8.865994350476609e-5,8.865994350476609e-5
240.0,0.0,0.8,20.544886919645496,1,2,external_chiral_shift,true,true,trust_region,5,79,5.887123059230569e-13,-24.122780545774695,0.0023384068282196455,-4.4214350936044866e-7,-0.11602125069462159,-0.0620267737031877,-1.0169409663974065,0.7712148166895109,0.7712148166895109
150.0,0.0,0.8,20.544886919645496,1,1,external_committed,true,true,trust_region,0,79,6.345558357991589e-13,-16.38043700508532,0.0,0.0,-3.3640517714124236,-2.139095195156215,-2.4588555287974456,0.2298706057413839,0.2298706057413839
50.0,0.0,0.8,20.544886919645496,1,2,external_chiral_shift,true,true,trust_region,4,79,2.6964233488401626e-13,-16.287649199004267,8.357006114669757e-12,-3.552713678800501e-15,-3.552932181916313,-2.2943016489065617,-2.535460592959054,0.0002349028389863892,0.0002349028389863892
