T_MeV,muB_MeV,eB_GeV2,eB_fm_minus2,external_gap_residual_max,julia_external_residual_norm,julia_external_omega_fm4,external_omega_fm4,omega_delta_julia_minus_external,attempt_count,failed_attempts,candidate_count,status,error
240.0,0.0,0.2,5.136221729911374,1.6458445523073705e-13,2.54849663911125e-12,-26.61332749404024,-26.613327494039062,-1.1795009413617663e-12,3,0,1,ok,
240.0,0.0,0.4,10.272443459822748,5.684341886080802e-14,3.0523300973514467e-12,-26.3954327805045,-26.395432780503448,-1.0516032489249483e-12,4,2,1,ok,
240.0,0.0,0.8,20.544886919645496,3.4826434565192976e-14,2.7996871490814536e-12,-24.122964202441963,-24.122964202440905,-1.0587086762825493e-12,4,1,2,ok,
