T_MeV,muB_MeV,eB_GeV2,eB_fm_minus2,external_gap_residual_max,julia_external_residual_norm,julia_external_omega_fm4,external_omega_fm4,omega_delta_julia_minus_external,attempt_count,failed_attempts,candidate_count,status,error
240.0,0.0,0.2,5.136221729911374,1.6458445523073705e-13,1.2729048608321674e-5,-26.613327540307022,-26.613327494039062,-4.6267960129853236e-8,3,0,1,ok,
150.0,0.0,0.2,5.136221729911374,2.0237515662446856e-16,8.904214354922563e-13,-21.517220737811623,-21.517220737805552,-6.071587677070056e-12,4,2,1,ok,
50.0,0.0,0.2,5.136221729911374,5.777045564067093e-16,8.634078841954698e-13,-21.50440449452513,-21.504404494519008,-6.121325668573263e-12,4,1,1,ok,
240.0,0.0,0.4,10.272443459822748,5.684341886080802e-14,0.00021115197057027077,-26.39543284420563,-26.395432780503448,-6.37021813076899e-8,4,2,1,ok,
150.0,0.0,0.4,10.272443459822748,2.7896567892188477e-16,7.661510308324e-13,-20.674516241144072,-20.67451624113754,-6.533440455314121e-12,4,2,1,ok,
50.0,0.0,0.4,10.272443459822748,7.153782776999687e-16,7.231914494245966e-13,-20.650705358939714,-20.650705358933116,-6.59738930153253e-12,4,1,1,ok,
240.0,0.0,0.8,20.544886919645496,3.4826434565192976e-14,0.0003940727690321863,-24.122780103631186,-24.122964202440905,0.00018409880971859138,4,2,1,ok,
150.0,0.0,0.8,20.544886919645496,3.1973588056289475e-16,6.345558357991589e-13,-16.38043700508532,-16.380437005077077,-8.242295734817162e-12,4,2,1,ok,
50.0,0.0,0.8,20.544886919645496,5.433203043627127e-16,4.754570547211686e-13,-16.287649199004264,-16.287649198995823,-8.44124770082999e-12,4,2,1,ok,
