T_MeV,mu_spinodal_hadron_MeV,mu_spinodal_quark_MeV,rho_spinodal_hadron,rho_spinodal_quark
50.0,369.89323288525765,346.9365699771023,0.4076561909076146,2.006415168807252
55.0,367.9329158583763,345.36815053558337,0.4357581145424353,1.976393919355542
60.0,365.72536716288755,343.8037551347138,0.46641885796384064,1.9634497608397437
65.0,363.24593648501974,342.22978042501535,0.5004744882457967,1.9639490562120983
70.0,360.4857489594854,340.59985900118033,0.5370411560965965,1.9725007079658157
75.0,357.4206885599634,338.8500619756362,0.5772187958444333,1.985625538001941
80.0,354.0239411660504,336.91991847433576,0.6224655951108441,2.0027447009629875
85.0,350.2533842868577,334.7437059950095,0.6726924846435,2.023978629018065
90.0,346.0724881109524,332.25665491623846,0.7289709782496165,2.0472447072380593
95.0,341.4455364886435,329.39907036998676,0.7928062333896997,2.0743889233905097
100.0,336.3252645437899,326.1021527949628,0.8644589595590726,2.1025227223634575
105.0,330.6632064848657,322.29974254881245,0.9470934306899331,2.132762870874502
110.0,324.4147470079382,317.9220958870703,1.042788747633216,2.1617540425903305
115.0,317.5352623082442,312.8889126722369,1.156280181649544,2.186849598442451
120.0,309.9895881202588,307.1191048753196,1.2952349183669467,2.2009015735388626
125.0,301.77449311635854,300.50799029368,1.47622971442942,2.189430690308933
130.0,292.9859516956806,292.88640185598723,1.771799335590536,2.0849015004007834
