T_MeV,mu_coex_MeV,rho_gas,rho_liquid
50.0,356.4792441818048,0.08010421787995711,2.5919473657792165
60.0,353.6341180220031,0.11977288761807078,2.535919375852916
70.0,349.973345945491,0.1718407595995503,2.5104040306768285
80.0,345.2431130460178,0.24079860904454245,2.505680455938625
90.0,339.13476531148945,0.3345372928040636,2.514497657440131
100.0,331.2811180577762,0.46522983924593936,2.5299070166569497
110.0,321.25777653960506,0.6562615997612108,2.5385997913070937
120.0,308.60631939621385,0.9621297057627738,2.503090798590535
130.0,292.93728201190476,1.6524900863195675,2.1979341197087505
