surface,xi,mu_MeV,T_MeV,rho,mu_CEP_proxy_MeV,layer,status,interpolation_method,source_layer,source_xi_left,source_xi_right,source_axis_low,source_axis_high,xi_gap,reference_write
crossover,-0.5,0.0,180.85738065653652,-0.0,202.33883159063282,strict_reference_v1,native_uniform_xi,none_native,strict_crossover_v6_or_endpoint,-0.5,-0.5,0.0,201.49018224979875,0.0,False
crossover,-0.5,22.104914914144054,180.4627121316438,0.4063946889006905,202.33883159063282,strict_reference_v1,native_uniform_xi,none_native,strict_crossover_v6_or_endpoint,-0.5,-0.5,0.0,201.49018224979875,0.0,False
crossover,-0.5,44.20982982828811,179.29790034422055,0.7998386533214566,202.33883159063282,strict_reference_v1,native_uniform_xi,none_native,strict_crossover_v6_or_endpoint,-0.5,-0.5,0.0,201.49018224979875,0.0,False
crossover,-0.5,66.31474474243217,177.33555478129466,1.1666219004058758,202.33883159063282,strict_reference_v1,native_uniform_xi,none_native,strict_crossover_v6_or_endpoint,-0.5,-0.5,0.0,201.49018224979875,0.0,False
crossover,-0.5,88.41965965657621,174.5683440685076,1.4937452634461277,202.33883159063282,strict_reference_v1,native_uniform_xi,none_native,strict_crossover_v6_or_endpoint,-0.5,-0.5,0.0,201.49018224979875,0.0,False
crossover,-0.5,110.52457457072028,170.99626820585937,1.770623170682811,202.33883159063282,strict_reference_v1,native_uniform_xi,none_native,strict_crossover_v6_or_endpoint,-0.5,-0.5,0.0,201.49018224979875,0.0,False
crossover,-0.5,132.62948948486434,166.60379909327418,1.987520277395101,202.33883159063282,strict_reference_v1,native_uniform_xi,none_native,strict_crossover_v6_or_endpoint,-0.5,-0.5,0.0,201.49018224979875,0.0,False
crossover,-0.5,154.73440439900838,161.37174294349708,2.137012964777202,202.33883159063282,strict_reference_v1,native_uniform_xi,none_native,strict_crossover_v6_or_endpoint,-0.5,-0.5,0.0,201.49018224979875,0.0,False
crossover,-0.5,176.83931931315243,155.27637493073527,2.218023925528127,202.33883159063282,strict_reference_v1,native_uniform_xi,none_native,strict_crossover_v6_or_endpoint,-0.5,-0.5,0.0,201.49018224979875,0.0,False
crossover,-0.5,198.9442342272965,148.24091990596872,2.244303126383077,202.33883159063282,strict_reference_v1,native_uniform_xi,none_native,strict_crossover_v6_or_endpoint,-0.5,-0.5,0.0,201.49018224979875,0.0,False
crossover,-0.5,200.64153290896468,147.6564130082117,2.2513784132462593,202.33883159063282,strict_reference_v1,native_uniform_xi,none_native,strict_crossover_v6_or_endpoint,-0.5,-0.5,0.0,201.49018224979875,0.0,False
crossover,-0.5,201.49018224979875,147.35717798432486,2.209353942265492,202.33883159063282,strict_reference_v1,native_uniform_xi,none_native,strict_crossover_v6_or_endpoint,-0.5,-0.5,0.0,201.49018224979875,0.0,False
crossover,-0.49375,0.0,181.17074299387144,0.0,203.9070322602657,interpolated_noncertified,piecewise_linear_common_support,bilinear_axis_xi_common_support,strict_crossover_v6_or_endpoint,-0.5,-0.4875,0.0,201.49018224979875,0.012500000000000011,False
crossover,-0.49375,22.104914914144054,180.78253156044588,0.40628735614159556,203.9070322602657,interpolated_noncertified,piecewise_linear_common_support,bilinear_axis_xi_common_support,strict_crossover_v6_or_endpoint,-0.5,-0.4875,0.0,201.49018224979875,0.012500000000000011,False
crossover,-0.49375,22.165816087079346,180.78040109100803,0.40738887675259,203.9070322602657,interpolated_noncertified,piecewise_linear_common_support,bilinear_axis_xi_common_support,strict_crossover_v6_or_endpoint,-0.5,-0.4875,0.0,201.49018224979875,0.012500000000000011,False
crossover,-0.49375,44.20982982828811,179.61449562541281,0.7994721669794452,203.9070322602657,interpolated_noncertified,piecewise_linear_common_support,bilinear_axis_xi_common_support,strict_crossover_v6_or_endpoint,-0.5,-0.4875,0.0,201.49018224979875,0.012500000000000011,False
crossover,-0.49375,44.33163217415869,179.60585623023226,0.8015651374101233,203.9070322602657,interpolated_noncertified,piecewise_linear_common_support,bilinear_axis_xi_common_support,strict_crossover_v6_or_endpoint,-0.5,-0.4875,0.0,201.49018224979875,0.012500000000000011,False
crossover,-0.49375,66.31474474243217,177.6551867778306,1.166283372228809,203.9070322602657,interpolated_noncertified,piecewise_linear_common_support,bilinear_axis_xi_common_support,strict_crossover_v6_or_endpoint,-0.5,-0.4875,0.0,201.49018224979875,0.012500000000000011,False
crossover,-0.49375,66.49744826123803,177.63564837636156,1.1691506762979271,203.9070322602657,interpolated_noncertified,piecewise_linear_common_support,bilinear_axis_xi_common_support,strict_crossover_v6_or_endpoint,-0.5,-0.4875,0.0,201.49018224979875,0.012500000000000011,False
crossover,-0.49375,88.41965965657621,174.89326683279805,1.4937969036177197,203.9070322602657,interpolated_noncertified,piecewise_linear_common_support,bilinear_axis_xi_common_support,strict_crossover_v6_or_endpoint,-0.5,-0.4875,0.0,201.49018224979875,0.012500000000000011,False
crossover,-0.49375,88.66326434831738,174.85835789150065,1.4971275855511348,203.9070322602657,interpolated_noncertified,piecewise_linear_common_support,bilinear_axis_xi_common_support,strict_crossover_v6_or_endpoint,-0.5,-0.4875,0.0,201.49018224979875,0.012500000000000011,False
crossover,-0.49375,110.52457457072028,171.3210357360831,1.7705858803728407,203.9070322602657,interpolated_noncertified,piecewise_linear_common_support,bilinear_axis_xi_common_support,strict_crossover_v6_or_endpoint,-0.5,-0.4875,0.0,201.49018224979875,0.012500000000000011,False
crossover,-0.49375,110.82908043539672,171.2661137720776,1.773981744662207,203.9070322602657,interpolated_noncertified,piecewise_linear_common_support,bilinear_axis_xi_common_support,strict_crossover_v6_or_endpoint,-0.5,-0.4875,0.0,201.49018224979875,0.012500000000000011,False
crossover,-0.49375,132.62948948486434,166.93427069957957,1.9881631704205327,203.9070322602657,interpolated_noncertified,piecewise_linear_common_support,bilinear_axis_xi_common_support,strict_crossover_v6_or_endpoint,-0.5,-0.4875,0.0,201.49018224979875,0.012500000000000011,False
crossover,-0.49375,132.99489652247607,166.85472318514798,1.9911960502603885,203.9070322602657,interpolated_noncertified,piecewise_linear_common_support,bilinear_axis_xi_common_support,strict_crossover_v6_or_endpoint,-0.5,-0.4875,0.0,201.49018224979875,0.012500000000000011,False
