profile,T_MeV,muB_MeV,eB_GeV2,eB_fm_minus2,node,p_num,zeta_num,pz_max_fm_inv,configured_n_max,resolved_n_max,candidate_index,seed_index,seed_label,converged,physical,method,iterations,residual_norm,omega_fm4,phi_u,phi_d,phi_s,Phi,PhiBar,state_l2_delta_input,status,error,attempt_count,failed_attempts,candidate_count
source,50.0,0.0,0.2,5.136221729911374,matched,128,256,40.0,79,79,1,2,external_chiral_shift,true,true,trust_region,4,1.7032837550365496e-15,-21.50440449452513,-2.0171438978851546,-1.8696801585348353,-2.2366468053140824,4.185937853958989e-5,4.185937853958989e-5,1.6286282385047771e-12,ok,,4,2,1
source,50.0,0.0,0.2,5.136221729911374,landau_probe,128,256,40.0,95,95,1,2,external_chiral_shift,true,true,trust_region,4,1.7032837550365496e-15,-21.50440449452513,-2.0171438978851546,-1.8696801585348353,-2.2366468053140824,4.185937853958989e-5,4.185937853958989e-5,1.6286282385047771e-12,ok,,4,2,1
source,240.0,0.0,0.2,5.136221729911374,matched,128,256,40.0,79,79,1,3,project_thermal,true,true,trust_region,15,7.222433843051513e-14,-26.613327494040234,-0.08664994044270051,-0.07771072165722648,-1.210955888484628,0.7446455890084122,0.7446455890084122,1.0249615317175108e-11,ok,,3,0,1
source,240.0,0.0,0.2,5.136221729911374,landau_probe,128,256,40.0,95,95,1,3,project_thermal,true,true,trust_region,15,2.1541683955474905e-13,-26.61345004992785,-0.08664910931205039,-0.07770941372449834,-1.2109454782917213,0.7446474000699856,0.7446474000699856,1.0832054688115751e-5,ok,,3,0,1
source,240.0,0.0,0.8,20.544886919645496,matched,128,256,40.0,79,79,1,2,external_chiral_shift,true,true,trust_region,17,4.310003331861341e-13,-24.12296420244192,-0.114543491977188,-0.06021482177864445,-1.0169062720971571,0.7712158492836434,0.7712158492836434,1.4627173364900544e-11,ok,,4,1,2
source,240.0,0.0,0.8,20.544886919645496,matched,128,256,40.0,79,79,2,3,project_thermal,true,true,newton,36,3.592577794318167e-13,-23.523300958912575,-2.5280571494940887,-2.1381503967320237,1.0274399303474653,0.7689212228779054,0.7689212228779054,3.784471740524913,ok,,4,1,2
source,240.0,0.0,0.8,20.544886919645496,landau_probe,128,256,40.0,95,95,1,2,external_chiral_shift,true,true,trust_region,17,2.464667937183551e-13,-24.122964203024182,-0.11454349197507564,-0.060214821776968776,-1.0169062720807955,0.7712158492897316,0.7712158492897316,2.0711158794840392e-11,ok,,4,2,1
