profile,T_MeV,muB_MeV,eB_GeV2,eB_fm_minus2,node,p_num,zeta_num,pz_max_fm_inv,n_max,fixed_residual_norm,fixed_omega_fm4,external_omega_fm4,omega_delta_vs_external,omega_comparable,status
source,50.0,0.0,0.2,5.136221729911374,nmax31,128,256,40.0,31,8.634078843035145e-13,-21.50440449452513,-21.504404494519008,-6.121325668573263e-12,true,ok
source,50.0,0.0,0.2,5.136221729911374,nmax47,128,256,40.0,47,8.634078842118999e-13,-21.50440449452513,-21.504404494519008,-6.121325668573263e-12,true,ok
source,50.0,0.0,0.2,5.136221729911374,nmax63,128,256,40.0,63,8.634078842118999e-13,-21.50440449452513,-21.504404494519008,-6.121325668573263e-12,true,ok
source,50.0,0.0,0.2,5.136221729911374,nmax79,128,256,40.0,79,8.634078842118999e-13,-21.50440449452513,-21.504404494519008,-6.121325668573263e-12,true,ok
source,50.0,0.0,0.2,5.136221729911374,nmax95,128,256,40.0,95,8.634078842118999e-13,-21.50440449452513,-21.504404494519008,-6.121325668573263e-12,true,ok
source,50.0,0.0,0.2,5.136221729911374,nmax127,128,256,40.0,127,8.634078842118999e-13,-21.50440449452513,-21.504404494519008,-6.121325668573263e-12,true,ok
source,50.0,0.0,0.2,5.136221729911374,nmax159,128,256,40.0,159,8.634078842118999e-13,-21.50440449452513,-21.504404494519008,-6.121325668573263e-12,true,ok
source,50.0,0.0,0.2,5.136221729911374,nmax255,128,256,40.0,255,8.634078842118999e-13,-21.50440449452513,-21.504404494519008,-6.121325668573263e-12,true,ok
source,50.0,0.0,0.2,5.136221729911374,nmax383,128,256,40.0,383,8.634078842118999e-13,-21.50440449452513,-21.504404494519008,-6.121325668573263e-12,true,ok
source,50.0,0.0,0.2,5.136221729911374,nmax511,128,256,40.0,511,8.634078842118999e-13,-21.50440449452513,-21.504404494519008,-6.121325668573263e-12,true,ok
source,240.0,0.0,0.2,5.136221729911374,nmax31,128,256,40.0,31,0.013730629276134354,-26.59887827538343,-26.613327494039062,0.014449218655631313,true,ok
source,240.0,0.0,0.2,5.136221729911374,nmax47,128,256,40.0,47,0.0024175637301123596,-26.610783053642052,-26.613327494039062,0.0025444403970098506,true,ok
source,240.0,0.0,0.2,5.136221729911374,nmax63,128,256,40.0,63,0.00044210685813303956,-26.61286214096272,-26.613327494039062,0.00046535307634343326,true,ok
source,240.0,0.0,0.2,5.136221729911374,nmax79,128,256,40.0,79,2.54849663911125e-12,-26.61332749404024,-26.613327494039062,-1.1795009413617663e-12,true,ok
source,240.0,0.0,0.2,5.136221729911374,nmax95,128,256,40.0,95,0.00011642413393781083,-26.61345004976154,-26.613327494039062,-0.00012255572247710234,true,ok
source,240.0,0.0,0.2,5.136221729911374,nmax127,128,256,40.0,127,0.00016210250388390258,-26.613498137263385,-26.613327494039062,-0.00017064322432247536,true,ok
source,240.0,0.0,0.2,5.136221729911374,nmax159,128,256,40.0,159,0.00016744894764023383,-26.613503766150988,-26.613327494039062,-0.00017627211192561276,true,ok
source,240.0,0.0,0.2,5.136221729911374,nmax255,128,256,40.0,255,0.00016840747125432262,-26.613504775379845,-26.613327494039062,-0.00017728134078254243,true,ok
source,240.0,0.0,0.2,5.136221729911374,nmax383,128,256,40.0,383,0.00016841564897159377,-26.613504783991047,-26.613327494039062,-0.00017728995198496023,true,ok
source,240.0,0.0,0.2,5.136221729911374,nmax511,128,256,40.0,511,0.00016841569461708466,-26.613504784039097,-26.613327494039062,-0.00017729000003541273,true,ok
source,240.0,0.0,0.8,20.544886919645496,nmax31,128,256,40.0,31,6.998348567566261e-6,-24.122956569820417,-24.122964202440905,7.632620487640907e-6,true,ok
source,240.0,0.0,0.8,20.544886919645496,nmax47,128,256,40.0,47,1.9014735504928372e-7,-24.122963995060395,-24.122964202440905,2.0738050920954265e-7,true,ok
source,240.0,0.0,0.8,20.544886919645496,nmax63,128,256,40.0,63,8.284534072318677e-9,-24.122964193407547,-24.122964202440905,9.033357173393597e-9,true,ok
source,240.0,0.0,0.8,20.544886919645496,nmax79,128,256,40.0,79,2.7996871490814536e-12,-24.122964202441963,-24.122964202440905,-1.0587086762825493e-12,true,ok
source,240.0,0.0,0.8,20.544886919645496,nmax95,128,256,40.0,95,5.328994243475588e-10,-24.12296420302421,-24.122964202440905,-5.83305848067539e-10,true,ok
source,240.0,0.0,0.8,20.544886919645496,nmax127,128,256,40.0,127,5.81489379754616e-10,-24.122964203077185,-24.122964202440905,-6.362803617321333e-10,true,ok
source,240.0,0.0,0.8,20.544886919645496,nmax159,128,256,40.0,159,5.82073453042412e-10,-24.122964203077785,-24.122964202440905,-6.368807703438506e-10,true,ok
source,240.0,0.0,0.8,20.544886919645496,nmax255,128,256,40.0,255,5.820835014609492e-10,-24.122964203077785,-24.122964202440905,-6.368807703438506e-10,true,ok
source,240.0,0.0,0.8,20.544886919645496,nmax383,128,256,40.0,383,5.820835014609492e-10,-24.122964203077785,-24.122964202440905,-6.368807703438506e-10,true,ok
source,240.0,0.0,0.8,20.544886919645496,nmax511,128,256,40.0,511,5.820835014609492e-10,-24.122964203077785,-24.122964202440905,-6.368807703438506e-10,true,ok
