profile,T_MeV,muB_MeV,eB_GeV2,eB_fm_minus2,node,p_num,zeta_num,pz_max_fm_inv,n_max,permutation_index,seed_order,candidate_index,origin_seed_label,method,iterations,residual_norm,omega_fm4,phi_u,phi_d,phi_s,Phi,PhiBar,attempt_count,failed_attempts,candidate_count,status,error
source,240.0,0.0,0.8,20.544886919645496,matched,128,256,40.0,79,1,project_thermal>external_chiral_shift>external_committed,1,external_chiral_shift,trust_region,17,4.310003331861341e-13,-24.12296420244192,-0.114543491977188,-0.06021482177864445,-1.0169062720971571,0.7712158492836434,0.7712158492836434,4,1,2,ok,
source,240.0,0.0,0.8,20.544886919645496,matched,128,256,40.0,79,1,project_thermal>external_chiral_shift>external_committed,2,project_thermal,newton,36,3.592577794318167e-13,-23.523300958912575,-2.5280571494940887,-2.1381503967320237,1.0274399303474653,0.7689212228779054,0.7689212228779054,4,1,2,ok,
source,240.0,0.0,0.8,20.544886919645496,matched,128,256,40.0,79,2,external_chiral_shift>project_thermal>external_committed,1,external_chiral_shift,trust_region,17,4.310003331861341e-13,-24.12296420244192,-0.114543491977188,-0.06021482177864445,-1.0169062720971571,0.7712158492836434,0.7712158492836434,4,1,2,ok,
source,240.0,0.0,0.8,20.544886919645496,matched,128,256,40.0,79,2,external_chiral_shift>project_thermal>external_committed,2,project_thermal,newton,36,3.592577794318167e-13,-23.523300958912575,-2.5280571494940887,-2.1381503967320237,1.0274399303474653,0.7689212228779054,0.7689212228779054,4,1,2,ok,
source,240.0,0.0,0.8,20.544886919645496,matched,128,256,40.0,79,3,project_thermal>external_committed>external_chiral_shift,1,external_chiral_shift,trust_region,17,4.310003331861341e-13,-24.12296420244192,-0.114543491977188,-0.06021482177864445,-1.0169062720971571,0.7712158492836434,0.7712158492836434,4,1,2,ok,
source,240.0,0.0,0.8,20.544886919645496,matched,128,256,40.0,79,3,project_thermal>external_committed>external_chiral_shift,2,project_thermal,newton,36,3.592577794318167e-13,-23.523300958912575,-2.5280571494940887,-2.1381503967320237,1.0274399303474653,0.7689212228779054,0.7689212228779054,4,1,2,ok,
source,240.0,0.0,0.8,20.544886919645496,matched,128,256,40.0,79,4,external_committed>project_thermal>external_chiral_shift,1,external_chiral_shift,trust_region,17,4.310003331861341e-13,-24.12296420244192,-0.114543491977188,-0.06021482177864445,-1.0169062720971571,0.7712158492836434,0.7712158492836434,4,1,2,ok,
source,240.0,0.0,0.8,20.544886919645496,matched,128,256,40.0,79,4,external_committed>project_thermal>external_chiral_shift,2,project_thermal,newton,36,3.592577794318167e-13,-23.523300958912575,-2.5280571494940887,-2.1381503967320237,1.0274399303474653,0.7689212228779054,0.7689212228779054,4,1,2,ok,
source,240.0,0.0,0.8,20.544886919645496,matched,128,256,40.0,79,5,external_chiral_shift>external_committed>project_thermal,1,external_chiral_shift,trust_region,17,4.310003331861341e-13,-24.12296420244192,-0.114543491977188,-0.06021482177864445,-1.0169062720971571,0.7712158492836434,0.7712158492836434,4,1,2,ok,
source,240.0,0.0,0.8,20.544886919645496,matched,128,256,40.0,79,5,external_chiral_shift>external_committed>project_thermal,2,project_thermal,newton,36,3.592577794318167e-13,-23.523300958912575,-2.5280571494940887,-2.1381503967320237,1.0274399303474653,0.7689212228779054,0.7689212228779054,4,1,2,ok,
source,240.0,0.0,0.8,20.544886919645496,matched,128,256,40.0,79,6,external_committed>external_chiral_shift>project_thermal,1,external_chiral_shift,trust_region,17,4.310003331861341e-13,-24.12296420244192,-0.114543491977188,-0.06021482177864445,-1.0169062720971571,0.7712158492836434,0.7712158492836434,4,1,2,ok,
source,240.0,0.0,0.8,20.544886919645496,matched,128,256,40.0,79,6,external_committed>external_chiral_shift>project_thermal,2,project_thermal,newton,36,3.592577794318167e-13,-23.523300958912575,-2.5280571494940887,-2.1381503967320237,1.0274399303474653,0.7689212228779054,0.7689212228779054,4,1,2,ok,
