profile,T_MeV,muB_MeV,eB_GeV2,eB_fm_minus2,node,p_num,zeta_num,pz_max_fm_inv,n_max,fixed_residual_norm,fixed_omega_fm4,external_omega_fm4,omega_delta_vs_external,omega_comparable,status
production,50.0,0.0,0.2,5.136378925382266,screening,64,64,25.0,79,9.34563116706944e-5,-21.505720803452597,,,false,ok
production,50.0,0.0,0.2,5.136378925382266,mid,96,128,32.0,79,9.34563116706944e-5,-21.5057208034526,,,false,ok
production,50.0,0.0,0.2,5.136378925382266,matched,128,256,40.0,79,9.34563116706944e-5,-21.505720803452597,,,false,ok
production,50.0,0.0,0.2,5.136378925382266,landau_probe,128,256,40.0,95,9.34563116706944e-5,-21.505720803452597,,,false,ok
production,240.0,0.0,0.2,5.136378925382266,screening,64,64,25.0,79,2.990653168293686e-5,-26.614956581005384,,,false,ok
production,240.0,0.0,0.2,5.136378925382266,mid,96,128,32.0,79,2.765281050401001e-5,-26.61495653459091,,,false,ok
production,240.0,0.0,0.2,5.136378925382266,matched,128,256,40.0,79,2.765300783485658e-5,-26.614956534696407,,,false,ok
production,240.0,0.0,0.2,5.136378925382266,landau_probe,128,256,40.0,95,0.00013474900892953165,-26.615079098103458,,,false,ok
production,240.0,0.0,0.8,20.545515701529062,screening,64,64,25.0,79,0.0003954496610583752,-24.124256692150936,,,false,ok
production,240.0,0.0,0.8,20.545515701529062,mid,96,128,32.0,79,6.05998092927493e-5,-24.124442833731557,,,false,ok
production,240.0,0.0,0.8,20.545515701529062,matched,128,256,40.0,79,1.421642888044759e-5,-24.12444080459582,,,false,ok
production,240.0,0.0,0.8,20.545515701529062,landau_probe,128,256,40.0,95,1.42167261580339e-5,-24.124440805178104,,,false,ok
