channel,xi,T_MeV,omega_fm,K_eff,re_pi,im_pi
pi,-0.3,220,0.3,0.22951204740155776,0.8635255795029264,0.0005546564862250864
K,-0.3,220,0.3,0.19920904282375781,0.7682816711919803,-0.0
pi,-0.3,220,0.32,0.22951204740155776,0.8647063045282122,0.0007212294530105961
K,-0.3,220,0.32,0.19920904282375781,0.7708110267016692,-0.0
pi,-0.3,220,0.34,0.22951204740155776,0.8659614152965597,0.0009094236197841
K,-0.3,220,0.34,0.19920904282375781,0.7737377946618637,-0.0
pi,-0.3,220,0.36,0.22951204740155776,0.8672905779407081,0.001121147283347006
K,-0.3,220,0.36,0.19920904282375781,0.7771645216880353,-0.0
pi,-0.3,220,0.38,0.22951204740155776,0.8686934388819291,0.0013580976332669425
K,-0.3,220,0.38,0.19920904282375781,0.7812450236100291,-0.0
pi,-0.3,220,0.4,0.22951204740155776,0.8701696249236821,0.001621860625281844
K,-0.3,220,0.4,0.19920904282375781,0.7862252553648877,-0.0
pi,-0.3,220,0.42,0.22951204740155776,0.871718743348561,0.0019139569867713093
K,-0.3,220,0.42,0.19920904282375781,0.7925358817499257,-0.0
pi,-0.3,220,0.44,0.22951204740155776,0.8733403820193332,0.0022358656832078025
K,-0.3,220,0.44,0.19920904282375781,0.8010449590339763,-0.0
pi,-0.3,220,0.46,0.22951204740155776,0.8750341094842794,0.002589036814570137
K,-0.3,220,0.46,0.19920904282375781,0.8140366746283152,-0.0
pi,-0.3,220,0.48,0.22951204740155776,0.876799475086867,0.0029748991110566587
K,-0.3,220,0.48,0.19920904282375781,0.8471236514937762,-0.0
pi,-0.3,220,0.5,0.22951204740155776,0.8786360090797015,0.0033948644778105668
K,-0.3,220,0.5,0.19920904282375781,0.8434860033417307,-0.07425059087559051
pi,-0.3,220,0.52,0.22951204740155776,0.880543222742691,0.0038503308376170186
K,-0.3,220,0.52,0.19920904282375781,0.8196549444498769,-0.07801212183569653
pi,-0.3,220,0.54,0.22951204740155776,0.8825206085053247,0.004342683947266343
K,-0.3,220,0.54,0.19920904282375781,0.80772497516195,-0.08136371506229734
pi,-0.3,220,0.56,0.22951204740155776,0.8845676400729704,0.004873298571597703
K,-0.3,220,0.56,0.19920904282375781,0.799041031455232,-0.08429917086927548
pi,-0.3,220,0.58,0.22951204740155776,0.8866837725570839,0.005443539242750631
K,-0.3,220,0.58,0.19920904282375781,0.7918172045311991,-0.08681823154370631
pi,-0.3,220,0.6,0.22951204740155776,0.8888684426092202,0.006054760744340779
K,-0.3,220,0.6,0.19920904282375781,0.7854113371554329,-0.08892555572110547
pi,-0.3,220,0.62,0.22951204740155776,0.8911210685587304,0.006708308409062417
K,-0.3,220,0.62,0.19920904282375781,0.779537048092256,-0.09062981329364884
pi,-0.3,220,0.64,0.22951204740155776,0.8934410505540302,0.007405518287330984
K,-0.3,220,0.64,0.19920904282375781,0.7740522001103423,-0.09194289487499711
pi,-0.3,220,0.66,0.22951204740155776,0.895827770707315,0.008147717225390011
K,-0.3,220,0.66,0.19920904282375781,0.7688825783560785,-0.09287922725264844
pi,-0.3,220,0.68,0.22951204740155776,0.8982805932426018,0.008936222879070825
K,-0.3,220,0.68,0.19920904282375781,0.7639890382479142,-0.09345518511849125
pi,-0.3,220,0.7,0.22951204740155776,0.9007988646469701,0.009772343681405414
K,-0.3,220,0.7,0.19920904282375781,0.7593515931172141,-0.0936885891184341
pi,-0.3,220,0.72,0.22951204740155776,0.9033819138248722,0.010657378776967995
K,-0.3,220,0.72,0.19920904282375781,0.7549610371388574,-0.09359828053684807
pi,-0.3,220,0.74,0.22951204740155776,0.9060290522553845,0.011592617932202062
K,-0.3,220,0.74,0.19920904282375781,0.7508142624046413,-0.09320376349758253
pi,-0.3,220,0.76,0.22951204740155776,0.9087395741522644,0.012579341428488532
K,-0.3,220,0.76,0.19920904282375781,0.7469115266872568,-0.09252490627395836
pi,-0.3,220,0.78,0.22951204740155776,0.9115127566266794,0.013618819942952012
K,-0.3,220,0.78,0.19920904282375781,0.7432548128299585,-0.09158169406571177
pi,-0.3,220,0.8,0.22951204740155776,0.9143478598524705,0.014712314420750085
K,-0.3,220,0.8,0.19920904282375781,0.7398468276366827,-0.09039402636774095
pi,-0.3,220,0.82,0.22951204740155776,0.9172441272338108,0.0158610759416845
K,-0.3,220,0.82,0.19920904282375781,0.7366903891121745,-0.08898155279314496
pi,-0.3,220,0.84,0.22951204740155776,0.9202007855751214,0.017066345583310338
K,-0.3,220,0.84,0.19920904282375781,0.7337880561476625,-0.0873635419048777
pi,-0.3,220,0.86,0.22951204740155776,0.9232170452531001,0.01832935428222881
K,-0.3,220,0.86,0.19920904282375781,0.731141912656467,-0.08555877824867726
pi,-0.3,220,0.88,0.22951204740155776,0.9262921003907206,0.01965132269488071
K,-0.3,220,0.88,0.19920904282375781,0.7287534514032216,-0.08358548336219536
pi,-0.3,220,0.9,0.22951204740155776,0.9294251290330595,0.021033461058880876
K,-0.3,220,0.9,0.19920904282375781,0.7266235225594092,-0.08146125706193352
pi,-0.3,220,0.92,0.22951204740155776,0.9326152933248026,0.022476969055718738
K,-0.3,220,0.92,0.19920904282375781,0.7247523241789635,-0.0792030357829919
pi,-0.3,220,0.94,0.22951204740155776,0.935861739689289,0.02398303567548835
K,-0.3,220,0.94,0.19920904282375781,0.7231394194706513,-0.07682706516983989
pi,-0.3,220,0.96,0.22951204740155776,0.9391635990089404,0.025552839084180715
K,-0.3,220,0.96,0.19920904282375781,0.7217837707146038,-0.07434888449305632
pi,-0.3,220,0.98,0.22951204740155776,0.9425199868069309,0.027187546493972158
K,-0.3,220,0.98,0.19920904282375781,0.7206837829547477,-0.0717833208009338
pi,-0.3,220,1.0,0.22951204740155776,0.9459300034299502,0.02888831403686123
K,-0.3,220,1.0,0.19920904282375781,0.7198373528058357,-0.06914449100984667
pi,-0.3,220,1.02,0.22951204740155776,0.9493927342319073,0.030656286641943586
K,-0.3,220,1.02,0.19920904282375781,0.7192419192197709,-0.06644581039695155
pi,-0.3,220,1.04,0.22951204740155776,0.9529072497584297,0.03249259791656079
K,-0.3,220,1.04,0.19920904282375781,0.7188945140950384,-0.0637000061866372
pi,-0.3,220,1.06,0.22951204740155776,0.9564726059320054,0.03439837003151887
K,-0.3,220,1.06,0.19920904282375781,0.7187918113362111,-0.06091913512143342
pi,-0.3,220,1.08,0.22951204740155776,0.9600878442376217,0.03637471361053562
K,-0.3,220,1.08,0.19920904282375781,0.7189301734780189,-0.05811460408191287
pi,-0.3,220,1.1,0.22951204740155776,0.9637519919087477,0.038422727624048365
K,-0.3,220,1.1,0.19920904282375781,0.7193056953420631,-0.055297192971324474
pi,-0.3,220,1.12,0.22951204740155776,0.9674640621135138,0.04054349928748807
K,-0.3,220,1.12,0.19920904282375781,0.7199142444459314,-0.052477079211909694
pi,-0.3,220,1.14,0.22951204740155776,0.9712230541409389,0.042738103964107356
K,-0.3,220,1.14,0.19920904282375781,0.7207514980562556,-0.04966386331353456
pi,-0.3,220,1.16,0.22951204740155776,0.975027953587054,0.0450076050724305
K,-0.3,220,1.16,0.19920904282375781,0.721812976897936,-0.04686659507363825
pi,-0.3,220,1.18,0.22951204740155776,0.9788777325407795,0.04735305399837983
K,-0.3,220,1.18,0.19920904282375781,0.7230940756123571,-0.04409380005265636
pi,-0.3,220,1.2,0.22951204740155776,0.9827713497693986,0.04977549001211904
K,-0.3,220,1.2,0.19920904282375781,0.7245900901103388,-0.04135350604296174
pi,-0.3,220,1.22,0.22951204740155776,0.9867077509034945,0.052275940189644585
K,-0.3,220,1.22,0.19920904282375781,0.7262962419982941,-0.03865326931381288
pi,-0.3,220,1.24,0.22951204740155776,0.9906858686211879,0.054855419339142446
K,-0.3,220,1.24,0.19920904282375781,0.7282077002742923,-0.03600020047162011
pi,-0.3,220,1.26,0.22951204740155776,0.9947046228315423,0.0575149299321233
K,-0.3,220,1.26,0.19920904282375781,0.7303196004986017,-0.03340098982581682
pi,-0.3,220,1.28,0.22951204740155776,0.9987629208569863,0.0602554620393377
K,-0.3,220,1.28,0.19920904282375781,0.7326270616438542,-0.03086193219771481
pi,-0.3,220,1.3,0.22951204740155776,1.0028596576146105,0.06307799327146753
K,-0.3,220,1.3,0.19920904282375781,0.7351252008254489,-0.02838895115507487
pi,-0.3,220,1.32,0.22951204740155776,1.0069937157961948,0.06598348872458222
K,-0.3,220,1.32,0.19920904282375781,0.7378091461048354,-0.02598762270142152
