channel,xi,T_MeV,re_full,im_full,re_indirect,im_indirect,re_direct,im_direct,k0,gamma,Phi,Phibar
pi,-0.3,220,1.0892674385959191,2.193537663758945e-16,1.1581424740168769,0.0014978599777954627,-0.06887503542095774,-0.0014978599777952433,1.5274613546852522,0.7393473651655086,0.702888392703118,0.702888392703118
pi,-0.3,225,1.0980203946039055,-1.6552772678057886e-14,1.172057886573109,0.0018735494098586632,-0.0740374919692035,-0.001873549409875216,1.668311802905429,0.8805377157631621,0.7170916476065353,0.7170916476065353
pi,-0.3,230,1.1072552211086575,9.109418915793753e-9,1.186554391029755,0.0022498353591181054,-0.07929916992109742,-0.0022498262496991896,1.803254170181458,1.0264529725634741,0.7302597490861144,0.7302597490861144
pi,-0.3,235,1.116894847983449,7.634388619933566e-9,1.2015650899859465,0.0026255726328853865,-0.0846702420024974,-0.0026255649984967665,1.9330364993878661,1.1770353470375823,0.7424995164190672,0.7424995164190672
pi,-0.3,240,1.1268387917791098,6.523984994163301e-9,1.2169939300556663,0.0029990605684830736,-0.09015513827655641,-0.0029990540444980794,2.058135983460637,1.3320515921418372,0.7538998455645175,0.7538998455645175
pi,-0.3,245,1.1369702923872118,5.656302891500953e-9,1.2327253494290609,0.003368319584646118,-0.09575505704184906,-0.0033683139283432265,2.1788599031024916,1.4911599199881977,0.7645368631727912,0.7645368631727912
pi,-0.3,250,1.1471657072663446,4.9590825579998455e-9,1.248635095379479,0.003731334837982852,-0.10146938811313433,-0.0037313298789002944,2.29541777030447,1.6539618895167052,0.774477310583614,0.774477310583614
pi,-0.3,255,1.157304686762762,4.388181511688357e-9,1.2646013221821604,0.004086231174368565,-0.10729663541939827,-0.004086226786187053,2.4079718395824004,1.8200473461459894,0.7837807706431994,0.7837807706431994
pi,-0.3,260,1.1672791733214336,3.915234712075622e-9,1.2805142136167345,0.004431394118836527,-0.11323504029530085,-0.004431390203601815,2.516669548210669,1.9890306123364505,0.7925010706309028,0.7925010706309028
pi,-0.3,265,1.1769996569597247,3.5209224918212495e-9,1.296282634517977,0.004765535444261573,-0.11928297755825223,-0.004765531923339081,2.6216609602328815,2.1605748945145935,0.8006871174399605,0.8006871174399605
