mode,path,manifest_sha256,scan_rows,diagnostic_rows,scan_sha256,diagnostic_sha256,legacy_prod_v1_tree_hash,figure_manifest_sha256,figure_count,numerical_status,runtime_default_switch,source_solver_called,aggregate_replay_solver_called,import_solver_called,quality_reason_counts,known_metadata_defects
mode_a_fixed_muB_phase_scaled,data/outputs/results/relaxtime/transport/phase_guided/mode_a_fixed_muB_phase_scaled/first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2,3d0a91170a62f570e119d1189d8e79526c008a1a77a94464772d53c3ca9e5f72,910,38220,144f59dd6d74b1d13b24b793328e620e796fb645b7af9418174ba5a55e360587,6eaf02101e330762569d028fe1398c94184e243ea6d7e39a8db69718a6e4e246,f44b61fe07afd1eac4c40d6ba8c043007182aa653655ba511a41cc1d034af0dd,eed426abfc592a7842d6124b1dbe86fb3394c6cd58a7e29b2be69335790180c7,36,diagnostic_only,False,True,False,False,"{'ok': 680, 'tau_u_ubar_ratio_high': 230}","{'effective_config.json': 30, 'failed_points.csv': 30}"
mode_b_fixed_T_sparse_muB,data/outputs/results/relaxtime/transport/phase_guided/mode_b_fixed_T_sparse_muB/first_canonical_v2_p128_xi001_onshellkernel_validated_anchored_prod_v2,093ff05502f63515ac70b1a3e992971ecbc649c343bc7e591fa4fb1b8fc54921,909,38178,3b73b937f1f09cf7112b3a42219088f98b852e5ef0354174b66f71823f7bb29c,ada5d7c204a02e705cfbb5744bedbcc68158d54cce55faa0c8b92d0ba50d0d0f,d9779b96fb1f6147234390e9150e08dbfcf0299ea257a0f563bde0e2e61dd001,fbb216a45db2fa8c3a819a1e97f129821752972e7bc70db2a75360e9e69d9b77,36,diagnostic_only,False,True,False,False,"{'ok': 669, 'tau_u_ubar_ratio_high': 240}","{'effective_config.json': 30, 'failed_points.csv': 30}"
