# format: combined_meson_density_scan_v1
# script: scripts/relaxtime/run_combined_meson_density_scan.jl
# date: 2026-06-08
# bridge: path_strategy x density_regime
# path_strategy: trho_asymmetric
# regimes: stable,strict_bw_stage1,phase_shift_current,phase_shift_gbu_reference
# muq_values_MeV: not_applicable
# rho_values: 0.050000,0.100000,0.150000,0.200000,0.250000,0.300000,0.350000,0.400000,0.450000,0.500000,0.550000,0.600000,0.650000,0.700000,0.750000,0.800000,0.850000,0.900000,0.950000,1.000000
# trho_reverse_rho: true
# trho_seed_policy: temperature_grouped_rho_continuity
# branch_repair_policy: pressure_max_all_attempts_multiseed for targeted replacement rows only
# asym_ud_ratio_target: 0.876
# asym_s_target: 0.0
# real_axis_mode: pv_b0_eta0
# phase_display: fold_0_pi
# density_policy: x_min_cut
# bose_x_min: 0.01
# density_policy_scope: phase_shift_current,phase_shift_gbu_reference
# noanom_policy: none
# gamma_zero_tol: 1.0e-12
# branch_repair_date: 2026-06-20
# branch_repair_scope: targeted replacement for (T_MeV,rho_target)=(120,0.35),(130,0.80),(210,0.90)
# branch_repair_reason: upstream FixedAsymmetricRho multi-root branch policy now uses pressure_max_all_attempts_multiseed
# branch_repair_source_commit: 36ef39d5cc57313d147a06175f9272260ec4c1f5
# branch_repair_evidence: branch_repair_20260620/
path_strategy,path_point_index,T_MeV,muq_MeV,muB_MeV,xi,constraint_mode,rho_target,rho_norm,rho_u_fm3,rho_d_fm3,rho_s_fm3,rho_u_over_rho_d,asym_ud_ratio_target,asym_s_target,constraint_residual_norm,equilibrium_pressure_fm4,trho_seed_candidate_count,trho_branch_policy,mu_u_MeV,mu_d_MeV,mu_s_MeV,muQ_MeV,muS_MeV,flavor_profile,meson_profile,pi_channel,k_channel,charge_resolved,mu_pi_MeV,mu_K_MeV,d_pi,d_K,regime,phase_scheme,strict_bw_stage,real_axis_mode,eta,density_policy,noanom_policy,phase_convention,phase_display,qmax,q_nodes,omega_min,omega_max,omega_nodes,gamma_zero_tol,Phi,Phibar,m_u,m_d,m_s,m_pi_MeV,m_K_MeV,gamma_pi_MeV,gamma_K_MeV,n_pi,n_K,kpi_ratio,unsafe_bose_count,min_E_minus_mu,bose_x_min,noanom_removed_component_count,status,message
trho_asymmetric,6,120.000000,214.180087,937.668920,0.000000,FixedAsymmetricRho,0.750000,0.750000,0.168102,0.191898,-0.000000,0.876000,0.876000,0.000000,0.000000,,,,306.641247,315.513836,20.385178,-8.872589,295.128658,default,asymmetric_kplus_over_piplus_signed,pi_plus,K_plus,true,-8.872589,286.256069,1,1,stable,,,,,,,,,,,,,,,0.120681,0.170938,1.525921,1.509775,2.639165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,unsafe_bose_domain,"ArgumentError: Stable boson density requires mass > μ, got mass=1.340659575898592, μ=1.4506686743572474"
trho_asymmetric,6,120.000000,214.180087,937.668920,0.000000,FixedAsymmetricRho,0.750000,0.750000,0.168102,0.191898,-0.000000,0.876000,0.876000,0.000000,0.000000,,,,306.641247,315.513836,20.385178,-8.872589,295.128658,default,asymmetric_kplus_over_piplus_signed,pi_plus,K_plus,true,-8.872589,286.256069,1,1,strict_bw_stage1,,,,,,,,,,,,,,,0.120681,0.170938,1.525921,1.509775,2.639165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,unsafe_bose_domain,"ArgumentError: strict BW helper requires mass > μ, got mass=1.340659575898592, μ=1.4506686743572474"
trho_asymmetric,6,120.000000,214.180087,937.668920,0.000000,FixedAsymmetricRho,0.750000,0.750000,0.168102,0.191898,-0.000000,0.876000,0.876000,0.000000,0.000000,,,,306.641247,315.513836,20.385178,-8.872589,295.128658,default,asymmetric_kplus_over_piplus_signed,pi_plus,K_plus,true,-8.872589,286.256069,1,1,phase_shift_current,phase_shift_current,,pv_b0_eta0,0.000000,x_min_cut,none,arg_inverse_propagator,fold_0_pi,4.000000,192,0.050000,4.000000,192,,0.120681,0.170938,1.525921,1.509775,2.639165,135.980527,264.548306,NaN,NaN,0.097489,9.758298,100.096393,78,-1.400669,0.010000,0,ok,
trho_asymmetric,6,120.000000,214.180087,937.668920,0.000000,FixedAsymmetricRho,0.750000,0.750000,0.168102,0.191898,-0.000000,0.876000,0.876000,0.000000,0.000000,,,,306.641247,315.513836,20.385178,-8.872589,295.128658,default,asymmetric_kplus_over_piplus_signed,pi_plus,K_plus,true,-8.872589,286.256069,1,1,phase_shift_gbu_reference,phase_shift_gbu_reference,,pv_b0_eta0,0.000000,x_min_cut,none,arg_inverse_propagator,fold_0_pi,4.000000,192,0.050000,4.000000,192,,0.120681,0.170938,1.525921,1.509775,2.639165,135.980527,264.548306,NaN,NaN,0.018828,4.355959,231.359364,78,-1.400669,0.010000,0,ok,
trho_asymmetric,7,120.000000,213.832436,934.691446,0.000000,FixedAsymmetricRho,0.700000,0.700000,0.156896,0.179104,0.000000,0.876000,0.876000,0.000000,0.000000,,,,305.709738,314.490854,21.296717,-8.781117,293.194137,default,asymmetric_kplus_over_piplus_signed,pi_plus,K_plus,true,-8.781117,284.413021,1,1,stable,,,,,,,,,,,,,,,0.116053,0.166945,1.550134,1.535044,2.648719,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,unsafe_bose_domain,"ArgumentError: Stable boson density requires mass > μ, got mass=1.3374677560689658, μ=1.4413286020032814"
trho_asymmetric,7,120.000000,213.832436,934.691446,0.000000,FixedAsymmetricRho,0.700000,0.700000,0.156896,0.179104,0.000000,0.876000,0.876000,0.000000,0.000000,,,,305.709738,314.490854,21.296717,-8.781117,293.194137,default,asymmetric_kplus_over_piplus_signed,pi_plus,K_plus,true,-8.781117,284.413021,1,1,strict_bw_stage1,,,,,,,,,,,,,,,0.116053,0.166945,1.550134,1.535044,2.648719,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,unsafe_bose_domain,"ArgumentError: strict BW helper requires mass > μ, got mass=1.3374677560689658, μ=1.4413286020032814"
trho_asymmetric,7,120.000000,213.832436,934.691446,0.000000,FixedAsymmetricRho,0.700000,0.700000,0.156896,0.179104,0.000000,0.876000,0.876000,0.000000,0.000000,,,,305.709738,314.490854,21.296717,-8.781117,293.194137,default,asymmetric_kplus_over_piplus_signed,pi_plus,K_plus,true,-8.781117,284.413021,1,1,phase_shift_current,phase_shift_current,,pv_b0_eta0,0.000000,x_min_cut,none,arg_inverse_propagator,fold_0_pi,4.000000,192,0.050000,4.000000,192,,0.116053,0.166945,1.550134,1.535044,2.648719,136.070177,263.918474,NaN,NaN,0.099159,9.732242,98.147529,78,-1.391329,0.010000,0,ok,
trho_asymmetric,7,120.000000,213.832436,934.691446,0.000000,FixedAsymmetricRho,0.700000,0.700000,0.156896,0.179104,0.000000,0.876000,0.876000,0.000000,0.000000,,,,305.709738,314.490854,21.296717,-8.781117,293.194137,default,asymmetric_kplus_over_piplus_signed,pi_plus,K_plus,true,-8.781117,284.413021,1,1,phase_shift_gbu_reference,phase_shift_gbu_reference,,pv_b0_eta0,0.000000,x_min_cut,none,arg_inverse_propagator,fold_0_pi,4.000000,192,0.050000,4.000000,192,,0.116053,0.166945,1.550134,1.535044,2.648719,136.070177,263.918474,NaN,NaN,0.019274,4.296772,222.926496,78,-1.391329,0.010000,0,ok,
trho_asymmetric,8,120.000000,213.384726,931.134802,0.000000,FixedAsymmetricRho,0.650000,0.650000,0.145689,0.166311,-0.000000,0.876000,0.876000,0.000000,0.000000,,,,304.577083,313.278860,22.298234,-8.701777,290.980626,default,asymmetric_kplus_over_piplus_signed,pi_plus,K_plus,true,-8.701777,282.278848,1,1,stable,,,,,,,,,,,,,,,0.111229,0.162751,1.574038,1.560013,2.658280,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,unsafe_bose_domain,"ArgumentError: Stable boson density requires mass > μ, got mass=1.3362872066086793, μ=1.4305131911492392"
trho_asymmetric,8,120.000000,213.384726,931.134802,0.000000,FixedAsymmetricRho,0.650000,0.650000,0.145689,0.166311,-0.000000,0.876000,0.876000,0.000000,0.000000,,,,304.577083,313.278860,22.298234,-8.701777,290.980626,default,asymmetric_kplus_over_piplus_signed,pi_plus,K_plus,true,-8.701777,282.278848,1,1,strict_bw_stage1,,,,,,,,,,,,,,,0.111229,0.162751,1.574038,1.560013,2.658280,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,unsafe_bose_domain,"ArgumentError: strict BW helper requires mass > μ, got mass=1.3362872066086793, μ=1.4305131911492392"
trho_asymmetric,8,120.000000,213.384726,931.134802,0.000000,FixedAsymmetricRho,0.650000,0.650000,0.145689,0.166311,-0.000000,0.876000,0.876000,0.000000,0.000000,,,,304.577083,313.278860,22.298234,-8.701777,290.980626,default,asymmetric_kplus_over_piplus_signed,pi_plus,K_plus,true,-8.701777,282.278848,1,1,phase_shift_current,phase_shift_current,,pv_b0_eta0,0.000000,x_min_cut,none,arg_inverse_propagator,fold_0_pi,4.000000,192,0.050000,4.000000,192,,0.111229,0.162751,1.574038,1.560013,2.658280,136.262224,263.685519,NaN,NaN,0.100742,9.688419,96.170766,77,-1.380513,0.010000,0,ok,
trho_asymmetric,8,120.000000,213.384726,931.134802,0.000000,FixedAsymmetricRho,0.650000,0.650000,0.145689,0.166311,-0.000000,0.876000,0.876000,0.000000,0.000000,,,,304.577083,313.278860,22.298234,-8.701777,290.980626,default,asymmetric_kplus_over_piplus_signed,pi_plus,K_plus,true,-8.701777,282.278848,1,1,phase_shift_gbu_reference,phase_shift_gbu_reference,,pv_b0_eta0,0.000000,x_min_cut,none,arg_inverse_propagator,fold_0_pi,4.000000,192,0.050000,4.000000,192,,0.111229,0.162751,1.574038,1.560013,2.658280,136.262224,263.685519,NaN,NaN,0.019698,4.206296,213.537380,77,-1.380513,0.010000,0,ok,
