q_inv_fm,weight,band,order,density,bound,landau,pair,root_count,negative_root_count,topology_evaluated,omega_tail
8.079420287004927,0.20245707258075143,tail1,8,1.2566193467070438e-12,0.0,1.2574877689703958e-12,-8.68422263351989e-16,0,0,false,1.4666519402786763e-17
8.406667045172746,0.44476206890674924,tail1,8,8.4526558261904e-13,0.0,8.458045984171259e-13,-5.390157980858602e-16,0,0,false,1.587867845541881e-17
8.948935180167343,0.6274132917557749,tail1,8,4.3036671501619384e-13,0.0,4.3061009242135384e-13,-2.4337740515999583e-16,0,0,false,1.7993240502509817e-17
9.6331307150087,0.7253675667567239,tail1,8,1.7864258895295202e-13,0.0,1.7873113060748065e-13,-8.854165452861226e-17,0,0,false,1.922831066055535e-17
10.3668692849913,0.7253675667567239,tail1,8,6.761688463588346e-14,0.0,6.764656830381014e-14,-2.968366792668946e-17,0,0,false,6.564093260056913e-18
11.051064819832657,0.6274132917557749,tail1,8,2.6727280048209345e-14,0.0,2.6737917814181817e-14,-1.0637765972473722e-17,0,0,false,2.3877173590728496e-18
11.593332954827254,0.44476206890674924,tail1,8,1.2642621561283537e-14,0.0,1.264731775130802e-14,-4.69619002448219e-18,0,0,false,1.0653847720480653e-18
11.920579712995073,0.20245707258075143,tail1,8,8.007608019891833e-15,0.0,8.010470233575696e-15,-2.8622136838616586e-18,0,0,false,6.532360827380617e-19
12.079420287004927,0.20245707258075143,tail2,8,6.407654851932148e-15,0.0,6.409904810327064e-15,-2.249958394916043e-18,0,0,false,5.148948627794724e-19
12.406667045172746,0.44476206890674924,tail2,8,4.038530862963171e-15,0.0,4.039899581684062e-15,-1.3687187208904554e-18,0,0,false,3.1500842912707863e-19
12.948935180167343,0.6274132917557749,tail2,8,1.8670703321058513e-15,0.0,1.867669639225929e-15,-5.993071200775919e-19,0,0,false,1.39121815746831e-19
13.6331307150087,0.7253675667567239,tail2,8,6.979493013341662e-16,0.0,6.981598643036311e-16,-2.105629694649167e-19,0,0,false,4.936435737457038e-20
14.3668692849913,0.7253675667567239,tail2,8,2.4018874331760236e-16,0.0,2.4025700972291017e-16,-6.826640530780158e-20,0,0,false,1.61591995925012e-20
15.051064819832657,0.6274132917557749,tail2,8,8.799957073458453e-17,0.0,8.802335614251295e-17,-2.3785407928422254e-20,0,0,false,5.677082211008647e-21
15.593332954827254,0.44476206890674924,tail2,8,3.9479805485825856e-17,0.0,3.9490094336618956e-17,-1.028885079309923e-20,0,0,false,2.4704942004656055e-21
15.920579712995073,0.20245707258075143,tail2,8,2.4284291021172967e-17,0.0,2.4290489991646115e-17,-6.198970473146805e-21,0,0,false,1.4935137847799273e-21
16.158840574009854,0.40491414516150287,tail3,8,1.703061593207039e-17,0.0,1.7034900276513113e-17,-4.284344442722841e-21,0,0,false,1.034756859375748e-21
16.813334090345492,0.8895241378134985,tail3,8,6.399840831347792e-18,0.0,6.4013911041576435e-18,-1.5502728098516542e-21,0,0,false,3.7678768442063535e-22
17.897870360334686,1.2548265835115497,tail3,8,1.24925111005556e-18,0.0,1.2495371457310369e-18,-2.8603567547677044e-22,0,0,false,7.018141754461686e-23
19.2662614300174,1.4507351335134477,tail3,8,1.561337281795848e-19,0.0,1.5616733630419536e-19,-3.360812461057137e-23,0,0,false,8.333062738003866e-24
20.7337385699826,1.4507351335134477,tail3,8,1.6469523237644207e-20,0.0,1.647287216774573e-20,-3.348930101524229e-24,0,0,false,8.385163559708675e-25
22.102129639665314,1.2548265835115497,tail3,8,1.992213924497892e-21,0.0,1.9926007746366928e-21,-3.8685013880085436e-25,0,0,false,9.763710170215446e-26
23.186665909654508,0.8895241378134985,tail3,8,3.7021503450289714e-22,0.0,3.7028461960730017e-22,-6.958510440300489e-26,0,0,false,1.7662560010985216e-26
23.841159425990146,0.40491414516150287,tail3,8,1.3363445751498284e-22,0.0,1.3365912263853822e-22,-2.4665123555387778e-26,0,0,false,6.2806251978784586e-27
24.158840574009854,0.40491414516150287,tail4,8,8.142320509496405e-23,0.0,8.14381068700868e-23,-1.4901775122737535e-26,0,0,false,3.800163052974972e-27
24.813334090345492,0.8895241378134985,tail4,8,2.929051484193157e-23,0.0,2.929578653013737e-23,-5.271688205802849e-27,0,0,false,1.3483150847352125e-27
25.897870360334686,1.2548265835115497,tail4,8,5.357349630485611e-24,0.0,5.358289266521011e-24,-9.396360354003652e-28,0,0,false,2.4142356503369005e-28
27.2662614300174,1.4507351335134477,tail4,8,6.234906895473302e-25,0.0,6.235968581417792e-25,-1.0616859444890022e-28,0,0,false,2.7421617965444376e-29
28.7337385699826,1.4507351335134477,tail4,8,6.158637168297397e-26,0.0,6.159656391713638e-26,-1.019223416240275e-29,0,0,false,2.6458956219741582e-30
30.102129639665314,1.2548265835115497,tail4,8,7.063986501697966e-27,0.0,7.065127808050746e-27,-1.1413063527790933e-30,0,0,false,2.9755908364492776e-31
31.186665909654508,0.8895241378134985,tail4,8,1.2643321135892456e-27,0.0,1.2645328424775828e-27,-2.0072888833737423e-31,0,0,false,5.24985213047195e-32
31.841159425990146,0.40491414516150287,tail4,8,4.469145572889964e-28,0.0,4.469848063408862e-28,-7.024905188977968e-32,0,0,false,1.8405940497267847e-32
0.07182528958236256,0.18309601254913185,bulk,8,6.174667324544289e-5,6.179348121365717e-5,4.8340666646339566e-15,-4.68079730483479e-8,1,1,true,1.1591014028031009e-21
0.36777729450063545,0.40222927414623866,bulk,8,0.00041441524958832284,0.00041575780956328116,3.2128098609651723e-12,-1.342563187768176e-6,1,1,true,3.039040497807828e-20
0.8581880862024833,0.5674134791956356,bulk,8,0.0005465837711739594,0.000554682830281542,4.9650004552708896e-11,-8.099108757587034e-6,1,1,true,1.6547470763824282e-19
1.4769536972848383,0.6560003432463412,bulk,8,0.0004060265291968676,0.0004312856862416658,1.541317594690588e-10,-2.525931117655767e-5,1,1,true,4.901177383792024e-19
2.140524520989857,0.6560003432463412,bulk,8,0.00023121103526078785,0.00028240728998545094,1.8927748111607973e-10,-5.119644400214423e-5,1,1,true,1.029454306581083e-18
2.759290132072212,0.5674134791956356,bulk,8,0.00011337648711773185,0.00018837209925240061,1.5344965244052954e-10,-7.499576558432118e-5,1,1,true,1.7106509218304925e-18
3.2497009237740597,0.40222927414623866,bulk,8,5.200301983887526e-5,0.00013880403804051344,1.1494319423905893e-10,-8.68011331448324e-5,1,1,true,2.3727580084144706e-18
3.545652928692333,0.18309601254913185,bulk,8,2.7218291274549394e-5,0.00011596193319124107,9.394137620970279e-11,-8.87437358580679e-5,1,1,true,2.824613976862003e-18
3.6668599698331388,0.12588326278413267,bulk,8,1.952909027421275e-5,0.0,8.613510404212235e-11,1.952900413910871e-5,0,0,true,3.021031899045416e-18
3.870334657719205,0.2765430700094292,bulk,8,1.0643610128798292e-5,0.0,7.413187317717796e-11,1.0643535996925114e-5,0,0,true,3.365609292150086e-18
4.207504810714276,0.3901115000506976,bulk,8,3.4514376473177606e-6,0.0,5.720438683039125e-11,3.45138044293093e-6,0,0,true,3.977552334481516e-18
4.6329222348144485,0.45101726927669206,bulk,8,6.45685019431641e-7,0.0,4.0580097126379615e-11,6.456444393345147e-7,0,0,true,4.822549356353143e-18
5.089144405976845,0.45101726927669206,bulk,8,6.859095491585517e-8,0.0,2.7563906242388085e-11,6.856339100961278e-8,0,0,true,5.8191052015656255e-18
5.514561830077017,0.3901115000506976,bulk,8,3.77738912257413e-9,0.0,1.8896496944528836e-11,3.758492625629602e-9,0,0,true,6.832642233670756e-18
5.851731983072089,0.2765430700094292,bulk,8,8.368670387559401e-11,0.0,1.3846779954523095e-11,6.983992392107091e-11,0,0,true,7.693704705044709e-18
6.055206670958155,0.12588326278413267,bulk,8,1.1473301217952042e-11,0.0,1.1418830513970736e-11,5.447070398130619e-14,0,0,true,8.23805337640114e-18
6.142221955385648,0.09593486982823836,bulk,8,1.0488061002301051e-11,0.0,1.0501866273738428e-11,-1.3805271437375417e-14,0,0,true,8.476521585287284e-18
6.297288778916946,0.21075179365783064,bulk,8,9.009298038097286e-12,0.0,9.020408827458386e-12,-1.1110789361101606e-14,0,0,true,8.909921528444326e-18
6.554244104209219,0.2973016042652166,bulk,8,6.947215964695949e-12,0.0,6.954954824930036e-12,-7.738860234087666e-15,0,0,true,9.651879345229598e-18
6.878452138709408,0.3437175209904145,bulk,8,4.939313952618313e-12,0.0,4.94420223751045e-12,-4.888284892137481e-15,0,0,true,1.0630363117580711e-17
7.226136283807191,0.3437175209904145,bulk,8,3.3761609417572625e-12,0.0,3.3791369784790893e-12,-2.976036721826781e-15,0,0,true,1.1732186449459829e-17
7.55034431830738,0.2973016042652166,bulk,8,2.3389477297258676e-12,0.0,2.340815573315769e-12,-1.867843589901109e-15,0,0,true,1.2808556094105989e-17
7.807299643599653,0.21075179365783064,bulk,8,1.7353592832279851e-12,0.0,1.736648000463534e-12,-1.2887172355490648e-15,0,0,true,1.3695199274228348e-17
7.962366467130951,0.09593486982823836,bulk,8,1.4449604385811763e-12,0.0,1.4459897746872276e-12,-1.029336106051374e-15,0,0,true,1.4244623808840427e-17
0.019170943400891982,0.04911171524730411,bulk,16,6.6070784405473946e-6,6.6103529047084055e-6,6.701891766288597e-18,-3.274464167712791e-9,1,1,true,8.257595977558169e-23
0.10024932339047932,0.11260038342945043,bulk,16,0.00010046523525361456,0.00010055729656219085,2.0751826222353862e-14,-9.20613293281255e-8,1,1,true,2.2580292346326373e-21
0.24303809928888986,0.1721169216474279,bulk,16,0.00029167755421452215,0.00029224354320831207,7.017467044329779e-13,-5.659896955366251e-7,1,1,true,1.3271358480250081e-20
0.4424096125308943,0.22542129444143855,bulk,16,0.00046601169152432647,0.00046799224216087894,6.1573008547270194e-12,-1.9805567938533162e-6,1,1,true,4.39760045985569e-20
0.6911621812793798,0.2705801155426157,bulk,16,0.0005463350343566267,0.0005514404101829235,2.6564093869349993e-11,-5.105402390390581e-6,1,1,true,1.0733135035083255e-19
0.9803062507476556,0.3059600121952914,bulk,16,0.0005306005425824954,0.0005413481127042637,7.00805260585929e-11,-1.074764020229435e-5,1,1,true,2.159186736949357e-19
1.2993917535709572,0.33028193825379226,bulk,16,0.00045589722495546076,0.00047532475429279137,1.2701948434347918e-10,-1.942765635681501e-5,1,1,true,3.7935592598355294e-19
1.636886266736716,0.3426667283800273,bulk,16,0.0003607202315219818,0.00039174587369895404,1.7260954552051653e-10,-3.102581478651774e-5,1,1,true,6.020099512733475e-19
1.9805919515379795,0.3426667283800273,bulk,16,0.00026936441066637777,0.0003139615772415416,1.9031461017123828e-10,-4.459735688977396e-5,1,1,true,8.813667853745946e-19
