xi,T_maxwell_max_MeV,T_crossover_min_MeV,delta_T_crossover_minus_maxwell_MeV,overlap_in_T,interpretation
-0.5,145.0,145.00776405003788,0.007764050037877723,False,diagnostic endpoint separation; not a phase certificate
-0.4875,145.0,145.00776405003788,0.007764050037877723,False,diagnostic endpoint separation; not a phase certificate
-0.475,145.0,145.00776405003788,0.007764050037877723,False,diagnostic endpoint separation; not a phase certificate
-0.46875,145.0,145.00776405003788,0.007764050037877723,False,diagnostic endpoint separation; not a phase certificate
-0.4625,145.0,145.00776405003788,0.007764050037877723,False,diagnostic endpoint separation; not a phase certificate
-0.45625,145.0,145.00776405003788,0.007764050037877723,False,diagnostic endpoint separation; not a phase certificate
-0.45,145.0,145.00776405003788,0.007764050037877723,False,diagnostic endpoint separation; not a phase certificate
-0.4375,145.0,145.00776405003788,0.007764050037877723,False,diagnostic endpoint separation; not a phase certificate
-0.425,141.0,141.00809095740786,0.008090957407858923,False,diagnostic endpoint separation; not a phase certificate
-0.4125,141.0,141.00809095740786,0.008090957407858923,False,diagnostic endpoint separation; not a phase certificate
-0.4,141.0,141.00809095740786,0.008090957407858923,False,diagnostic endpoint separation; not a phase certificate
-0.3875,141.0,141.00809095740786,0.008090957407858923,False,diagnostic endpoint separation; not a phase certificate
-0.375,141.0,141.00809095740786,0.008090957407858923,False,diagnostic endpoint separation; not a phase certificate
-0.3625,141.0,141.00809095740786,0.008090957407858923,False,diagnostic endpoint separation; not a phase certificate
-0.35,141.0,141.00809095740786,0.008090957407858923,False,diagnostic endpoint separation; not a phase certificate
-0.34375,141.0,141.00809095740786,0.008090957407858923,False,diagnostic endpoint separation; not a phase certificate
-0.3375,141.0,141.00809095740786,0.008090957407858923,False,diagnostic endpoint separation; not a phase certificate
-0.33125,141.0,141.00809095740786,0.008090957407858923,False,diagnostic endpoint separation; not a phase certificate
-0.325,141.0,141.00809095740786,0.008090957407858923,False,diagnostic endpoint separation; not a phase certificate
-0.3125,141.0,141.00809095740786,0.008090957407858923,False,diagnostic endpoint separation; not a phase certificate
-0.3,137.0,137.0084178647779,0.008417864777896966,False,diagnostic endpoint separation; not a phase certificate
-0.2875,137.0,137.0084178647779,0.008417864777896966,False,diagnostic endpoint separation; not a phase certificate
-0.275,137.0,137.0084178647779,0.008417864777896966,False,diagnostic endpoint separation; not a phase certificate
-0.2625,137.0,137.0084178647779,0.008417864777896966,False,diagnostic endpoint separation; not a phase certificate
-0.25,137.0,137.0084178647779,0.008417864777896966,False,diagnostic endpoint separation; not a phase certificate
-0.2375,137.0,137.0084178647779,0.008417864777896966,False,diagnostic endpoint separation; not a phase certificate
-0.225,137.0,137.0084178647779,0.008417864777896966,False,diagnostic endpoint separation; not a phase certificate
-0.21875,137.0,137.0084178647779,0.008417864777896966,False,diagnostic endpoint separation; not a phase certificate
-0.2125,137.0,137.0084178647779,0.008417864777896966,False,diagnostic endpoint separation; not a phase certificate
-0.20625,137.0,137.0084178647779,0.008417864777896966,False,diagnostic endpoint separation; not a phase certificate
-0.2,137.0,137.0084178647779,0.008417864777896966,False,diagnostic endpoint separation; not a phase certificate
-0.1875,137.0,137.0084178647779,0.008417864777896966,False,diagnostic endpoint separation; not a phase certificate
-0.175,132.0,132.0088264989904,0.008826498990401888,False,diagnostic endpoint separation; not a phase certificate
