# baseline=D:\Desktop\Julia_RelaxTime\tests\baselines\pnjl\baseline_pnjl_scan_fixedpoints_v1.csv
# rtol=8.000000e-02, atol=1.000000e-06
kind,T,mu,rho,xi,pressure_actual,pressure_baseline,entropy_actual,entropy_baseline,energy_actual,energy_baseline,rho_out_actual,rho_out_baseline,mu_avg_actual,mu_avg_baseline,pass
tmu,150.000000,0.000000,NaN,0.000000,2.1617909000000001e+01,2.1617909000000001e+01,1.6678699999999999e-01,1.6678699999999999e-01,-2.1491123999999999e+01,-2.1491123999999999e+01,-0.0000000000000000e+00,-0.0000000000000000e+00,NaN,NaN,true
trho,150.000000,NaN,0.200000,0.000000,2.1639220000000002e+01,2.1639220000000002e+01,5.8768299999999996e-01,5.8768299999999996e-01,-2.1110377000000000e+01,-2.1110377000000000e+01,NaN,NaN,1.6877555599999999e+02,1.6877555599999999e+02,true
