surface,xi,T_MeV,mu_MeV,rho_hadron,rho_quark,area_residual,layer,status,interpolation_method,source_layer,source_xi_left,source_xi_right,source_axis_low,source_axis_high,xi_gap,reference_write,source_status,acceptance_status,extrapolation,coverage_status,acceptance_scope
maxwell,-0.5,5.0,331.5737237121608,0.0,2.8043648716128837,6.214276312251554e-07,strict_reference_v1,native_uniform_xi,none_native,strict_maxwell_c2_plus_expansion,-0.5,-0.5,5.0,147.0625,0.0,False,strict_certified,candidate_pending_author_review,False,native_support,downstream_phase_map_candidate
maxwell,-0.5,7.0,331.53072855499386,0.0,2.8040121959105595,8.404648264240407e-07,strict_reference_v1,native_uniform_xi,none_native,strict_maxwell_c2_plus_expansion,-0.5,-0.5,5.0,147.0625,0.0,False,strict_certified,candidate_pending_author_review,False,native_support,downstream_phase_map_candidate
maxwell,-0.5,9.0,331.47214717190707,0.0,2.803553430857171,4.892608511626389e-07,strict_reference_v1,native_uniform_xi,none_native,strict_maxwell_c2_plus_expansion,-0.5,-0.5,5.0,147.0625,0.0,False,strict_certified,candidate_pending_author_review,False,native_support,downstream_phase_map_candidate
maxwell,-0.5,11.0,331.39729861961985,0.0,2.8029938839977793,9.218454626052264e-07,strict_reference_v1,native_uniform_xi,none_native,strict_maxwell_c2_plus_expansion,-0.5,-0.5,5.0,147.0625,0.0,False,strict_certified,candidate_pending_author_review,False,native_support,downstream_phase_map_candidate
maxwell,-0.5,13.0,331.3054888305039,4.689397995976032e-06,2.80233908457752,2.752236960619885e-06,strict_reference_v1,native_uniform_xi,none_native,strict_maxwell_c2_plus_expansion,-0.5,-0.5,5.0,147.0625,0.0,False,strict_certified,candidate_pending_author_review,False,native_support,downstream_phase_map_candidate
maxwell,-0.5,15.0,331.19600802853614,1.7596768673803346e-05,2.801594814449659,2.947317779710177e-07,strict_reference_v1,native_uniform_xi,none_native,strict_maxwell_c2_plus_expansion,-0.5,-0.5,5.0,147.0625,0.0,False,strict_certified,candidate_pending_author_review,False,native_support,downstream_phase_map_candidate
maxwell,-0.5,19.0,330.92116928704047,0.00011083919870242536,2.7998648009386304,3.7363389591666763e-06,strict_reference_v1,native_uniform_xi,none_native,strict_maxwell_c2_plus_expansion,-0.5,-0.5,5.0,147.0625,0.0,False,strict_certified,candidate_pending_author_review,False,native_support,downstream_phase_map_candidate
maxwell,-0.5,21.0,330.75435819257945,0.0002208769373748548,2.798895406507166,7.313824709060919e-07,strict_reference_v1,native_uniform_xi,none_native,strict_maxwell_c2_plus_expansion,-0.5,-0.5,5.0,147.0625,0.0,False,strict_certified,candidate_pending_author_review,False,native_support,downstream_phase_map_candidate
maxwell,-0.5,23.0,330.56696381116114,0.0003851292891594072,2.797868044985752,3.5549852815582863e-06,strict_reference_v1,native_uniform_xi,none_native,strict_maxwell_c2_plus_expansion,-0.5,-0.5,5.0,147.0625,0.0,False,strict_certified,candidate_pending_author_review,False,native_support,downstream_phase_map_candidate
maxwell,-0.5,25.0,330.3582234555118,0.0006618188422905945,2.7967931173128204,2.3270532251915812e-06,strict_reference_v1,native_uniform_xi,none_native,strict_maxwell_c2_plus_expansion,-0.5,-0.5,5.0,147.0625,0.0,False,strict_certified,candidate_pending_author_review,False,native_support,downstream_phase_map_candidate
maxwell,-0.5,27.0,330.1273304317794,0.0010338586519331432,2.795681511001223,3.3819890536577134e-06,strict_reference_v1,native_uniform_xi,none_native,strict_maxwell_c2_plus_expansion,-0.5,-0.5,5.0,147.0625,0.0,False,strict_certified,candidate_pending_author_review,False,native_support,downstream_phase_map_candidate
maxwell,-0.5,29.0,329.8735080646854,0.0014667283595515765,2.794546663733343,3.361417456572569e-06,strict_reference_v1,native_uniform_xi,none_native,strict_maxwell_c2_plus_expansion,-0.5,-0.5,5.0,147.0625,0.0,False,strict_certified,candidate_pending_author_review,False,native_support,downstream_phase_map_candidate
maxwell,-0.5,31.0,329.5959794411096,0.0020581066169267576,2.793404136252304,1.8420077701008066e-06,strict_reference_v1,native_uniform_xi,none_native,strict_maxwell_c2_plus_expansion,-0.5,-0.5,5.0,147.0625,0.0,False,strict_certified,candidate_pending_author_review,False,native_support,downstream_phase_map_candidate
maxwell,-0.5,33.0,329.2935457565486,0.0027760893301815434,2.7922602586575165,4.695046670209833e-06,strict_reference_v1,native_uniform_xi,none_native,strict_maxwell_c2_plus_expansion,-0.5,-0.5,5.0,147.0625,0.0,False,strict_certified,candidate_pending_author_review,False,native_support,downstream_phase_map_candidate
maxwell,-0.5,35.0,328.9658725760804,0.003650572226835812,2.7911452830405437,2.2641434889642312e-06,strict_reference_v1,native_uniform_xi,none_native,strict_maxwell_c2_plus_expansion,-0.5,-0.5,5.0,147.0625,0.0,False,strict_certified,candidate_pending_author_review,False,native_support,downstream_phase_map_candidate
maxwell,-0.5,37.0,328.61107630559167,0.004682371551800802,2.7900509971042027,1.7952410535165223e-06,strict_reference_v1,native_uniform_xi,none_native,strict_maxwell_c2_plus_expansion,-0.5,-0.5,5.0,147.0625,0.0,False,strict_certified,candidate_pending_author_review,False,native_support,downstream_phase_map_candidate
maxwell,-0.5,39.0,328.22856531958587,0.005926415968279071,2.7890057137566324,1.242319344140825e-06,strict_reference_v1,native_uniform_xi,none_native,strict_maxwell_c2_plus_expansion,-0.5,-0.5,5.0,147.0625,0.0,False,strict_certified,candidate_pending_author_review,False,native_support,downstream_phase_map_candidate
maxwell,-0.5,41.0,327.81869683976817,0.007491760352256728,2.78806519242395,9.598226153470634e-07,strict_reference_v1,native_uniform_xi,none_native,strict_maxwell_c2_plus_expansion,-0.5,-0.5,5.0,147.0625,0.0,False,strict_certified,candidate_pending_author_review,False,native_support,downstream_phase_map_candidate
maxwell,-0.5,43.0,327.3774284947069,0.00903350718658213,2.787170925037216,1.9444978836057156e-06,strict_reference_v1,native_uniform_xi,none_native,strict_maxwell_c2_plus_expansion,-0.5,-0.5,5.0,147.0625,0.0,False,strict_certified,candidate_pending_author_review,False,native_support,downstream_phase_map_candidate
