route,scope,target_count,rho_base_step,rho_max,base_rho_keys_per_target,expected_base_rho_keys,targeted_refinement_points,expected_unique_solves,wall_time_status,cost_unit,stop_condition
crossover_mu_endpoint,representative_xi_pilot,8,0.00625,4.0,641,5128,not_budgeted_in_preflight,5128,not_measured_solver_free_preflight,base_rho_curve_point,no_numerical_dispatch_from_preflight
crossover_mu_endpoint,all_eligible_candidates,186,0.00625,4.0,641,119226,not_budgeted_in_preflight,119226,not_measured_solver_free_preflight,base_rho_curve_point,no_numerical_dispatch_from_preflight
