iter,m_fm,g_fm,residual_norm
0,2.8228687582856,2.55799487360722,0.09785130921369095
1,2.8228687582856,2.55799487360722,0.08596837080607811
2,2.8228687582856,2.55799487360722,0.08596837080607811
3,2.8228687582856,2.55799487360722,0.08596837080607811
4,2.9079443486423533,1.3322315812821468,0.08456904140425317
5,2.7887513614146426,1.8772691777151231,0.03723329756808141
6,2.7887513614146426,1.8772691777151231,0.10063242317424409
7,2.7887513614146426,1.8772691777151231,0.10079281729836842
8,2.775410498607849,2.18523631515054,0.027384411432024358
9,2.775410498607849,2.18523631515054,0.09863479017078151
10,2.8052729316654506,2.4858031733293093,0.014678099946163764
11,2.879507881631172,2.656567558281857,0.0003083278494167046
12,2.877648256564976,2.654723438739122,1.8096414366314262e-7
13,2.877647441631768,2.654724517528171,4.6531799003128246e-14
