m_fm,g_fixed_fm,m_MeV,residual_re,residual_im,residual_norm,log10_residual_norm
2.2,1.2804496874298683,434.11935688000005,0.11170188376663204,-0.010753205830338348,0.11221827958333613,-0.9499363937433357
2.21,1.2804496874298683,436.092626684,0.11075008625610015,-0.011509235592733098,0.11134650470339273,-0.9533234114261228
2.22,1.2804496874298683,438.065896488,0.10979799855588825,-0.012274095454713113,0.11048191664752312,-0.956708800194968
2.23,1.2804496874298683,440.039166292,0.10884567316267917,-0.013047811819433739,0.10962493311063926,-0.9600906586173661
2.24,1.2804496874298683,442.01243609600004,0.10789316272365092,-0.01383041089074067,0.10877598461020214,-0.9634669769036224
2.25,1.2804496874298683,443.98570589999997,0.10694052004043633,-0.014621918679004964,0.10793551469453601,-0.9668356331847007
2.26,1.2804496874298683,445.95897570399995,0.10598779807305234,-0.01542236100676386,0.10710398012864446,-0.9701943898984005
2.27,1.2804496874298683,447.932245508,0.10503504994384677,-0.016231763514229457,0.1062818510541111,-0.9735408903213617
2.28,1.2804496874298683,449.905515312,0.10408232894151767,-0.01705015166473334,0.10546961111941532,-0.9768726552884841
2.29,1.2804496874298683,451.878785116,0.10312968852526705,-0.01787755075018023,0.10466775757674313,-0.9801870801455801
2.3,1.2804496874298683,453.85205491999994,0.10217718232916036,-0.01871398589659412,0.10387680134112912,-0.9834814319854088
2.31,1.2804496874298683,455.825324724,0.10122486416678243,-0.019559482069853886,0.10309726700754239,-0.9867528472215784
2.32,1.2804496874298683,457.79859452799997,0.1002727880362945,-0.02041406408173189,0.10232969282131507,-0.9899983295591326
2.33,1.2804496874298683,459.771864332,0.09932100812603199,-0.021277756596381737,0.1015746305971436,-0.9932147484247735
2.34,1.2804496874298683,461.745134136,0.09836957882081482,-0.022150584137450257,0.10083264558174977,-0.9963988379236007
2.35,1.2804496874298683,463.71840394000003,0.09741855470919626,-0.023032571096046853,0.10010431625521009,-0.9995471963927378
2.36,1.2804496874298683,465.69167374399996,0.09646799059195353,-0.02392374173987094,0.09939023406595478,-1.002656286625132
2.37,1.2804496874298683,467.664943548,0.09551794149223189,-0.02482412022391175,0.09869100309453065,-1.0057224368389122
2.38,1.2804496874298683,469.638213352,0.09456846266786816,-0.02573373060325289,0.09800723964138959,-1.0087418424689605
2.39,1.2804496874298683,471.611483156,0.09361960962673273,-0.026652596848794573,0.09733957173445033,-1.0117105688565782
2.4,1.2804496874298683,473.58475295999995,0.09267143814613396,-0.02758074286695523,0.09668863855265433,-1.014624554911579
2.41,1.2804496874298683,475.55802276400004,0.09172400429795571,-0.02851819252498678,0.09605508976282105,-1.0174796178158994
2.42,1.2804496874298683,477.53129256799997,0.09077736448192633,-0.029464969684287856,0.09543958476848327,-1.0202714588300523
2.43,1.2804496874298683,479.504562372,0.08983157547074605,-0.030421098245397894,0.09484279187166779,-1.0229956702504361
2.44,1.2804496874298683,481.477832176,0.08888669447296452,-0.0313866022104921,0.0942653873521443,-1.0256477435446711
2.45,1.2804496874298683,483.45110198000003,0.08794277922326792,-0.03236150577293076,0.09370805447454277,-1.0282230786585171
2.46,1.2804496874298683,485.42437178399996,0.08699988811672266,-0.03334583345020154,0.09317148244399055,-1.0307169944313972
2.47,1.2804496874298683,487.39764158800006,0.08605808041671756,-0.03433961028964029,0.0926563653499024,-1.0331247399567451
2.48,1.2804496874298683,489.370911392,0.08511741659343684,-0.035342862203052744,0.0921634011755461,-1.0354415065281133
2.49,1.2804496874298683,491.344181196,0.08417795890990606,-0.036355616545807316,0.091693291034097,-1.0376624393949863
2.5,1.2804496874298683,493.317451,0.08323977252108498,-0.03737790320242665,0.09124673899472764,-1.0397826475498646
2.51,1.2804496874298683,495.29072080399993,0.08179987808372219,0.06190031370135302,0.10258103572706666,-0.9889329203192123
2.52,1.2804496874298683,497.263990608,0.07861935128658314,0.06334861457972618,0.10096558505695818,-0.9958266338098244
2.53,1.2804496874298683,499.23726041199996,0.07481790413872481,0.06511984173254443,0.09918826829309528,-1.0035396919271937
2.54,1.2804496874298683,501.210530216,0.06957130711570672,0.06765344662001359,0.09704203013826027,-1.0130401265209
2.55,1.2804496874298683,503.18380002,0.05903273560590479,0.06501812580611804,0.08781924935033807,-1.0564102794201906
2.56,1.2804496874298683,505.157069824,0.05570120063236059,0.060331399939568923,0.08211273695691007,-1.0855894718566559
2.57,1.2804496874298683,507.13033962799994,0.05315513906061432,0.057076553003432465,0.0779948825969171,-1.1079338913201484
2.58,1.2804496874298683,509.103609432,0.050926259925798786,0.054387724296116914,0.07450844585777136,-1.1277944952849168
2.59,1.2804496874298683,511.07687923599997,0.04888135482159102,0.05201975199061249,0.07138236089090295,-1.1464090923437142
2.6,1.2804496874298683,513.0501490400001,0.04696007008901075,0.04986198884092392,0.06849427796493093,-1.1643457080996
2.61,1.2804496874298683,515.0234188439999,0.04512903615401392,0.04785346596138148,0.06577677484270106,-1.181927424595479
2.62,1.2804496874298683,516.996688648,0.043367540108240364,0.04595645142259993,0.06318812358661732,-1.1993645411081988
2.63,1.2804496874298683,518.969958452,0.04166170273969148,0.04414572574968778,0.060700433088546106,-1.216808210287267
2.64,1.2804496874298683,520.943228256,0.04000170200744735,0.04240347836549307,0.05829400604680944,-1.2343760983219805
2.65,1.2804496874298683,522.91649806,0.038380296269477664,0.04071659841523054,0.0559543432473301,-1.2521661973368714
2.66,1.2804496874298683,524.889767864,0.036791973308115705,0.03907511664351053,0.05367042053691262,-1.2702650017663453
2.67,1.2804496874298683,526.863037668,0.03523242885215688,0.037471252401747646,0.05143363490341486,-1.288752782256546
2.68,1.2804496874298683,528.836307472,0.03369823101726498,0.03589880158365047,0.04923712754451934,-1.3077072914018282
2.69,1.2804496874298683,530.809577276,0.03218659561558858,0.034352727561886454,0.04707533141957281,-1.3272066137821419
2.7,1.2804496874298683,532.78284708,0.030695230643937706,0.0328288786011679,0.0449436586683233,-1.3473315764476457
2.71,1.2804496874298683,534.756116884,0.02922222560117172,0.03132378710884314,0.042838278535976486,-1.3681679896923686
2.72,1.2804496874298683,536.729386688,0.027765970803442248,0.029834523566567395,0.040755955774606396,-1.3898089176958472
2.73,1.2804496874298683,538.702656492,0.026325097334372192,0.02835858802042698,0.03869393058577113,-1.412357151772507
2.74,1.2804496874298683,540.6759262960001,0.024898431534214577,0.026893827995024072,0.03664982779072654,-1.4359280616698629
2.75,1.2804496874298683,542.6491961,0.02348495995085093,0.02543837539354303,0.03462158700227197,-1.460653028588508
2.76,1.2804496874298683,544.6224659039999,0.022083801960398986,0.023990597296088954,0.03260740817129189,-1.4866837201035834
2.77,1.2804496874298683,546.595735708,0.020694188104604265,0.02254905710237069,0.03060570857723635,-1.51419756134952
2.78,1.2804496874298683,548.569005512,0.019315442753375725,0.02111248348916672,0.028615088464641728,-1.5434049071154958
2.79,1.2804496874298683,550.542275316,0.017946970083889378,0.0196797453515107,0.026634303300299172,-1.5745586589990286
2.8,1.2804496874298683,552.51554512,0.01658824263407212,0.018249831381785594,0.024662241162361022,-1.6079674597670495
2.81,1.2804496874298683,554.488814924,0.015238791876693542,0.016821833283775373,0.02269790415188843,-1.6440142422470347
2.82,1.2804496874298683,556.4620847279999,0.013898200395621809,0.015394931864732796,0.020740392989445196,-1.6831830188471455
2.83,1.2804496874298683,558.435354532,0.012566095344372495,0.013968385427531524,0.01878889415734559,-1.7260987800642196
2.84,1.2804496874298683,560.408624336,0.011242142939821082,0.0125415200169198,0.016842669094124275,-1.773589083798561
2.85,1.2804496874298683,562.38189414,0.009926043798247401,0.011113721172319471,0.014901045056665917,-1.826783272095946
2.86,1.2804496874298683,564.355163944,0.008617528961893647,0.009684426913837675,0.012963407347551003,-1.8872808319727257
2.87,1.2804496874298683,566.3284337480001,0.00731635649547183,0.008253121744710552,0.01102919266772718,-1.9574562765700951
2.88,1.2804496874298683,568.3017035519999,0.006022308556139642,0.0068193314968878205,0.009097883402737091,-2.041059633330681
2.89,1.2804496874298683,570.274973356,0.0047351888591496034,0.005382618880212284,0.007169002688061448,-2.1445412567725586
2.9,1.2804496874298683,572.24824316,0.003454820476027666,0.003942579622048789,0.00524211012835236,-2.2804938594608926
2.91,1.2804496874298683,574.221512964,0.0021810439136818044,0.0024988391050280306,0.0033167980683523274,-2.479280968175977
2.92,1.2804496874298683,576.194782768,0.0009137154320362877,0.00105104942709415,0.0013926883315861453,-2.85614606305685
2.93,1.2804496874298683,578.168052572,-0.00034729443487909253,-0.00040111317873538915,0.000530570642472043,-3.27525678406557
2.94,1.2804496874298683,580.141322376,-0.001602102183509358,-0.0018579506168652296,0.0024533063202778695,-2.610248222319194
2.95,1.2804496874298683,582.11459218,-0.0028508124953827915,-0.0033197449372311325,0.004375824303157337,-2.3589401239920633
2.96,1.2804496874298683,584.087861984,-0.0040935192621682805,-0.00478676011537206,0.006298410303549578,-2.200769051104481
2.97,1.2804496874298683,586.061131788,-0.00533030649841865,-0.0062592436350832475,0.008221331902460466,-2.08505781858752
2.98,1.2804496874298683,588.034401592,-0.006561249156585656,-0.007737427899546179,0.01014484011680182,-1.9937547930799084
2.99,1.2804496874298683,590.007671396,-0.00778641385671781,-0.009221531492932596,0.012069170800980272,-1.9183225665993442
3.0,1.2804496874298683,591.9809412,-0.009005859541429262,-0.010711760311235483,0.013994545903505129,-1.8540411890021427
3.01,1.2804496874298683,593.954211004,-0.010219638065218107,-0.012208308578380463,0.01592117459639875,-1.798024895020667
3.02,1.2804496874298683,595.927480808,-0.011427794725935133,-0.01371135976140199,0.017849254292678574,-1.7483799231562567
3.03,1.2804496874298683,597.9007506119999,-0.01263036874513834,-0.015221087396566205,0.01977897156507572,-1.7037962938927491
3.04,1.2804496874298683,599.874020416,-0.013827393703159883,-0.016737655836712488,0.02171050297737068,-1.6633301149257627
3.05,1.2804496874298683,601.84729022,-0.015018897933946998,-0.018261220928721573,0.023644015838217843,-1.6262787584058642
3.06,1.2804496874298683,603.820560024,-0.01620490488408166,-0.019791930628860588,0.025579668886046267,-1.592105081510754
3.07,1.2804496874298683,605.793829828,-0.017385433439830955,-0.021329925562763218,0.027517612912529535,-1.5603892428159059
3.08,1.2804496874298683,607.767099632,-0.018560498225594857,-0.022875339535959736,0.029457991331177904,-1.5307968699688317
3.09,1.2804496874298683,609.7403694359999,-0.01973010987671339,-0.02442830000013975,0.03140094069680096,-1.5030573413118071
