lib,jump_count_M_eta,max_jump_M_eta,jump_count_M_eta_prime,max_jump_M_eta_prime,jump_count_Gamma_eta,max_jump_Gamma_eta,jump_count_Gamma_eta_prime,max_jump_Gamma_eta_prime
evolutionary,0,0.04207786499657429,7,0.8216376177889702,2,0.3137650712147984,8,2.1463679833066203
metaheuristics,0,0.04207786499657429,6,0.8322876423773402,2,0.3137650712147984,7,2.0752910500932895
nlopt,0,0.04207786499657429,8,0.8699000429547037,2,0.3137650712147984,11,2.0630936923278496
cmaes,0,0.04207786499657429,4,0.8173063679659625,2,0.3137650712147984,5,1.6774863275325496
optim_samin,0,0.04207786499657429,4,0.8173063679659625,2,0.3137650712147984,5,1.6774863275325496
