# script=scripts/analysis/relaxtime/meson_mixed/run_globalmin_window_experiment.jl
# window.xi=-0.3
# window.T_MeV=[220,280]
# merged_from=mixed_window_globalmin_xi-0p3_muB0,mixed_window_globalmin_xi-0p3_muB0_next2
# merged_at_utc=2026-04-17T13:43:22Z
lib,T_MeV,muB_MeV,xi,global_seed_mass,global_seed_gamma,global_obj,M_eta,M_eta_prime,Gamma_eta,Gamma_eta_prime,residual_eta,residual_eta_prime,selected_method_eta,selected_method_eta_prime,status,error_message
nlopt,220.0,0.0,-0.3,2.9537037037037037,2.5,0.015866492770914037,3.186262862437107,3.075941825632282,0.004705518855510104,0.4382677155070561,5.9136098795598e-12,0.015866492772659488,trust_region,trust_region,ok,
nlopt,222.0,0.0,-0.3,2.9537037037037037,2.4135802469135803,0.017347999669708215,3.1709718221866856,2.2776555393973834,0.004000688395821475,2.3149723210754147,1.4262744353621404e-9,0.09464224059778747,trust_region,newton,ok,
nlopt,224.0,0.0,-0.3,2.8722222222222222,1.5123456790123457,0.018924965125201698,3.155060004150907,3.0327372995289044,0.003417100436321785,0.5050039789639629,9.17333223271477e-12,0.018924965137359,trust_region,trust_region,ok,
nlopt,226.0,0.0,-0.3,2.9537037037037037,2.166666666666666,0.020603104730735067,3.1384468084944928,3.01052113224614,0.0029299654696886826,0.540471969762534,1.5716594692349872e-14,0.020603104731621705,trust_region,trust_region,ok,
nlopt,228.0,0.0,-0.3,2.9491769547325104,2.2037037037037033,0.02238249096881546,3.1210398580687757,2.988052150941561,0.0025204168628069146,0.577721737146291,3.5915714846623814e-14,0.022406221931386763,trust_region,trust_region,ok,
nlopt,230.0,0.0,-0.3,2.992935528120713,2.166666666666666,0.024284688041833744,3.1027296137331613,2.1181521079868575,0.002173865549799909,2.354440117834009,7.91033905045424e-16,0.11007250728417135,current,newton,ok,
nlopt,232.0,0.0,-0.3,2.912962962962963,2.388888888888889,0.02634001909183794,3.0833826579587202,2.9413452488914,0.0018789001112750829,0.6562306006766869,3.653674585102351e-14,0.026340019092255758,trust_region,trust_region,ok,
nlopt,234.0,0.0,-0.3,2.8722222222222222,2.598765432098765,0.028486104322471523,3.0628328274540375,2.9169812776388166,0.0016264940708838073,0.6974267244265705,2.0393409183583344e-13,0.02848610432180378,trust_region,trust_region,ok,
nlopt,236.0,0.0,-0.3,2.7907407407407407,1.5864197530864192,0.03080716898282225,3.0408688384219693,2.8926800111663855,0.0014094313461942647,0.7413424767774994,2.0328461136642773e-12,0.030807168981693174,current,trust_region,ok,
nlopt,238.0,0.0,-0.3,2.8722222222222222,2.796296296296296,0.03327585114813362,3.017216130647573,2.7321832609438466,0.0012218832265029347,2.8044361691053488,1.0442133963062261e-10,0.10454457232004204,current,newton,ok,
nlopt,240.0,0.0,-0.3,2.75,1.7962962962962963,0.03588906047434824,2.9915088240632093,2.0587348578686955,0.0010590903940025376,2.462889819391803,3.0899172109855044e-12,0.12606834695154295,current,newton,ok,
nlopt,242.0,0.0,-0.3,2.75,1.611111111111111,0.03872641009514562,2.963243860916947,2.876041225834658,0.0009171188991211236,1.0270464403996087,5.775116496131716e-12,0.04836209048327446,current,trust_region,ok,
nlopt,244.0,0.0,-0.3,2.75,1.2283950617283952,0.04174338318730277,2.9317006981160385,2.315002681064809,0.000792663255835427,1.8520280348445066,8.800807305142655e-13,0.1065216851564942,current,newton,ok,
nlopt,246.0,0.0,-0.3,2.75,1.080246913580247,0.04494041946508044,2.8957872895638386,2.915948223696984,0.0006828723759637182,2.929495301558763,2.402716914318148e-12,0.17703236067001507,current,newton,ok,
nlopt,248.0,0.0,-0.3,3.2253086419753085,2.3148148148148144,0.03803572909889351,2.8537094245672643,3.0377914288090304,0.0005851593048026328,2.470951281180027,1.0057232824323137e-13,0.038035729099062006,current,trust_region,ok,
nlopt,250.0,0.0,-0.3,3.2796296296296292,2.2037037037037033,0.03086432894559065,2.827126767889234,2.971874399051961,0.31340301304831725,2.4167329622869267,3.1363800445660672e-15,0.030992995734952955,current,trust_region,ok,
nlopt,252.0,0.0,-0.3,3.2524691358024693,2.166666666666666,0.024018735079357874,2.8460400013621436,2.862723923317583,0.6271680842631157,2.2503278075523783,2.040034807748725e-15,0.025667845509187104,current,trust_region,ok,
nlopt,254.0,0.0,-0.3,3.198148148148148,2.166666666666666,0.017491751742268732,2.865539889298591,2.8349688739607015,0.8335515137655121,2.2948164026067523,1.2490009027033011e-15,0.018736174097680157,current,trust_region,ok,
nlopt,256.0,0.0,-0.3,3.1166666666666663,2.166666666666666,0.011282417721104977,2.8855974250601175,2.7973372006913872,1.0014022934142806,2.3097474842659698,1.4830636718698997e-12,0.012768828238196191,current,trust_region,ok,
