method,evidence_scope,comparable,repetitions,case_evaluations,coarse_function_evaluations,validation_function_evaluations,targeted_function_evaluations,polynomial_fits,fit_holdout_evaluations,classification_matches,performance_verdict,pnjl_residual_evaluations,pnjl_jacobian_evaluations,pnjl_newton_iterations,pnjl_anchor_solves,pnjl_branch_points,elapsed_ns,mean_time_ns,note
current_secant_detector,synthetic_same_process,true,500,3500,53500,0,0,0,0,,baseline_reference,,,,,,14356600,4101.885714285714,in-process warm synthetic curve classification only
rho_support_fast_path,synthetic_same_process,true,500,2000,34000,0,0,0,0,2000,synthetic_candidate,,,,,,67081600,33540.8,cases resolved without any targeted function evaluation or polynomial fit
rho_support_cascade,synthetic_same_process,true,500,3500,53500,0,12000,1500,0,3500,synthetic_candidate,,,,,,208192000,59483.42857142857,coarse rho support routes at most twelve new fixed-rho samples and one local cubic fit
multi_evidence_criticality,synthetic_same_process,true,500,3500,53500,1002500,0,25500,183000,3500,performance_rejected,,,,,,2599587600,742739.3142857143,includes polynomial fits and optional independent validation
historical_multibranch_palc_cold,historical_noncomparable,false,1,1,,,,,,,historical_noncomparable,,,,,16,125400000000,1.254e11,historical PNJL cold start; includes BifurcationKit compilation and is not comparable
historical_multibranch_palc_warm,historical_noncomparable,false,1,1,,,,,,,historical_noncomparable,,,,,16,1370000000,1.37e9,historical PNJL warm process; different scenario and not comparable
