method,xi,T_MeV,rho,muq_MeV,rho_level,sampling_role
independent_oracle,0.0,5.0,3.2125,389.189121,0,coarse_grid
independent_oracle,0.0,5.0,3.215625,389.310363,1,fine_grid
independent_oracle,0.0,5.0,3.21875,389.431551,0,coarse_grid
independent_oracle,0.0,5.0,3.221875,389.552687,1,fine_grid
independent_oracle,0.0,5.0,3.225,389.67377,0,coarse_grid
independent_oracle,0.0,5.0,3.228125,389.794799,1,fine_grid
independent_oracle,0.0,5.0,3.23125,389.915775,0,coarse_grid
independent_oracle,0.0,5.0,3.234375,390.036698,1,fine_grid
independent_oracle,0.0,5.0,3.2375,390.157567,0,coarse_grid
independent_oracle,0.0,5.0,3.240625,390.278382,1,fine_grid
independent_oracle,0.0,5.0,3.24375,390.399144,0,coarse_grid
independent_oracle,0.0,5.0,3.246875,390.519852,1,fine_grid
independent_oracle,0.0,5.0,3.25,390.640507,0,coarse_grid
independent_oracle,0.0,5.0,3.253125,390.761107,1,fine_grid
independent_oracle,0.0,5.0,3.25625,390.881654,0,coarse_grid
independent_oracle,0.0,5.0,3.259375,391.002146,1,fine_grid
independent_oracle,0.0,5.0,3.2625,391.122584,0,coarse_grid
independent_oracle,0.0,5.0,3.265625,391.242968,1,fine_grid
independent_oracle,0.0,5.0,3.26875,391.363298,0,coarse_grid
independent_oracle,0.0,5.0,3.271875,391.483573,1,fine_grid
independent_oracle,0.0,5.0,3.275,391.603794,0,coarse_grid
independent_oracle,0.0,5.0,3.278125,391.72396,1,fine_grid
independent_oracle,0.0,5.0,3.28125,391.844072,0,coarse_grid
independent_oracle,0.0,5.0,3.284375,391.964129,1,fine_grid
independent_oracle,0.0,5.0,3.2875,392.084132,0,coarse_grid
independent_oracle,0.0,5.0,3.290625,392.204079,1,fine_grid
independent_oracle,0.0,5.0,3.29375,392.323972,0,coarse_grid
independent_oracle,0.0,5.0,3.296875,392.44381,1,fine_grid
independent_oracle,0.0,5.0,3.3,392.563593,0,coarse_grid
independent_oracle,0.0,5.0,3.303125,392.68332,1,fine_grid
independent_oracle,0.0,5.0,3.30625,392.802993,0,coarse_grid
independent_oracle,0.0,5.0,3.309375,392.922611,1,fine_grid
independent_oracle,0.0,5.0,3.3125,393.042173,0,coarse_grid
independent_oracle,0.0,5.0,3.315625,393.16168,1,fine_grid
independent_oracle,0.0,5.0,3.31875,393.281132,0,coarse_grid
independent_oracle,0.0,5.0,3.321875,393.400529,1,fine_grid
independent_oracle,0.0,5.0,3.325,393.51987,0,coarse_grid
independent_oracle,0.0,5.0,3.328125,393.639156,1,fine_grid
independent_oracle,0.0,5.0,3.33125,393.758386,0,coarse_grid
independent_oracle,0.0,5.0,3.334375,393.877561,1,fine_grid
independent_oracle,0.0,5.0,3.3375,393.99668,0,coarse_grid
independent_oracle,0.0,5.0,3.340625,394.115743,1,fine_grid
independent_oracle,0.0,5.0,3.34375,394.234751,0,coarse_grid
independent_oracle,0.0,5.0,3.346875,394.353703,1,fine_grid
independent_oracle,0.0,5.0,3.35,394.4726,0,coarse_grid
independent_oracle,0.0,5.0,3.353125,394.591441,1,fine_grid
independent_oracle,0.0,5.0,3.35625,394.710226,0,coarse_grid
independent_oracle,0.0,5.0,3.359375,394.828955,1,fine_grid
independent_oracle,0.0,5.0,3.3625,394.947628,0,coarse_grid
independent_oracle,0.0,5.0,3.365625,395.066245,1,fine_grid
independent_oracle,0.0,5.0,3.36875,395.184806,0,coarse_grid
independent_oracle,0.0,5.0,3.371875,395.303312,1,fine_grid
independent_oracle,0.0,5.0,3.375,395.421761,0,coarse_grid
independent_oracle,0.0,5.0,3.378125,395.540155,1,fine_grid
independent_oracle,0.0,5.0,3.38125,395.658492,0,coarse_grid
independent_oracle,0.0,5.0,3.384375,395.776773,1,fine_grid
independent_oracle,0.0,5.0,3.3875,395.894998,0,coarse_grid
independent_oracle,0.0,5.0,3.390625,396.013167,1,fine_grid
independent_oracle,0.0,5.0,3.39375,396.13128,0,coarse_grid
independent_oracle,0.0,5.0,3.396875,396.249337,1,fine_grid
independent_oracle,0.0,5.0,3.4,396.367337,0,coarse_grid
independent_oracle,0.0,5.0,3.403125,396.485282,1,fine_grid
independent_oracle,0.0,5.0,3.40625,396.60317,0,coarse_grid
independent_oracle,0.0,5.0,3.409375,396.721002,1,fine_grid
independent_oracle,0.0,5.0,3.4125,396.838777,0,coarse_grid
independent_oracle,0.0,5.0,3.415625,396.956496,1,fine_grid
independent_oracle,0.0,5.0,3.41875,397.074159,0,coarse_grid
independent_oracle,0.0,5.0,3.421875,397.191766,1,fine_grid
independent_oracle,0.0,5.0,3.425,397.309316,0,coarse_grid
independent_oracle,0.0,5.0,3.428125,397.42681,1,fine_grid
independent_oracle,0.0,5.0,3.43125,397.544248,0,coarse_grid
independent_oracle,0.0,5.0,3.434375,397.661629,1,fine_grid
independent_oracle,0.0,5.0,3.4375,397.778954,0,coarse_grid
independent_oracle,0.0,5.0,3.440625,397.896222,1,fine_grid
independent_oracle,0.0,5.0,3.44375,398.013434,0,coarse_grid
independent_oracle,0.0,5.0,3.446875,398.13059,1,fine_grid
independent_oracle,0.0,5.0,3.45,398.247689,0,coarse_grid
independent_oracle,0.0,5.0,3.453125,398.364732,1,fine_grid
independent_oracle,0.0,5.0,3.45625,398.481719,0,coarse_grid
independent_oracle,0.0,5.0,3.459375,398.598649,1,fine_grid
independent_oracle,0.0,5.0,3.4625,398.715522,0,coarse_grid
independent_oracle,0.0,5.0,3.465625,398.832339,1,fine_grid
independent_oracle,0.0,5.0,3.46875,398.9491,0,coarse_grid
independent_oracle,0.0,5.0,3.471875,399.065804,1,fine_grid
independent_oracle,0.0,5.0,3.475,399.182452,0,coarse_grid
independent_oracle,0.0,5.0,3.478125,399.299043,1,fine_grid
independent_oracle,0.0,5.0,3.48125,399.415578,0,coarse_grid
independent_oracle,0.0,5.0,3.484375,399.532057,1,fine_grid
independent_oracle,0.0,5.0,3.4875,399.648479,0,coarse_grid
independent_oracle,0.0,5.0,3.490625,399.764844,1,fine_grid
independent_oracle,0.0,5.0,3.49375,399.881153,0,coarse_grid
independent_oracle,0.0,5.0,3.496875,399.997406,1,fine_grid
independent_oracle,0.0,5.0,3.5,400.113602,0,coarse_grid
independent_oracle,0.0,5.0,3.503125,400.229742,1,fine_grid
independent_oracle,0.0,5.0,3.50625,400.345826,0,coarse_grid
independent_oracle,0.0,5.0,3.509375,400.461853,1,fine_grid
independent_oracle,0.0,5.0,3.5125,400.577823,0,coarse_grid
independent_oracle,0.0,5.0,3.515625,400.693737,1,fine_grid
independent_oracle,0.0,5.0,3.51875,400.809595,0,coarse_grid
independent_oracle,0.0,5.0,3.521875,400.925397,1,fine_grid
independent_oracle,0.0,5.0,3.525,401.041142,0,coarse_grid
independent_oracle,0.0,5.0,3.528125,401.15683,1,fine_grid
independent_oracle,0.0,5.0,3.53125,401.272463,0,coarse_grid
independent_oracle,0.0,5.0,3.534375,401.388038,1,fine_grid
independent_oracle,0.0,5.0,3.5375,401.503558,0,coarse_grid
independent_oracle,0.0,5.0,3.540625,401.619021,1,fine_grid
independent_oracle,0.0,5.0,3.54375,401.734428,0,coarse_grid
independent_oracle,0.0,5.0,3.546875,401.849779,1,fine_grid
independent_oracle,0.0,5.0,3.55,401.965073,0,coarse_grid
independent_oracle,0.0,5.0,3.553125,402.080311,1,fine_grid
independent_oracle,0.0,5.0,3.55625,402.195493,0,coarse_grid
independent_oracle,0.0,5.0,3.559375,402.310619,1,fine_grid
independent_oracle,0.0,5.0,3.5625,402.425688,0,coarse_grid
independent_oracle,0.0,5.0,3.565625,402.540701,1,fine_grid
independent_oracle,0.0,5.0,3.56875,402.655658,0,coarse_grid
independent_oracle,0.0,5.0,3.571875,402.770559,1,fine_grid
independent_oracle,0.0,5.0,3.575,402.885403,0,coarse_grid
independent_oracle,0.0,5.0,3.578125,403.000192,1,fine_grid
independent_oracle,0.0,5.0,3.58125,403.114924,0,coarse_grid
independent_oracle,0.0,5.0,3.584375,403.2296,1,fine_grid
independent_oracle,0.0,5.0,3.5875,403.34422,0,coarse_grid
