T_MeV,mu_spinodal_hadron_MeV,mu_spinodal_quark_MeV,rho_spinodal_hadron,rho_spinodal_quark
120.0,309.9896605993435,307.1190708732493,1.294502017993792,2.2018825494731455
121.0,308.39943248504625,305.86800605330734,1.3265701754386214,2.2024439814182006
122.0,306.78238964620084,304.5825022032152,1.3603110704483692,2.2018546156085925
123.0,305.1388048485292,303.2615068510543,1.3963900152052622,2.1998794899704888
124.0,303.469395457542,301.9038486780457,1.4347051824431472,2.1962341877496834
125.0,301.7747679711958,300.5081972416296,1.4761486645487083,2.190582314079162
126.0,300.05610770785574,299.07311521687245,1.5210120378897347,2.181992469240576
127.0,298.3149728961584,297.5963845985893,1.570407407407432,2.169785205605341
128.0,296.5535920739384,296.0758153410925,1.6259259259259795,2.1524285113540134
129.0,294.7752487815089,294.5077734926627,1.6902646806686594,2.127070875835409
130.0,292.9857077389636,292.8866994582577,1.7713334309133166,2.086901156387597
131.0,291.199131049974,291.19847631055353,1.922864768683845,1.9762096774200593
