T_MeV,muB_MeV,p_nodes,angle_nodes,m_u,m_d,m_s,mu_u,mu_d,mu_s,phi_u,phi_d,phi_s,Phi,PhiBar,K12,K45,residual,omega,elapsed_s,production_authorized
165.9230564285382,23.52517985611511,48,8,1.7797097466114726,1.7797015571530366,2.7316821926490342,0.036674905084656664,0.04127218575555521,0.005137932222192365,-1.7650845459499793,-1.7650705037315995,-2.193252751126431,0.1470866674947751,0.14902450738374673,0.24812410620505662,0.23813595364401025,9.681497780544136e-16,-21.648941441596225,3.9213633,false
165.8213120441032,35.84543710605646,48,8,1.7803847252172615,1.7803659034305266,2.732133534684059,0.055893544446782316,0.06288073913211241,0.007909983154194791,-1.7657165260374426,-1.7656842512718631,-2.193565172215031,0.14560349348022703,0.14856866559841053,0.24813139401186135,0.23815027045444181,8.523619890243977e-16,-21.6486446385695,39.2328593,false
165.26741420719728,72.52484031227822,48,8,1.7838906968362591,1.7838177012587004,2.7344777763557397,0.11321584237586103,0.1271602593347321,0.016890293071662076,-1.7689984949822506,-1.7688732929281414,-2.1951862259022987,0.13898380827083856,0.14511375876348873,0.24816920812404508,0.2382246608215816,1.2341286595286716e-15,-21.647078572286592,1.988833,false
164.23848793077158,112.30359749291662,48,8,1.789738962714047,1.7895799541977084,2.7383867969178795,0.1756707966121528,0.1967267970543018,0.028638228215694363,-1.7744707246758264,-1.774197875445464,-2.197882470768848,0.12873116054231326,0.13855503239852415,0.24823210308345287,0.23834886667745367,2.0158710913104967e-15,-21.64437345241256,3.0631017,false
162.57468967201314,156.25373312626925,48,8,1.7977504404139641,1.7974841509826123,2.743734859079025,0.24518278410046232,0.27333452950780546,0.045176333271383345,-1.7819626457287616,-1.781505439996412,-2.201554203506905,0.11499386981976578,0.12926160990906102,0.24831775312376686,0.23851932930178862,7.548020858054128e-16,-21.640478237087798,2.8975123,false
160.00841768054002,205.95830446557915,48,8,1.8076144436589228,1.8072371607969666,2.7502971302927937,0.3246048172592613,0.3595682044210597,0.0695744850587001,-1.7911812440846124,-1.790533004006604,-2.206023459898916,0.09812325102187337,0.11776705929370342,0.24842200689642896,0.23872991413368444,9.942750372605692e-16,-21.635397004663552,4.7681617,false
151.59341394309754,315.9801908443049,48,8,1.8284351477135816,1.827930484488244,2.7639672868482865,0.5039597192767469,0.5486714000215673,0.14784784727289307,-1.8106329788395152,-1.809764609106993,-2.2151257782958678,0.062084942800293905,0.09318589610258847,0.24863433551435069,0.23917852732796138,3.2063529680646626e-14,-21.6239542650007,2.7581439,false
139.61211954370506,421.6498501015441,48,8,1.8440844503508838,1.8436222390737,2.773901910412108,0.6810437752761808,0.7278820610941634,0.24979094194652174,-1.825276549655872,-1.8244804226386593,-2.2214157659677314,0.03422440849644951,0.071647709335215,0.2487810612528789,0.23952180122945654,9.194316720040934e-16,-21.61544480516067,5.9490424,false
118.52360804114599,553.0655391120507,48,8,1.8559377929499554,1.855654063000598,2.7809567549934244,0.9077386400163588,0.9475242907158479,0.38409123491489167,-1.8364261943356928,-1.835937170497938,-2.225469350446913,0.012119596086202609,0.045485913204253825,0.24887561869995545,0.23978905132253758,5.940215770167558e-16,-21.609966343077534,0.5423453,false
79.95694382094246,719.0764156129742,48,8,1.8617607430369953,1.8616910587216589,2.7839775115743812,1.2001004685371002,1.2219925856117824,0.4510254062092232,-1.8419671484233398,-1.8418470178646533,-2.2268094954461026,0.0016733345453472006,0.015806599998482287,0.248906880091074,0.23992690957675153,1.0824392166565395e-14,-21.608212127492788,0.3022681,false
