sqrt_s_NN_GeV,background_p,channel,q_inv_fm,route,bound,unitary,landau,shell_inv_fm2,gap_count,contour_count,contour_passed,static_passed,root_nodes_stable,levinson_residual,threshold_phase_over_pi,threshold_offset,threshold_phase_at_1e7_over_pi,threshold_limit_change,threshold_limit_passed,upper_phase,branch_passed,reference_boundary_passed,failed_gates,passed,status,production_authorized
200.0,48,pi_plus,0.019251120011914757,q0_lambda_reference,0.7889404192389976,-0.00201162988176739,0.0,1.4774666813976805e-5,1,1,true,true,true,-4.963786048861607e-9,0.999999995036214,1.0e-10,0.9999950363985426,4.4674114594096194e-8,true,0.0,true,true,,true,conditional_window,false
200.0,48,pi_plus,0.1010857761147621,q0_lambda_reference,0.7770476477555399,-0.002009033101153038,0.0,0.0004012118018341125,1,1,true,true,true,-4.9657259415525346e-9,0.9999999950342741,1.0e-10,0.999995034469955,4.4691484663396563e-8,true,0.0,true,true,,true,conditional_window,false
200.0,48,pi_plus,0.2469017919890688,q0_lambda_reference,0.7213091066298561,-0.001995721328060896,0.0,0.002221451750502695,1,1,true,true,true,-4.975645451210653e-9,0.9999999950243545,1.0e-10,0.9999950245445309,4.47808042511951e-8,true,0.0,true,true,,true,conditional_window,false
200.0,48,pi_plus,0.4543378919823957,q0_lambda_reference,0.5992976944665097,-0.001958200002052626,0.0,0.006246682122306211,1,1,true,true,true,-5.0039931087653144e-9,0.9999999949960069,1.0e-10,0.9999949962004275,4.503593364651157e-8,true,0.0,true,true,,true,conditional_window,false
200.0,48,pi_plus,0.7199920561043887,q0_lambda_reference,0.4396722210122723,-0.0018806113726398642,0.0,0.011497226902516193,1,1,true,true,true,-5.064237584839759e-9,0.9999999949357624,1.0e-10,0.9999949359473094,4.5578243240064597e-8,true,0.0,true,true,,true,conditional_window,false
200.0,48,pi_plus,1.0395032336857826,q0_lambda_reference,0.29281648470426785,-0.0017500255616387144,0.0,0.015933607360049024,1,1,true,true,true,-5.1710595805332105e-9,0.9999999948289404,1.0e-10,0.9999948291404989,4.65395523221703e-8,true,0.0,true,true,,true,conditional_window,false
200.0,48,pi_plus,1.4076253922520978,q0_lambda_reference,0.1829741889228078,-0.0015630747685000431,0.0,0.01820993244043376,1,1,true,true,true,-5.337773334446183e-9,0.9999999946622267,1.0e-10,0.9999946624467433,4.803990845551578e-8,true,0.0,true,true,,true,conditional_window,false
200.0,48,pi_plus,1.8183141144446417,q0_lambda_reference,0.10950819295463499,-0.0013301369228179926,0.0,0.01811954348609655,1,1,true,true,true,-5.573901673550097e-9,0.9999999944260983,1.0e-10,0.9999944263433402,5.016501613876962e-8,true,0.0,true,true,,true,conditional_window,false
200.0,48,pi_plus,2.2648259694958197,q0_lambda_reference,0.06345504953129355,-0.0010741449128192078,0.0,0.01621032043359428,1,1,true,true,true,-5.883346032575787e-9,0.999999994116654,1.0e-10,0.9999941169080984,5.295016666531935e-8,true,0.0,true,true,,true,conditional_window,false
200.0,48,pi_plus,2.7398292812153464,q0_lambda_reference,0.03584649528631996,-0.0008231179668832169,0.0,0.01331911250778443,1,1,true,true,true,-6.263946472628845e-9,0.9999999937360535,1.0e-10,0.9999937363576159,5.637538841349316e-8,true,0.0,true,true,,true,conditional_window,false
