sqrt_s_NN_GeV,T_MeV,muB_MeV,background_p,channel,route,density_inv_fm3,passed,failed_shells,provenance,production_authorized
200.0,165.9230564285382,23.52517985611511,48,pi_plus,direct_finite_q,0.004831448231398533,true,0,retained_hash_bound,false
200.0,165.9230564285382,23.52517985611511,48,pi_minus,direct_finite_q,0.00488548375657476,true,0,retained_hash_bound,false
200.0,165.9230564285382,23.52517985611511,48,K_plus,direct_finite_q,0.0017435881200617192,true,0,retained_hash_bound,false
200.0,165.9230564285382,23.52517985611511,48,K_minus,direct_finite_q,0.0016197345965892013,true,0,retained_hash_bound,false
7.7,139.61211954370506,421.6498501015441,48,pi_plus,direct_finite_q,0.002163770903052952,true,0,retained_hash_bound,false
7.7,139.61211954370506,421.6498501015441,48,pi_minus,direct_finite_q,0.002475900725813559,true,0,retained_hash_bound,false
7.7,139.61211954370506,421.6498501015441,48,K_plus,direct_finite_q,0.0011768298836553439,true,0,retained_hash_bound,false
7.7,139.61211954370506,421.6498501015441,48,K_minus,direct_finite_q,0.00034909749644539893,true,0,retained_hash_bound,false
3.0,79.95694382094246,719.0764156129742,48,pi_plus,direct_finite_q,0.00011787592144095332,true,0,retained_hash_bound,false
3.0,79.95694382094246,719.0764156129742,48,pi_minus,direct_finite_q,0.00013143287366363732,true,0,retained_hash_bound,false
3.0,79.95694382094246,719.0764156129742,48,K_plus,direct_finite_q,5.963159866222584e-5,true,0,retained_hash_bound,false
3.0,79.95694382094246,719.0764156129742,48,K_minus,direct_finite_q,1.4796943557781418e-6,true,0,retained_hash_bound,false
130.0,165.8213120441032,35.84543710605646,48,pi_plus,direct_finite_q,0.004804583299988351,true,0,new_solve,false
130.0,165.8213120441032,35.84543710605646,48,pi_minus,direct_finite_q,0.00488654675868759,true,0,new_solve,false
130.0,165.8213120441032,35.84543710605646,48,K_plus,direct_finite_q,0.00177159030677404,true,0,new_solve,false
130.0,165.8213120441032,35.84543710605646,48,K_minus,direct_finite_q,0.001583566574925831,true,0,new_solve,false
62.4,165.26741420719728,72.52484031227822,48,pi_plus,direct_finite_q,0.004695171789124926,true,0,new_solve,false
62.4,165.26741420719728,72.52484031227822,48,pi_minus,direct_finite_q,0.004856992299040743,true,0,new_solve,false
62.4,165.26741420719728,72.52484031227822,48,K_plus,direct_finite_q,0.001841857921408672,true,0,new_solve,false
62.4,165.26741420719728,72.52484031227822,48,K_minus,direct_finite_q,0.0014689849453314767,true,0,new_solve,false
39.0,164.23848793077158,112.30359749291662,48,pi_plus,direct_finite_q,0.004530346073291332,true,0,new_solve,false
39.0,164.23848793077158,112.30359749291662,48,pi_minus,direct_finite_q,0.0047698485288726515,true,0,new_solve,false
39.0,164.23848793077158,112.30359749291662,48,K_plus,direct_finite_q,0.0018926553460172366,true,0,new_solve,false
39.0,164.23848793077158,112.30359749291662,48,K_minus,direct_finite_q,0.0013364284221852247,true,0,new_solve,false
27.0,162.57468967201314,156.25373312626925,48,pi_plus,direct_finite_q,0.004298729159306019,true,0,new_solve,false
27.0,162.57468967201314,156.25373312626925,48,pi_minus,direct_finite_q,0.004608710187796391,true,0,new_solve,false
27.0,162.57468967201314,156.25373312626925,48,K_plus,direct_finite_q,0.0019132953990553582,true,0,new_solve,false
27.0,162.57468967201314,156.25373312626925,48,K_minus,direct_finite_q,0.0011848895491563388,true,0,new_solve,false
19.6,160.00841768054002,205.95830446557915,48,pi_plus,direct_finite_q,0.003982614319960814,true,0,new_solve,false
19.6,160.00841768054002,205.95830446557915,48,pi_minus,direct_finite_q,0.004348591856597862,true,0,new_solve,false
19.6,160.00841768054002,205.95830446557915,48,K_plus,direct_finite_q,0.0018866555366859519,true,0,new_solve,false
19.6,160.00841768054002,205.95830446557915,48,K_minus,direct_finite_q,0.0010125862126847956,true,0,new_solve,false
11.5,151.59341394309754,315.9801908443049,48,pi_plus,direct_finite_q,0.0031213664563166494,true,0,new_solve,false
11.5,151.59341394309754,315.9801908443049,48,pi_minus,direct_finite_q,0.0035146519621441206,true,0,new_solve,false
11.5,151.59341394309754,315.9801908443049,48,K_plus,direct_finite_q,0.0016307979305719997,true,0,new_solve,false
11.5,151.59341394309754,315.9801908443049,48,K_minus,direct_finite_q,0.0006489860337596997,true,0,new_solve,false
5.0,118.52360804114599,553.0655391120507,48,pi_plus,direct_finite_q,0.0010038627493196518,true,0,new_solve,false
5.0,118.52360804114599,553.0655391120507,48,pi_minus,direct_finite_q,0.001148145086422384,true,0,new_solve,false
5.0,118.52360804114599,553.0655391120507,48,K_plus,direct_finite_q,0.0005385217320399181,true,0,new_solve,false
5.0,118.52360804114599,553.0655391120507,48,K_minus,direct_finite_q,9.437218889252355e-5,true,0,new_solve,false
