run_id,label,status,conclusion,artifact_name,artifact_size,head_sha,url,mode,scan_rows,diagnostic_rows,failed_rows,scan_sha256,diagnostics_sha256,failed_points_sha256
27767269161,modeA_muB0_alpha1.0 / fixed-muB-phase-scaled,completed,success,relaxtime-phase-guided-transport-results-p128_xi001_localdispatch_20260618_223856-match_thermo-validated_anchored-modeA_muB0_alpha1.0,100282,700a0845abd09013eb39ff8f8d2993d5574476d3,https://github.com/w5851/Julia_RelaxTime/actions/runs/27767269161,mode_a_fixed_muB_phase_scaled,101,4242,0,f5659fd891349e40b6f6ff56a5d492c80f21aff16fb90e68329308cad2eb7c42,6efeac57f9e267c5399b23877d3d1501da65ad98d8757b369772a9f94ec8baff,25b7d84f4fcef45cc8666411fd14cb293005de9e69f95eec86586ac8aae96f2e
27767279847,modeA_muB0_alpha1.1 / fixed-muB-phase-scaled,completed,success,relaxtime-phase-guided-transport-results-p128_xi001_localdispatch_20260618_223856-match_thermo-validated_anchored-modeA_muB0_alpha1.1,103561,700a0845abd09013eb39ff8f8d2993d5574476d3,https://github.com/w5851/Julia_RelaxTime/actions/runs/27767279847,mode_a_fixed_muB_phase_scaled,101,4242,0,6c313dce56a7958509dce0c4b3412764c9b913146d128693aaff9f27882cc712,ed6c16d4afd59c1c57a41ae533e59ef4a888b46844d516fe4b0bae80645c919a,25b7d84f4fcef45cc8666411fd14cb293005de9e69f95eec86586ac8aae96f2e
27767290118,modeA_muB0_alpha1.2 / fixed-muB-phase-scaled,completed,success,relaxtime-phase-guided-transport-results-p128_xi001_localdispatch_20260618_223856-match_thermo-validated_anchored-modeA_muB0_alpha1.2,99749,700a0845abd09013eb39ff8f8d2993d5574476d3,https://github.com/w5851/Julia_RelaxTime/actions/runs/27767290118,mode_a_fixed_muB_phase_scaled,101,4242,0,c572935a4d09743c60a1ff72efc38fe6241b076cc48d63ea470f13a964ac790e,037048416e13fea08db9018137994316c6dfeef83d073fb99b92f93f985f5465,25b7d84f4fcef45cc8666411fd14cb293005de9e69f95eec86586ac8aae96f2e
27767809078,modeB_T120_muB0 / fixed-T-sparse-muB,completed,success,relaxtime-phase-guided-transport-results-p128_xi001_localdispatch_20260618_223856-match_thermo-validated_anchored-modeB_T120_muB0,110092,700a0845abd09013eb39ff8f8d2993d5574476d3,https://github.com/w5851/Julia_RelaxTime/actions/runs/27767809078,mode_b_fixed_T_sparse_muB,101,4242,0,9109bcc5e7a570bc8991fe6bb1fe4dfbb8f83be7a1911ff56d815e8b0f3d4d4a,b74cdfb1cd9aafc09e4b9c76ddb7543402aa6096e50dfa88a986a6a2e0ffd4c2,25b7d84f4fcef45cc8666411fd14cb293005de9e69f95eec86586ac8aae96f2e
27767817428,modeB_T160_muB0 / fixed-T-sparse-muB,completed,success,relaxtime-phase-guided-transport-results-p128_xi001_localdispatch_20260618_223856-match_thermo-validated_anchored-modeB_T160_muB0,106202,700a0845abd09013eb39ff8f8d2993d5574476d3,https://github.com/w5851/Julia_RelaxTime/actions/runs/27767817428,mode_b_fixed_T_sparse_muB,101,4242,0,46026d87c82dab5cabe1098b9d7801e5623cac8ba56518d779c4182071b57e2e,0b3f1a9dc05b0024b57e752b2b6a41603e08efb1db161a9d112447c65baf132c,25b7d84f4fcef45cc8666411fd14cb293005de9e69f95eec86586ac8aae96f2e
27767826134,modeB_T200_muB0 / fixed-T-sparse-muB,completed,success,relaxtime-phase-guided-transport-results-p128_xi001_localdispatch_20260618_223856-match_thermo-validated_anchored-modeB_T200_muB0,100272,700a0845abd09013eb39ff8f8d2993d5574476d3,https://github.com/w5851/Julia_RelaxTime/actions/runs/27767826134,mode_b_fixed_T_sparse_muB,101,4242,0,5409368ba25847c5465ad1525f464c0ddd3646d5008f176703a29f5fb9e04621,e1a655fbb4d1d17a115318f1fe732894f380b72ee5014af236255d56e552a111,25b7d84f4fcef45cc8666411fd14cb293005de9e69f95eec86586ac8aae96f2e
27801045917,modeA_muB450_alpha1.0_xi_neg / fixed-muB-phase-scaled,completed,success,relaxtime-phase-guided-transport-results-p128_xi001_localdispatch_20260618_223856-match_thermo-validated_anchored-modeA_muB450_alpha1.0_xi_neg,68340,700a0845abd09013eb39ff8f8d2993d5574476d3,https://github.com/w5851/Julia_RelaxTime/actions/runs/27801045917,mode_a_fixed_muB_phase_scaled,51,2142,0,d45fab48a42e61d0c3abd0706176e365fb3d6489e21b0ded4c608b66a8b44b9a,4ef9f154d7dcd0cbdee37c755cb5745933cc22c0fd5c77ea60f123b179f06f86,25b7d84f4fcef45cc8666411fd14cb293005de9e69f95eec86586ac8aae96f2e
27801047811,modeA_muB450_alpha1.0_xi_pos / fixed-muB-phase-scaled,completed,success,relaxtime-phase-guided-transport-results-p128_xi001_localdispatch_20260618_223856-match_thermo-validated_anchored-modeA_muB450_alpha1.0_xi_pos,70224,700a0845abd09013eb39ff8f8d2993d5574476d3,https://github.com/w5851/Julia_RelaxTime/actions/runs/27801047811,mode_a_fixed_muB_phase_scaled,51,2142,0,665136c3ad9cf8414dac2b523da3d599975b9fd5c804cacd1c5472575bec50e0,389b689f59271137f2d42aabdd316f7878fa43a94cc8296122d3df600bf6c688,25b7d84f4fcef45cc8666411fd14cb293005de9e69f95eec86586ac8aae96f2e
27801049250,modeA_muB450_alpha1.1_xi_neg / fixed-muB-phase-scaled,completed,success,relaxtime-phase-guided-transport-results-p128_xi001_localdispatch_20260618_223856-match_thermo-validated_anchored-modeA_muB450_alpha1.1_xi_neg,67349,700a0845abd09013eb39ff8f8d2993d5574476d3,https://github.com/w5851/Julia_RelaxTime/actions/runs/27801049250,mode_a_fixed_muB_phase_scaled,51,2142,0,9549bb34d0d6edc13eeaaa9984a86996c2a60b56c4cfe446c0d6c731403bcb96,19a085ae188b7717c15449dde8005bd8e53e2323c7dd26f1fb2ec96c1ca075d9,25b7d84f4fcef45cc8666411fd14cb293005de9e69f95eec86586ac8aae96f2e
27801050713,modeA_muB450_alpha1.1_xi_pos / fixed-muB-phase-scaled,completed,success,relaxtime-phase-guided-transport-results-p128_xi001_localdispatch_20260618_223856-match_thermo-validated_anchored-modeA_muB450_alpha1.1_xi_pos,69151,700a0845abd09013eb39ff8f8d2993d5574476d3,https://github.com/w5851/Julia_RelaxTime/actions/runs/27801050713,mode_a_fixed_muB_phase_scaled,51,2142,0,cc0ead15902ade8e4105d0e978daac95fcaa5e7ac684ab83890f6802e4a775b5,397864cbfae3562aae4994946253837e1f0e7c6660a7cf113676a8b06164b907,25b7d84f4fcef45cc8666411fd14cb293005de9e69f95eec86586ac8aae96f2e
