T_MeV,muB_MeV,muQ_MeV,muS_MeV,V_fm3,chi1_B,chi2_B,chi3_B,chi4_B,chi2_Q,chi2_S,chi11_BQ,chi11_BS,chi11_QS,C200,C020,C002,C110,C101,C011,Ssigma,kappa_sigma2
1.5000000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.4000000000000000e+01,-8.3248092420971363e-19,4.3940626243377922e-03,-1.8959783221905242e-18,4.5080452723293540e-03,1.7382619985097797e-02,1.0789531678120124e-02,1.1855553429116624e-03,-2.0229519385143932e-03,4.3832898698028663e-03,1.2352662704250834e-01,4.8866313466445616e-01,3.0331712802280225e-01,3.3328531066207263e-02,-5.6869564910091999e-02,1.2322378155635516e-01,-4.3148641343641703e-16,1.0259401510029091e+00
1.5000000000000000e+02,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,6.4000000000000000e+01,2.9316018241014606e-04,4.4040845980627919e-03,3.0078209741420727e-04,4.5191061251834350e-03,1.7393116609519886e-02,1.0796157832398566e-02,1.1882619702904488e-03,-2.0275606574819004e-03,4.3842985874583337e-03,1.2380836645234404e-01,4.8895821753446600e-01,3.0350340358559141e-01,3.3404620230005372e-02,-5.6999125992332783e-02,1.2325213879662933e-01,6.8296167050585527e-02,1.0261170112788562e+00
1.5000000000000000e+02,2.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,6.4000000000000000e+01,5.8765772075243799e-04,4.4341997040039261e-03,6.0304050066080036e-04,4.5523573521363721e-03,1.7424655840775214e-02,1.0816067692049715e-02,1.1963951838200738e-03,-2.0414093363638254e-03,4.3873291778429458e-03,1.2465496737226099e-01,4.8984485370458009e-01,3.0406311290652233e-01,3.3633262495767910e-02,-5.7388442380725588e-02,1.2333733526289840e-01,1.3599759616516055e-01,1.0266468936944255e+00
