T_MeV,rho,xi,mu_u_MeV,mu_d_MeV,mu_s_MeV,mu_avg_MeV,pressure_fm4,entropy_fm3,energy_fm4,phi_u,phi_d,phi_s,Phi1,Phi2,M_u_MeV,M_d_MeV,M_s_MeV,iterations,residual_norm,converged,message
50.000000,4.000000,0.400000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,false,"seed[density-based] failed (iterations=4, residual=NaN, converged=false) | seed[hadron] failed (iterations=1, residual=NaN, converged=false)"
50.000000,3.950000,0.400000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1,NaN,false,"seed[density-based] failed (iterations=4, residual=NaN, converged=false) | seed[hadron] failed (iterations=1, residual=NaN, converged=false)"
50.000000,3.900000,0.400000,435.902435,435.902435,435.902435,435.902435,22.102024,0.469590,-17.847721,-0.097903,-0.097903,-2.049542,0.073858,0.094929,24.414937,24.414937,459.506436,12,0.000000,true,
50.000000,3.850000,0.400000,434.164893,434.164893,434.164893,434.164893,22.085647,0.458259,-17.903504,-0.100711,-0.100711,-2.051267,0.072642,0.093625,24.960647,24.960647,459.784927,3,0.000000,true,
50.000000,3.800000,0.400000,432.373667,432.373667,432.373667,432.373667,22.068981,0.446871,-17.959087,-0.103662,-0.103662,-2.052902,0.071426,0.092284,25.534003,25.534003,460.050286,3,0.000000,true,
50.000000,3.750000,0.400000,430.525114,430.525114,430.525114,430.525114,22.052007,0.435481,-18.014449,-0.106768,-0.106768,-2.054451,0.070215,0.090909,26.137317,26.137317,460.303042,3,0.000000,true,
50.000000,3.700000,0.400000,428.615858,428.615858,428.615858,428.615858,22.034707,0.424157,-18.069565,-0.110043,-0.110043,-2.055914,0.069016,0.089502,26.773199,26.773199,460.543666,3,0.000000,true,
50.000000,3.650000,0.400000,426.643048,426.643048,426.643048,426.643048,22.017072,0.412978,-18.124409,-0.113501,-0.113501,-2.057295,0.067836,0.088069,27.444610,27.444610,460.772586,3,0.000000,true,
50.000000,3.600000,0.400000,424.604701,424.604701,424.604701,424.604701,21.999099,0.402035,-18.178949,-0.117160,-0.117160,-2.058595,0.066685,0.086618,28.154908,28.154908,460.990194,3,0.000000,true,
50.000000,3.550000,0.400000,422.500103,422.500103,422.500103,422.500103,21.980798,0.391431,-18.233152,-0.121040,-0.121040,-2.059815,0.065571,0.085158,28.907911,28.907911,461.196878,3,0.000000,true,
50.000000,3.500000,0.400000,420.330255,420.330255,420.330255,420.330255,21.962193,0.381273,-18.286981,-0.125164,-0.125164,-2.060957,0.064504,0.083699,29.707945,29.707945,461.393046,3,0.000000,true,
50.000000,3.450000,0.400000,418.098296,418.098296,418.098296,418.098296,21.943327,0.371672,-18.340402,-0.129555,-0.129555,-2.062021,0.063494,0.082255,30.559902,30.559902,461.579166,3,0.000000,true,
50.000000,3.400000,0.400000,415.809819,415.809819,415.809819,415.809819,21.924261,0.362732,-18.393380,-0.134244,-0.134244,-2.063011,0.062549,0.080840,31.469290,31.469290,461.755816,3,0.000000,true,
50.000000,3.350000,0.400000,413.472981,413.472981,413.472981,413.472981,21.905077,0.354543,-18.445886,-0.139262,-0.139262,-2.063929,0.061676,0.079469,32.442268,32.442268,461.923726,3,0.000000,true,
50.000000,3.300000,0.400000,411.098317,411.098317,411.098317,411.098317,21.885871,0.347172,-18.497899,-0.144643,-0.144643,-2.064778,0.060879,0.078156,33.485692,33.485692,462.083827,3,0.000000,true,
50.000000,3.250000,0.400000,408.698241,408.698241,408.698241,408.698241,21.866751,0.340657,-18.549404,-0.150428,-0.150428,-2.065563,0.060159,0.076914,34.607151,34.607151,462.237277,3,0.000000,true,
50.000000,3.200000,0.400000,406.286295,406.286295,406.286295,406.286295,21.847829,0.335000,-18.600399,-0.156660,-0.156660,-2.066289,0.059514,0.075753,35.815021,35.815021,462.385482,3,0.000000,true,
50.000000,3.150000,0.400000,403.876291,403.876291,403.876291,403.876291,21.829216,0.330170,-18.650891,-0.163385,-0.163385,-2.066964,0.058940,0.074680,37.118539,37.118539,462.530090,3,0.000000,true,
50.000000,3.100000,0.400000,401.481512,401.481512,401.481512,401.481512,21.811012,0.326107,-18.700896,-0.170658,-0.170658,-2.067596,0.058428,0.073698,38.527901,38.527901,462.672983,3,0.000000,true,
50.000000,3.050000,0.400000,399.114117,399.114117,399.114117,399.114117,21.793303,0.322730,-18.750438,-0.178535,-0.178535,-2.068192,0.057968,0.072805,40.054392,40.054392,462.816262,3,0.000000,true,
50.000000,3.000000,0.400000,396.784828,396.784828,396.784828,396.784828,21.776163,0.319943,-18.799544,-0.187082,-0.187082,-2.068761,0.057552,0.072000,41.710519,41.710519,462.962242,3,0.000000,true,
50.000000,2.950000,0.400000,394.502891,394.502891,394.502891,394.502891,21.759649,0.317642,-18.848247,-0.196370,-0.196370,-2.069311,0.057167,0.071276,43.510162,43.510162,463.113458,3,0.000000,true,
50.000000,2.900000,0.400000,392.276239,392.276239,392.276239,392.276239,21.743806,0.315726,-18.896578,-0.206477,-0.206477,-2.069854,0.056805,0.070625,45.468702,45.468702,463.272693,3,0.000000,true,
50.000000,2.850000,0.400000,390.111812,390.111812,390.111812,390.111812,21.728668,0.314094,-18.944570,-0.217492,-0.217492,-2.070396,0.056454,0.070040,47.603114,47.603114,463.443023,3,0.000000,true,
50.000000,2.800000,0.400000,388.015925,388.015925,388.015925,388.015925,21.714265,0.312656,-18.992254,-0.229511,-0.229511,-2.070949,0.056108,0.069513,49.931989,49.931989,463.627871,3,0.000000,true,
50.000000,2.750000,0.400000,385.994658,385.994658,385.994658,385.994658,21.700620,0.311326,-19.039660,-0.242635,-0.242635,-2.071522,0.055758,0.069034,52.475450,52.475450,463.831080,3,0.000000,true,
50.000000,2.700000,0.400000,384.054206,384.054206,384.054206,384.054206,21.687757,0.310030,-19.086816,-0.256977,-0.256977,-2.072126,0.055398,0.068597,55.254905,55.254905,464.056979,3,0.000000,true,
50.000000,2.650000,0.400000,382.201169,382.201169,382.201169,382.201169,21.675698,0.308702,-19.133750,-0.272649,-0.272649,-2.072774,0.055023,0.068192,58.292583,58.292583,464.310449,3,0.000000,true,
50.000000,2.600000,0.400000,380.442747,380.442747,380.442747,380.442747,21.664469,0.307281,-19.180488,-0.289767,-0.289767,-2.073477,0.054629,0.067812,61.610776,61.610776,464.596959,3,0.000000,true,
50.000000,2.550000,0.400000,378.786808,378.786808,378.786808,378.786808,21.654096,0.305718,-19.227053,-0.308438,-0.308438,-2.074248,0.054211,0.067452,65.230739,65.230739,464.922563,3,0.000000,true,
50.000000,2.500000,0.400000,377.241788,377.241788,377.241788,377.241788,21.644605,0.303966,-19.273472,-0.328760,-0.328760,-2.075103,0.053767,0.067105,69.171227,69.171227,465.293834,3,0.000000,true,
50.000000,2.450000,0.400000,375.816390,375.816390,375.816390,375.816390,21.636022,0.301985,-19.319769,-0.350804,-0.350804,-2.076055,0.053295,0.066764,73.446717,73.446717,465.717707,3,0.000000,true,
50.000000,2.400000,0.400000,374.519067,374.519067,374.519067,374.519067,21.628368,0.299740,-19.365966,-0.374612,-0.374612,-2.077120,0.052793,0.066424,78.065467,78.065467,466.201227,3,0.000000,true,
50.000000,2.350000,0.400000,373.357290,373.357290,373.357290,373.357290,21.621655,0.297199,-19.412089,-0.400184,-0.400184,-2.078311,0.052261,0.066080,83.027703,83.027703,466.751191,3,0.000000,true,
50.000000,2.300000,0.400000,372.336682,372.336682,372.336682,372.336682,21.615881,0.294332,-19.458162,-0.427470,-0.427470,-2.079641,0.051696,0.065726,88.324295,88.324295,467.373732,3,0.000000,true,
50.000000,2.250000,0.400000,371.460140,371.460140,371.460140,371.460140,21.611029,0.291115,-19.504208,-0.456371,-0.456371,-2.081119,0.051099,0.065357,93.936306,93.936306,468.073883,3,0.000000,true,
50.000000,2.200000,0.400000,370.727088,370.727088,370.727088,370.727088,21.607060,0.287523,-19.550251,-0.486738,-0.486738,-2.082753,0.050468,0.064965,99.835651,99.835651,468.855215,3,0.000000,true,
50.000000,2.150000,0.400000,370.133030,370.133030,370.133030,370.133030,21.603916,0.283537,-19.596313,-0.518388,-0.518388,-2.084545,0.049805,0.064546,105.986871,105.986871,469.719612,3,0.000000,true,
50.000000,2.100000,0.400000,369.669470,369.669470,369.669470,369.669470,21.601518,0.279144,-19.642415,-0.551111,-0.551111,-2.086496,0.049109,0.064092,112.349740,112.349740,470.667236,3,0.000000,true,
50.000000,2.050000,0.400000,369.324218,369.324218,369.324218,369.324218,21.599774,0.274334,-19.688572,-0.584687,-0.584687,-2.088601,0.048380,0.063598,118.882218,118.882218,471.696679,3,0.000000,true,
50.000000,2.000000,0.400000,369.082004,369.082004,369.082004,369.082004,21.598580,0.269111,-19.734800,-0.618904,-0.618904,-2.090855,0.047620,0.063058,125.543268,125.543268,472.805255,3,0.000000,true,
50.000000,1.950000,0.400000,368.925285,368.925285,368.925285,368.925285,21.597827,0.263487,-19.781104,-0.653566,-0.653566,-2.093248,0.046832,0.062467,132.295130,132.295130,473.989389,3,0.000000,true,
50.000000,1.900000,0.400000,368.835171,368.835171,368.835171,368.835171,21.597404,0.257493,-19.827488,-0.688502,-0.688502,-2.095771,0.046019,0.061821,139.104888,139.104888,475.245013,3,0.000000,true,
50.000000,1.850000,0.400000,368.792430,368.792430,368.792430,368.792430,21.597209,0.251179,-19.873944,-0.723571,-0.723571,-2.098416,0.045187,0.061117,145.945322,145.945322,476.567936,3,0.000000,true,
50.000000,1.800000,0.400000,368.778592,368.778592,368.778592,368.778592,21.597147,0.244621,-19.920459,-0.758663,-0.758663,-2.101173,0.044342,0.060356,152.795157,152.795157,477.954155,3,0.000000,true,
50.000000,1.750000,0.400000,368.777263,368.777263,368.777263,368.777263,21.597141,0.237924,-19.967009,-0.793697,-0.793697,-2.104032,0.043495,0.059542,159.638853,159.638853,479.400081,3,0.000000,true,
50.000000,1.700000,0.400000,368.775730,368.775730,368.775730,368.775730,21.597135,0.231225,-20.013559,-0.828620,-0.828620,-2.106988,0.042658,0.058682,166.466044,166.466044,480.902686,3,0.000000,true,
50.000000,1.650000,0.400000,368.766865,368.766865,368.766865,368.766865,21.597099,0.224692,-20.060067,-0.863399,-0.863399,-2.110032,0.041845,0.057792,173.270666,173.270666,482.459538,3,0.000000,true,
50.000000,1.600000,0.400000,368.751109,368.751109,368.751109,368.751109,21.597037,0.218514,-20.106483,-0.898020,-0.898020,-2.113161,0.041071,0.056888,180.049756,180.049756,484.068716,3,0.000000,true,
50.000000,1.550000,0.400000,368.737883,368.737883,368.737883,368.737883,21.596986,0.212880,-20.152759,-0.932475,-0.932475,-2.116368,0.040350,0.055997,186.801927,186.801927,485.728577,3,0.000000,true,
50.000000,1.500000,0.400000,368.745458,368.745458,368.745458,368.745458,21.597014,0.207949,-20.198856,-0.966757,-0.966757,-2.119649,0.039691,0.055142,193.525640,193.525640,487.437404,3,0.000000,true,
50.000000,1.450000,0.400000,368.798379,368.798379,368.798379,368.798379,21.597203,0.203813,-20.244756,-1.000847,-1.000847,-2.122997,0.039098,0.054349,200.217660,200.217660,489.193011,3,0.000000,true,
50.000000,1.400000,0.400000,368.922589,368.922589,368.922589,368.922589,21.597633,0.200474,-20.290464,-1.034718,-1.034718,-2.126407,0.038565,0.053634,206.872204,206.872204,490.992464,3,0.000000,true,
50.000000,1.350000,0.400000,369.139739,369.139739,369.139739,369.139739,21.598358,0.197840,-20.336014,-1.068326,-1.068326,-2.129869,0.038078,0.053004,213.481116,213.481116,492.832040,3,0.000000,true,
50.000000,1.300000,0.400000,369.462856,369.462856,369.462856,369.462856,21.599398,0.195744,-20.381460,-1.101626,-1.101626,-2.133374,0.037618,0.052453,220.034942,220.034942,494.707452,3,0.000000,true,
50.000000,1.250000,0.400000,369.894680,369.894680,369.894680,369.894680,21.600736,0.193979,-20.426869,-1.134569,-1.134569,-2.136914,0.037165,0.051970,226.524342,226.524342,496.614211,3,0.000000,true,
50.000000,1.200000,0.400000,370.428501,370.428501,370.428501,370.428501,21.602326,0.192333,-20.472306,-1.167115,-1.167115,-2.140481,0.036698,0.051536,232.941278,232.941278,498.547996,3,0.000000,true,
50.000000,1.150000,0.400000,371.050342,371.050342,371.050342,371.050342,21.604103,0.190609,-20.517834,-1.199234,-1.199234,-2.144067,0.036199,0.051128,239.279702,239.279702,500.504910,3,0.000000,true,
50.000000,1.100000,0.400000,371.741381,371.741381,371.741381,371.741381,21.605993,0.188639,-20.563503,-1.230908,-1.230908,-2.147666,0.035653,0.050725,245.535763,245.535763,502.481630,3,0.000000,true,
50.000000,1.050000,0.400000,372.479946,372.479946,372.479946,372.479946,21.607924,0.186291,-20.609356,-1.262128,-1.262128,-2.151273,0.035051,0.050307,251.707708,251.707708,504.475448,3,0.000000,true,
50.000000,1.000000,0.400000,373.242921,373.242921,373.242921,373.242921,21.609826,0.183467,-20.655421,-1.292896,-1.292896,-2.154884,0.034384,0.049856,257.795631,257.795631,506.484271,3,0.000000,true,
50.000000,0.950000,0.400000,374.006628,374.006628,374.006628,374.006628,21.611638,0.180103,-20.701716,-1.323221,-1.323221,-2.158497,0.033646,0.049355,263.801204,263.801204,508.506587,3,0.000000,true,
50.000000,0.900000,0.400000,374.747414,374.747414,374.747414,374.747414,21.613305,0.176163,-20.748248,-1.353118,-1.353118,-2.162109,0.032836,0.048791,269.727424,269.727424,510.541432,3,0.000000,true,
50.000000,0.850000,0.400000,375.442127,375.442127,375.442127,375.442127,21.614784,0.171645,-20.795015,-1.382611,-1.382611,-2.165720,0.031952,0.048153,275.578416,275.578416,512.588358,3,0.000000,true,
50.000000,0.800000,0.400000,376.068692,376.068692,376.068692,376.068692,21.616042,0.166574,-20.842002,-1.411724,-1.411724,-2.169330,0.030996,0.047432,281.359260,281.359260,514.647397,3,0.000000,true,
50.000000,0.750000,0.400000,376.606945,376.606945,376.606945,376.606945,21.617058,0.161005,-20.889186,-1.440489,-1.440489,-2.172939,0.029972,0.046624,287.075798,287.075798,516.719021,3,0.000000,true,
50.000000,0.700000,0.400000,377.039740,377.039740,377.039740,377.039740,21.617822,0.155016,-20.936536,-1.468938,-1.468938,-2.176548,0.028884,0.045729,292.734361,292.734361,518.804047,3,0.000000,true,
50.000000,0.650000,0.400000,377.354096,377.354096,377.354096,377.354096,21.618340,0.148698,-20.984015,-1.497103,-1.497103,-2.180158,0.027736,0.044748,298.341348,298.341348,520.903497,3,0.000000,true,
50.000000,0.600000,0.400000,377.541718,377.541718,377.541718,377.541718,21.618626,0.142139,-21.031586,-1.525016,-1.525016,-2.183771,0.026534,0.043686,303.902606,303.902606,523.018351,3,0.000000,true,
50.000000,0.550000,0.400000,377.597785,377.597785,377.597785,377.597785,21.618706,0.135396,-21.079218,-1.552698,-1.552698,-2.187388,0.025278,0.042548,309.422721,309.422721,525.149265,3,0.000000,true,
50.000000,0.500000,0.400000,377.517051,377.517051,377.517051,377.517051,21.618605,0.128472,-21.126894,-1.580166,-1.580166,-2.191007,0.023964,0.041337,314.904440,314.904440,527.296305,3,0.000000,true,
50.000000,0.450000,0.400000,377.287165,377.287165,377.287165,377.287165,21.618341,0.121299,-21.174615,-1.607422,-1.607422,-2.194627,0.022584,0.040046,320.348561,320.348561,529.458859,3,0.000000,true,
50.000000,0.400000,0.400000,376.880339,376.880339,376.880339,376.880339,21.617922,0.113745,-21.222394,-1.634465,-1.634465,-2.198247,0.021120,0.038657,325.754429,325.754429,531.635780,3,0.000000,true,
50.000000,0.350000,0.400000,376.244508,376.244508,376.244508,376.244508,21.617345,0.105628,-21.270253,-1.661289,-1.661289,-2.201863,0.019552,0.037140,331.120876,331.120876,533.825730,3,0.000000,true,
50.000000,0.300000,0.400000,375.293208,375.293208,375.293208,375.293208,21.616596,0.096741,-21.318212,-1.687891,-1.687891,-2.205475,0.017856,0.035450,336.447210,336.447210,536.027565,3,0.000000,true,
50.000000,0.250000,0.400000,373.889327,373.889327,373.889327,373.889327,21.615663,0.086861,-21.366281,-1.714274,-1.714274,-2.209079,0.016003,0.033525,341.733887,341.733887,538.240626,3,0.000000,true,
50.000000,0.200000,0.400000,371.809507,371.809507,371.809507,371.809507,21.614533,0.075727,-21.414458,-1.740447,-1.740447,-2.212678,0.013953,0.031275,346.982651,346.982651,540.464819,3,0.000000,true,
50.000000,0.150000,0.400000,368.649901,368.649901,368.649901,368.649901,21.613202,0.062976,-21.462733,-1.766423,-1.766423,-2.216269,0.011652,0.028551,352.196118,352.196118,542.700469,4,0.000000,true,
50.000000,0.100000,0.400000,363.521621,363.521621,363.521621,363.521621,21.611670,0.047965,-21.511090,-1.792216,-1.792216,-2.219855,0.008995,0.025059,357.376961,357.376961,544.947989,4,0.000000,true,
50.000000,0.050000,0.400000,353.596980,353.596980,353.596980,353.596980,21.609940,0.029268,-21.559518,-1.817838,-1.817838,-2.223435,0.005732,0.019984,362.527211,362.527211,547.207578,4,0.000000,true,
50.000000,0.000000,0.400000,0.002823,0.002823,0.002823,0.002823,21.608012,0.000000,-21.608012,-1.843295,-1.843295,-2.227009,0.000016,0.000016,367.648249,367.648249,549.479201,29,0.000000,true,
55.000000,4.000000,0.400000,436.875838,436.875838,436.875838,436.875838,22.124539,0.571775,-17.714351,-0.093885,-0.093885,-2.039094,0.086252,0.109439,23.620555,23.620555,457.868019,8,0.000000,true,
55.000000,3.950000,0.400000,435.212528,435.212528,435.212528,435.212528,22.108457,0.560110,-17.770636,-0.096476,-0.096476,-2.041289,0.085022,0.108160,24.124633,24.124633,458.218300,3,0.000000,true,
55.000000,3.900000,0.400000,433.509397,433.509397,433.509397,433.509397,22.092196,0.548398,-17.826731,-0.099195,-0.099195,-2.043376,0.083789,0.106855,24.653326,24.653326,458.552672,3,0.000000,true,
55.000000,3.850000,0.400000,431.764288,431.764288,431.764288,431.764288,22.075747,0.536670,-17.882620,-0.102052,-0.102052,-2.045361,0.082555,0.105524,25.208542,25.208542,458.871809,3,0.000000,true,
55.000000,3.800000,0.400000,429.975148,429.975148,429.975148,429.975148,22.059101,0.524965,-17.938287,-0.105056,-0.105056,-2.047246,0.081325,0.104169,25.792412,25.792412,459.176338,3,0.000000,true,
55.000000,3.750000,0.400000,428.140122,428.140122,428.140122,428.140122,22.042251,0.513329,-17.993715,-0.108221,-0.108221,-2.049035,0.080102,0.102793,26.407318,26.407318,459.466843,3,0.000000,true,
55.000000,3.700000,0.400000,426.257683,426.257683,426.257683,426.257683,22.025194,0.501813,-18.048884,-0.111560,-0.111560,-2.050730,0.078891,0.101400,27.055936,27.055936,459.743874,3,0.000000,true,
55.000000,3.650000,0.400000,424.326777,424.326777,424.326777,424.326777,22.007934,0.490474,-18.103771,-0.115090,-0.115090,-2.052334,0.077698,0.099993,27.741271,27.741271,460.007960,3,0.000000,true,
55.000000,3.600000,0.400000,422.346997,422.346997,422.346997,422.346997,21.990477,0.479375,-18.158354,-0.118826,-0.118826,-2.053849,0.076528,0.098579,28.466700,28.466700,460.259623,3,0.000000,true,
55.000000,3.550000,0.400000,420.318768,420.318768,420.318768,420.318768,21.972839,0.468584,-18.212607,-0.122790,-0.122790,-2.055278,0.075387,0.097163,29.236025,29.236025,460.499396,3,0.000000,true,
