T_MeV,rho,xi,mu_u_MeV,mu_d_MeV,mu_s_MeV,mu_avg_MeV,pressure_fm4,entropy_fm3,energy_fm4,phi_u,phi_d,phi_s,Phi1,Phi2,M_u_MeV,M_d_MeV,M_s_MeV,iterations,residual_norm,converged,message
50.000000,2.750000,0.000000,361.591880,361.591880,361.591880,361.591880,21.644202,0.345739,-19.137762,-0.195501,-0.195501,-2.071448,0.059990,0.072191,43.349657,43.349657,463.439380,3,0.000000,true,
50.000000,2.700000,0.000000,359.884336,359.884336,359.884336,359.884336,21.632883,0.346526,-19.181437,-0.206920,-0.206920,-2.071810,0.059758,0.072103,45.561797,45.561797,463.580279,3,0.000000,true,
50.000000,2.650000,0.000000,358.258442,358.258442,358.258442,358.258442,21.622302,0.346807,-19.225037,-0.219454,-0.219454,-2.072207,0.059467,0.072009,47.990126,47.990126,463.740301,3,0.000000,true,
50.000000,2.600000,0.000000,356.714384,356.714384,356.714384,356.714384,21.612442,0.346545,-19.268582,-0.233238,-0.233238,-2.072646,0.059115,0.071901,50.660866,50.660866,463.923521,3,0.000000,true,
50.000000,2.550000,0.000000,355.254366,355.254366,355.254366,355.254366,21.603296,0.345712,-19.312089,-0.248421,-0.248421,-2.073139,0.058702,0.071773,53.602882,53.602882,464.134796,3,0.000000,true,
50.000000,2.500000,0.000000,353.882736,353.882736,353.882736,353.882736,21.594870,0.344290,-19.355573,-0.265162,-0.265162,-2.073697,0.058229,0.071617,56.847255,56.847255,464.379891,3,0.000000,true,
50.000000,2.450000,0.000000,352.606050,352.606050,352.606050,352.606050,21.587183,0.342266,-19.399049,-0.283627,-0.283627,-2.074335,0.057697,0.071430,60.426372,60.426372,464.665585,3,0.000000,true,
50.000000,2.400000,0.000000,351.432992,351.432992,351.432992,351.432992,21.580262,0.339631,-19.442530,-0.303982,-0.303982,-2.075068,0.057107,0.071207,64.372386,64.372386,464.999711,3,0.000000,true,
50.000000,2.350000,0.000000,350.374071,350.374071,350.374071,350.374071,21.574143,0.336384,-19.486030,-0.326378,-0.326378,-2.075913,0.056461,0.070945,68.714860,68.714860,465.391094,3,0.000000,true,
50.000000,2.300000,0.000000,349.440958,349.440958,349.440958,349.440958,21.568865,0.332525,-19.529564,-0.350936,-0.350936,-2.076891,0.055762,0.070639,73.477606,73.477606,465.849322,3,0.000000,true,
50.000000,2.250000,0.000000,348.645385,348.645385,348.645385,348.645385,21.564461,0.328061,-19.573147,-0.377726,-0.377726,-2.078020,0.055011,0.070288,78.674889,78.674889,466.384294,3,0.000000,true,
50.000000,2.200000,0.000000,347.997601,347.997601,347.997601,347.997601,21.560953,0.322999,-19.616792,-0.406752,-0.406752,-2.079319,0.054213,0.069888,84.307626,84.307626,467.005543,3,0.000000,true,
50.000000,2.150000,0.000000,347.504507,347.504507,347.504507,347.504507,21.558343,0.317351,-19.660517,-0.437931,-0.437931,-2.080805,0.053371,0.069435,90.360493,90.360493,467.721389,3,0.000000,true,
50.000000,2.100000,0.000000,347.167832,347.167832,347.167832,347.167832,21.556601,0.311134,-19.704336,-0.471093,-0.471093,-2.082488,0.052487,0.068925,96.801014,96.801014,468.538068,3,0.000000,true,
50.000000,2.050000,0.000000,346.982784,346.982784,346.982784,346.982784,21.555665,0.304369,-19.748262,-0.505987,-0.505987,-2.084374,0.051566,0.068355,103.581360,103.581360,469.459074,3,0.000000,true,
50.000000,2.000000,0.000000,346.937576,346.937576,346.937576,346.937576,21.555441,0.297085,-19.792306,-0.542308,-0.542308,-2.086463,0.050612,0.067719,110.642751,110.642751,470.484883,3,0.000000,true,
50.000000,1.950000,0.000000,347.013987,347.013987,347.013987,347.013987,21.555807,0.289323,-19.836472,-0.579725,-0.579725,-2.088748,0.049630,0.067012,117.921495,117.921495,471.613163,3,0.000000,true,
50.000000,1.900000,0.000000,347.188846,347.188846,347.188846,347.188846,21.556625,0.281144,-19.880760,-0.617913,-0.617913,-2.091219,0.048626,0.066232,125.355204,125.355204,472.839385,3,0.000000,true,
50.000000,1.850000,0.000000,347.436148,347.436148,347.436148,347.436148,21.557753,0.272634,-19.925158,-0.656583,-0.656583,-2.093862,0.047608,0.065377,132.887896,132.887896,474.157670,3,0.000000,true,
50.000000,1.800000,0.000000,347.729570,347.729570,347.729570,347.729570,21.559055,0.263915,-19.969642,-0.695495,-0.695495,-2.096662,0.046587,0.064449,140.473290,140.473290,475.561666,3,0.000000,true,
50.000000,1.750000,0.000000,348.045304,348.045304,348.045304,348.045304,21.560418,0.255152,-20.014174,-0.734467,-0.734467,-2.099605,0.045580,0.063456,148.076217,148.076217,477.045295,3,0.000000,true,
50.000000,1.700000,0.000000,348.365325,348.365325,348.365325,348.365325,21.561761,0.246566,-20.058700,-0.773372,-0.773372,-2.102679,0.044603,0.062410,155.672425,155.672425,478.603283,3,0.000000,true,
50.000000,1.650000,0.000000,348.681129,348.681129,348.681129,348.681129,21.563048,0.238424,-20.103153,-0.812135,-0.812135,-2.105873,0.043681,0.061336,163.247079,163.247079,480.231391,3,0.000000,true,
50.000000,1.600000,0.000000,348.997442,348.997442,348.997442,348.997442,21.564298,0.231031,-20.147454,-0.850713,-0.850713,-2.109178,0.042835,0.060268,170.792084,170.792084,481.926298,3,0.000000,true,
