xi,T_CEP_MeV,muq_CEP_MeV,muB_CEP_MeV
-0.5,147.0947265625,202.39421356350303,607.1826406905091
-0.4,143.9013671875,225.85099103461022,677.5529731038307
-0.3,140.6591796875,245.69938493470568,737.098154804117
-0.2,137.5634765625,262.5478876082082,787.6436628246246
-0.1,134.1552734375,277.9741120475784,833.9223361427352
0.0,130.3369140625,292.3807955235169,877.1423865705508
0.1,126.2646484375,305.5865609097717,916.7596827293151
0.2,121.2646484375,318.5973197217998,955.7919591653994
0.3,114.8095703125,331.68321476426377,995.0496442927913
0.4,106.4306640625,344.5348858897299,1033.6046576693697
0.5,97.0849609375,355.4358732646064,1066.3076197908192
