surface,input_rows,xi_count,T_min_MeV,T_max_MeV,mu_min_MeV,mu_max_MeV,converged_rows
maxwell_coexistence,3655,57,1.0,145.0,208.15858130148007,378.96527202126515,3655
crossover_pseudocritical,912,57,105.00681884547217,212.934937025926,0.0,378.96527202126515,912
