xi,T_MeV,c2_unresolved_row_count,c2_reasons,c2_levels,reason_class
-0.45625,55.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.45625,130.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.45,7.0,1,ok,0,unresolved_unclassified
-0.45,9.0,1,ok,0,unresolved_unclassified
-0.45,11.0,1,ok,0,unresolved_unclassified
-0.45,13.0,1,ok,0,unresolved_unclassified
-0.45,15.0,1,ok,0,unresolved_unclassified
-0.45,17.0,1,ok,0,unresolved_unclassified
-0.45,19.0,1,ok,0,unresolved_unclassified
-0.45,21.0,1,ok,0,unresolved_unclassified
-0.45,23.0,1,ok,0,unresolved_unclassified
-0.45,25.0,1,ok,0,unresolved_unclassified
-0.45,27.0,1,ok,0,unresolved_unclassified
-0.45,29.0,1,ok,0,unresolved_unclassified
-0.45,31.0,1,ok,0,unresolved_unclassified
-0.45,51.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.45,143.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.4375,7.0,1,ok,0,unresolved_unclassified
-0.4375,9.0,1,ok,0,unresolved_unclassified
-0.4375,11.0,1,ok,0,unresolved_unclassified
-0.4375,13.0,1,ok,0,unresolved_unclassified
-0.4375,15.0,1,ok,0,unresolved_unclassified
-0.4375,17.0,1,ok,0,unresolved_unclassified
-0.4375,19.0,1,ok,0,unresolved_unclassified
-0.4375,21.0,1,ok,0,unresolved_unclassified
-0.4375,23.0,1,ok,0,unresolved_unclassified
-0.4375,25.0,1,ok,0,unresolved_unclassified
-0.4375,27.0,1,ok,0,unresolved_unclassified
-0.4375,29.0,1,ok,0,unresolved_unclassified
-0.4375,31.0,1,ok,0,unresolved_unclassified
-0.4375,51.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.4375,145.0625,1,classification_changed_or_unresolved:unknown->valid,1,classification_transition
-0.425,7.0,1,ok,0,unresolved_unclassified
-0.425,9.0,1,ok,0,unresolved_unclassified
-0.425,11.0,1,ok,0,unresolved_unclassified
-0.425,13.0,1,ok,0,unresolved_unclassified
-0.425,15.0,1,ok,0,unresolved_unclassified
-0.425,17.0,1,ok,0,unresolved_unclassified
-0.425,19.0,1,ok,0,unresolved_unclassified
-0.425,21.0,1,ok,0,unresolved_unclassified
-0.425,23.0,1,ok,0,unresolved_unclassified
-0.425,25.0,1,ok,0,unresolved_unclassified
-0.425,27.0,1,ok,0,unresolved_unclassified
-0.425,29.0,1,ok,0,unresolved_unclassified
-0.425,31.0,1,ok,0,unresolved_unclassified
-0.425,49.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.4125,7.0,1,ok,0,unresolved_unclassified
-0.4125,9.0,1,ok,0,unresolved_unclassified
-0.4125,11.0,1,ok,0,unresolved_unclassified
-0.4125,13.0,1,ok,0,unresolved_unclassified
-0.4125,15.0,1,ok,0,unresolved_unclassified
-0.4125,17.0,1,ok,0,unresolved_unclassified
-0.4125,19.0,1,ok,0,unresolved_unclassified
-0.4125,21.0,1,ok,0,unresolved_unclassified
-0.4125,23.0,1,ok,0,unresolved_unclassified
-0.4125,25.0,1,ok,0,unresolved_unclassified
-0.4125,27.0,1,ok,0,unresolved_unclassified
-0.4125,29.0,1,ok,0,unresolved_unclassified
-0.4125,49.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.4125,53.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.4125,69.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.4125,120.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.4,7.0,1,ok,0,unresolved_unclassified
-0.4,9.0,1,ok,0,unresolved_unclassified
-0.4,13.0,1,ok,0,unresolved_unclassified
-0.4,15.0,1,ok,0,unresolved_unclassified
-0.4,17.0,1,ok,0,unresolved_unclassified
-0.4,19.0,1,ok,0,unresolved_unclassified
-0.4,21.0,1,ok,0,unresolved_unclassified
-0.4,23.0,1,ok,0,unresolved_unclassified
-0.4,25.0,1,ok,0,unresolved_unclassified
-0.4,27.0,1,ok,0,unresolved_unclassified
-0.4,29.0,1,ok,0,unresolved_unclassified
-0.4,47.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.4,53.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.4,69.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.4,129.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.3875,13.0,1,ok,0,unresolved_unclassified
-0.3875,15.0,1,ok,0,unresolved_unclassified
-0.3875,17.0,1,ok,0,unresolved_unclassified
-0.3875,19.0,1,ok,0,unresolved_unclassified
-0.3875,21.0,1,ok,0,unresolved_unclassified
-0.3875,23.0,1,ok,0,unresolved_unclassified
-0.3875,25.0,1,ok,0,unresolved_unclassified
-0.3875,27.0,1,ok,0,unresolved_unclassified
-0.3875,29.0,1,ok,0,unresolved_unclassified
-0.3875,47.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.375,13.0,1,ok,0,unresolved_unclassified
-0.375,15.0,1,ok,0,unresolved_unclassified
-0.375,17.0,1,ok,0,unresolved_unclassified
-0.375,19.0,1,ok,0,unresolved_unclassified
-0.375,21.0,1,ok,0,unresolved_unclassified
-0.375,23.0,1,ok,0,unresolved_unclassified
-0.375,25.0,1,ok,0,unresolved_unclassified
-0.375,27.0,1,ok,0,unresolved_unclassified
-0.375,29.0,1,ok,0,unresolved_unclassified
-0.375,47.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.3625,11.0,1,ok,0,unresolved_unclassified
-0.3625,13.0,1,ok,0,unresolved_unclassified
-0.3625,15.0,1,ok,0,unresolved_unclassified
-0.3625,17.0,1,ok,0,unresolved_unclassified
-0.3625,19.0,1,ok,0,unresolved_unclassified
-0.3625,21.0,1,ok,0,unresolved_unclassified
-0.3625,23.0,1,ok,0,unresolved_unclassified
-0.3625,25.0,1,ok,0,unresolved_unclassified
-0.3625,27.0,1,ok,0,unresolved_unclassified
-0.3625,45.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.3625,139.5,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.35,11.0,1,ok,0,unresolved_unclassified
-0.35,13.0,1,ok,0,unresolved_unclassified
-0.35,15.0,1,ok,0,unresolved_unclassified
-0.35,17.0,1,ok,0,unresolved_unclassified
-0.35,19.0,1,ok,0,unresolved_unclassified
-0.35,21.0,1,ok,0,unresolved_unclassified
-0.35,23.0,1,ok,0,unresolved_unclassified
-0.35,25.0,1,ok,0,unresolved_unclassified
-0.35,27.0,1,ok,0,unresolved_unclassified
-0.35,45.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.35,51.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.35,67.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.35,123.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.35,131.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.34375,11.0,1,ok,0,unresolved_unclassified
-0.34375,13.0,1,ok,0,unresolved_unclassified
-0.34375,15.0,1,ok,0,unresolved_unclassified
-0.34375,17.0,1,ok,0,unresolved_unclassified
-0.34375,19.0,1,ok,0,unresolved_unclassified
-0.34375,21.0,1,ok,0,unresolved_unclassified
-0.34375,23.0,1,ok,0,unresolved_unclassified
-0.34375,25.0,1,ok,0,unresolved_unclassified
-0.34375,27.0,1,ok,0,unresolved_unclassified
-0.34375,45.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.34375,51.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.34375,67.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.34375,128.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.34375,142.1875,1,classification_changed_or_unresolved:unknown->valid,1,classification_transition
-0.3375,11.0,1,ok,0,unresolved_unclassified
-0.3375,13.0,1,ok,0,unresolved_unclassified
-0.3375,15.0,1,ok,0,unresolved_unclassified
-0.3375,17.0,1,ok,0,unresolved_unclassified
-0.3375,19.0,1,ok,0,unresolved_unclassified
-0.3375,21.0,1,ok,0,unresolved_unclassified
-0.3375,23.0,1,ok,0,unresolved_unclassified
-0.3375,25.0,1,ok,0,unresolved_unclassified
-0.3375,27.0,1,ok,0,unresolved_unclassified
-0.3375,43.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.3375,67.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.3375,142.0,1,classification_changed_or_unresolved:unknown->valid,1,classification_transition
-0.33125,11.0,1,ok,0,unresolved_unclassified
-0.33125,13.0,1,ok,0,unresolved_unclassified
-0.33125,15.0,1,ok,0,unresolved_unclassified
-0.33125,17.0,1,ok,0,unresolved_unclassified
-0.33125,19.0,1,ok,0,unresolved_unclassified
-0.33125,21.0,1,ok,0,unresolved_unclassified
-0.33125,23.0,1,ok,0,unresolved_unclassified
-0.33125,25.0,1,ok,0,unresolved_unclassified
-0.33125,27.0,1,ok,0,unresolved_unclassified
-0.33125,43.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.33125,141.8125,1,classification_changed_or_unresolved:invalid->unknown,1,classification_transition
-0.325,11.0,1,ok,0,unresolved_unclassified
-0.325,13.0,1,ok,0,unresolved_unclassified
-0.325,15.0,1,ok,0,unresolved_unclassified
-0.325,17.0,1,ok,0,unresolved_unclassified
-0.325,19.0,1,ok,0,unresolved_unclassified
-0.325,21.0,1,ok,0,unresolved_unclassified
-0.325,23.0,1,ok,0,unresolved_unclassified
-0.325,25.0,1,ok,0,unresolved_unclassified
-0.325,27.0,1,ok,0,unresolved_unclassified
-0.325,43.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.3125,11.0,1,ok,0,unresolved_unclassified
-0.3125,13.0,1,ok,0,unresolved_unclassified
-0.3125,15.0,1,ok,0,unresolved_unclassified
-0.3125,17.0,1,ok,0,unresolved_unclassified
-0.3125,19.0,1,ok,0,unresolved_unclassified
-0.3125,21.0,1,ok,0,unresolved_unclassified
-0.3125,23.0,1,ok,0,unresolved_unclassified
-0.3125,25.0,1,ok,0,unresolved_unclassified
-0.3125,43.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.3,11.0,1,ok,0,unresolved_unclassified
-0.3,13.0,1,ok,0,unresolved_unclassified
-0.3,15.0,1,ok,0,unresolved_unclassified
-0.3,17.0,1,ok,0,unresolved_unclassified
-0.3,19.0,1,ok,0,unresolved_unclassified
-0.3,21.0,1,ok,0,unresolved_unclassified
-0.3,23.0,1,ok,0,unresolved_unclassified
-0.3,25.0,1,ok,0,unresolved_unclassified
-0.3,41.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.3,43.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.3,49.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.3,118.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.3,122.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.2875,11.0,1,ok,0,unresolved_unclassified
-0.2875,13.0,1,ok,0,unresolved_unclassified
-0.2875,15.0,1,ok,0,unresolved_unclassified
-0.2875,17.0,1,ok,0,unresolved_unclassified
-0.2875,19.0,1,ok,0,unresolved_unclassified
-0.2875,21.0,1,ok,0,unresolved_unclassified
-0.2875,23.0,1,ok,0,unresolved_unclassified
-0.2875,25.0,1,ok,0,unresolved_unclassified
-0.2875,41.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.2875,65.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.2875,127.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.2875,139.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.2875,140.4375,1,classification_changed_or_unresolved:unknown->valid,1,classification_transition
-0.275,11.0,1,ok,0,unresolved_unclassified
-0.275,13.0,1,ok,0,unresolved_unclassified
-0.275,15.0,1,ok,0,unresolved_unclassified
-0.275,17.0,1,ok,0,unresolved_unclassified
-0.275,19.0,1,ok,0,unresolved_unclassified
-0.275,21.0,1,ok,0,unresolved_unclassified
-0.275,23.0,1,ok,0,unresolved_unclassified
-0.275,25.0,1,ok,0,unresolved_unclassified
-0.275,41.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.275,140.0625,1,classification_changed_or_unresolved:invalid->valid,1,classification_transition
-0.2625,11.0,1,ok,0,unresolved_unclassified
-0.2625,13.0,1,ok,0,unresolved_unclassified
-0.2625,15.0,1,ok,0,unresolved_unclassified
-0.2625,17.0,1,ok,0,unresolved_unclassified
-0.2625,19.0,1,ok,0,unresolved_unclassified
-0.2625,21.0,1,ok,0,unresolved_unclassified
-0.2625,23.0,1,ok,0,unresolved_unclassified
-0.2625,41.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.2625,139.625,1,classification_changed_or_unresolved:unknown->valid,1,classification_transition
-0.25,9.0,1,ok,0,unresolved_unclassified
-0.25,11.0,1,ok,0,unresolved_unclassified
-0.25,13.0,1,ok,0,unresolved_unclassified
-0.25,15.0,1,ok,0,unresolved_unclassified
-0.25,17.0,1,ok,0,unresolved_unclassified
-0.25,19.0,1,ok,0,unresolved_unclassified
-0.25,21.0,1,ok,0,unresolved_unclassified
-0.25,23.0,1,ok,0,unresolved_unclassified
-0.25,39.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.25,41.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.25,47.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.25,117.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.2375,9.0,1,ok,0,unresolved_unclassified
-0.2375,11.0,1,ok,0,unresolved_unclassified
-0.2375,13.0,1,ok,0,unresolved_unclassified
-0.2375,15.0,1,ok,0,unresolved_unclassified
-0.2375,17.0,1,ok,0,unresolved_unclassified
-0.2375,19.0,1,ok,0,unresolved_unclassified
-0.2375,21.0,1,ok,0,unresolved_unclassified
-0.2375,23.0,1,ok,0,unresolved_unclassified
-0.2375,39.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.2375,41.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.2375,126.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.225,9.0,1,ok,0,unresolved_unclassified
-0.225,11.0,1,ok,0,unresolved_unclassified
-0.225,13.0,1,ok,0,unresolved_unclassified
-0.225,15.0,1,ok,0,unresolved_unclassified
-0.225,17.0,1,ok,0,unresolved_unclassified
-0.225,19.0,1,ok,0,unresolved_unclassified
-0.225,21.0,1,ok,0,unresolved_unclassified
-0.225,23.0,1,ok,0,unresolved_unclassified
-0.225,39.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.225,41.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.225,63.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.21875,9.0,1,ok,0,unresolved_unclassified
-0.21875,11.0,1,ok,0,unresolved_unclassified
-0.21875,13.0,1,ok,0,unresolved_unclassified
-0.21875,15.0,1,ok,0,unresolved_unclassified
-0.21875,17.0,1,ok,0,unresolved_unclassified
-0.21875,19.0,1,ok,0,unresolved_unclassified
-0.21875,21.0,1,ok,0,unresolved_unclassified
-0.21875,39.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.21875,41.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.21875,136.5,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.21875,138.3125,1,classification_changed_or_unresolved:invalid->valid,1,classification_transition
-0.2125,9.0,1,ok,0,unresolved_unclassified
-0.2125,11.0,1,ok,0,unresolved_unclassified
-0.2125,13.0,1,ok,0,unresolved_unclassified
-0.2125,15.0,1,ok,0,unresolved_unclassified
-0.2125,17.0,1,ok,0,unresolved_unclassified
-0.2125,19.0,1,ok,0,unresolved_unclassified
-0.2125,21.0,1,ok,0,unresolved_unclassified
-0.2125,39.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.2125,41.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.2125,138.0625,1,classification_changed_or_unresolved:unknown->valid,1,classification_transition
-0.20625,9.0,1,ok,0,unresolved_unclassified
-0.20625,11.0,1,ok,0,unresolved_unclassified
-0.20625,13.0,1,ok,0,unresolved_unclassified
-0.20625,15.0,1,ok,0,unresolved_unclassified
-0.20625,17.0,1,ok,0,unresolved_unclassified
-0.20625,19.0,1,ok,0,unresolved_unclassified
-0.20625,21.0,1,ok,0,unresolved_unclassified
-0.20625,39.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.20625,41.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.20625,45.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.2,9.0,1,ok,0,unresolved_unclassified
-0.2,11.0,1,ok,0,unresolved_unclassified
-0.2,13.0,1,ok,0,unresolved_unclassified
-0.2,15.0,1,ok,0,unresolved_unclassified
-0.2,17.0,1,ok,0,unresolved_unclassified
-0.2,19.0,1,ok,0,unresolved_unclassified
-0.2,21.0,1,ok,0,unresolved_unclassified
-0.2,39.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.2,41.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.2,45.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.2,116.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.2,135.5,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.2,137.6875,1,classification_changed_or_unresolved:unknown->valid,1,classification_transition
-0.1875,9.0,1,ok,0,unresolved_unclassified
-0.1875,11.0,1,ok,0,unresolved_unclassified
-0.1875,13.0,1,ok,0,unresolved_unclassified
-0.1875,15.0,1,ok,0,unresolved_unclassified
-0.1875,17.0,1,ok,0,unresolved_unclassified
-0.1875,19.0,1,ok,0,unresolved_unclassified
-0.1875,21.0,1,ok,0,unresolved_unclassified
-0.1875,39.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.1875,41.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.1875,125.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.1875,135.5,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.1875,137.3125,1,classification_changed_or_unresolved:unknown->valid,1,classification_transition
-0.175,9.0,1,ok,0,unresolved_unclassified
-0.175,11.0,1,ok,0,unresolved_unclassified
-0.175,13.0,1,ok,0,unresolved_unclassified
-0.175,15.0,1,ok,0,unresolved_unclassified
-0.175,17.0,1,ok,0,unresolved_unclassified
-0.175,19.0,1,ok,0,unresolved_unclassified
-0.175,21.0,1,ok,0,unresolved_unclassified
-0.175,39.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.175,41.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.175,61.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.175,133.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.175,136.921875,1,classification_changed_or_unresolved:invalid->unknown,1,classification_transition
-0.1625,9.0,1,ok,0,unresolved_unclassified
-0.1625,11.0,1,ok,0,unresolved_unclassified
-0.1625,13.0,1,ok,0,unresolved_unclassified
-0.1625,15.0,1,ok,0,unresolved_unclassified
-0.1625,17.0,1,ok,0,unresolved_unclassified
-0.1625,19.0,1,ok,0,unresolved_unclassified
-0.1625,41.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.1625,135.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.15,9.0,1,ok,0,unresolved_unclassified
-0.15,11.0,1,ok,0,unresolved_unclassified
-0.15,13.0,1,ok,0,unresolved_unclassified
-0.15,15.0,1,ok,0,unresolved_unclassified
-0.15,17.0,1,ok,0,unresolved_unclassified
-0.15,19.0,1,ok,0,unresolved_unclassified
-0.15,41.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.15,43.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.15,115.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.1375,9.0,1,ok,0,unresolved_unclassified
-0.1375,11.0,1,ok,0,unresolved_unclassified
-0.1375,13.0,1,ok,0,unresolved_unclassified
-0.1375,15.0,1,ok,0,unresolved_unclassified
-0.1375,17.0,1,ok,0,unresolved_unclassified
-0.1375,19.0,1,ok,0,unresolved_unclassified
-0.1375,41.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.1375,124.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.1375,135.6875,1,classification_changed_or_unresolved:unknown->valid,1,classification_transition
-0.125,7.0,1,ok,0,unresolved_unclassified
-0.125,9.0,1,ok,0,unresolved_unclassified
-0.125,11.0,1,ok,0,unresolved_unclassified
-0.125,13.0,1,ok,0,unresolved_unclassified
-0.125,15.0,1,ok,0,unresolved_unclassified
-0.125,17.0,1,ok,0,unresolved_unclassified
-0.125,19.0,1,ok,0,unresolved_unclassified
-0.125,41.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
-0.125,43.0,1,hybrid_stage_c_not_converged,4,hybrid_stage_c_unresolved
