solve_nodes,evaluation_nodes,T_MeV,muB_MeV,muQ_MeV,muS_MeV,mu_u_MeV,mu_d_MeV,mu_s_MeV,mu_pi_plus_MeV,mu_K_plus_MeV,m_u_MeV,m_d_MeV,m_s_MeV,Phi,PhiBar,rho_u_fm3,rho_d_fm3,rho_s_fm3,rho_B_fm3,rho_Q_fm3,rho_S_fm3,Q_over_B,u_over_d,charge_constraint_fm3,residual_norm,omega_inv_fm4
48,48,50.0,620.0,-2.3957839084877106,103.63141197897558,205.06947739434153,207.46526130282925,103.83384932385368,-2.3957839084877106,101.23562807048786,367.6474553892605,367.64741546061146,549.4788383804284,1.851322959487783e-5,0.0011851441667431063,1.7854466864482145e-6,2.0405104987712235e-6,3.9413726061677335e-21,1.275319061739814e-6,5.101276247084005e-7,-3.9413726061677335e-21,0.4000000000097818,0.8750000000114648,1.2474889488924522e-17,4.5925481822141144e-15,-21.608021047294038
48,96,50.0,620.0,-2.3957839084877106,103.63141197897558,205.06947739434153,207.46526130282925,103.83384932385368,-2.3957839084877106,101.23562807048786,367.6474553892605,367.64741546061146,549.4788383804284,1.851322959487783e-5,0.0011851441667431063,1.7854466864482137e-6,2.0405104987712243e-6,3.941167990293866e-21,1.275319061739814e-6,5.101276247083996e-7,-3.941167990293866e-21,0.40000000000978114,0.8750000000114639,1.2474042455977268e-17,4.5925481822141144e-15,-21.608021047294038
48,192,50.0,620.0,-2.3957839084877106,103.63141197897558,205.06947739434153,207.46526130282925,103.83384932385368,-2.3957839084877106,101.23562807048786,367.6474553892605,367.64741546061146,549.4788383804284,1.851322959487783e-5,0.0011851441667431063,1.7854466864482173e-6,2.0405104987712264e-6,3.941277212040468e-21,1.275319061739816e-6,5.101276247084013e-7,-3.941277212040468e-21,0.4000000000097818,0.8750000000114648,1.2474889488924522e-17,4.5925481822141144e-15,-21.608021047294038
96,192,50.0,620.0,-2.3957839084877106,103.63141197897558,205.06947739434153,207.46526130282925,103.83384932385368,-2.3957839084877106,101.23562807048786,367.6474553892605,367.64741546061146,549.4788383804284,1.851322959487783e-5,0.0011851441667431063,1.7854466864482173e-6,2.0405104987712264e-6,3.941277212040468e-21,1.275319061739816e-6,5.101276247084013e-7,-3.941277212040468e-21,0.4000000000097818,0.8750000000114648,1.2474889488924522e-17,4.59597510983369e-15,-21.608021047294038
