key,key_tuple,field,p104,p128,abs,rel
mode_a muB=0 alpha_T=1.1 xi=-0.1,"('mode_a_fixed_muB_phase_scaled', 0.0, 1.1, -0.1)",tau_dbar,0.5984928118213868,0.5984445130754549,4.829874593192951e-05,8.070062827478655e-05
mode_b T=200 muB=450 xi=-0.15,"('mode_b_fixed_T_sparse_muB', 200.0, 450.0, -0.15)",sigma_over_T,0.018828158263823176,0.018826639156246817,1.519107576359452e-06,8.068274947944843e-05
mode_b T=200 muB=450 xi=-0.15,"('mode_b_fixed_T_sparse_muB', 200.0, 450.0, -0.15)",sigma,0.01908320719818117,0.019081667512555536,1.539685625634446e-06,8.068274947940586e-05
mode_b T=160 muB=0 xi=-0.5,"('mode_b_fixed_T_sparse_muB', 160.0, 0.0, -0.5)",eta,4.932558987803043,4.932161276856701,0.00039771094634222237,8.062973951769453e-05
mode_b T=160 muB=0 xi=-0.5,"('mode_b_fixed_T_sparse_muB', 160.0, 0.0, -0.5)",eta_over_s,4.097072899791514,4.096742553870819,0.0003303459206946968,8.06297395175729e-05
mode_a muB=0 alpha_T=1 xi=-0.1,"('mode_a_fixed_muB_phase_scaled', 0.0, 1.0, -0.1)",eta,1.898646262931927,1.8987990891320188,0.0001528262000918268,8.049219229274945e-05
mode_a muB=0 alpha_T=1 xi=-0.1,"('mode_a_fixed_muB_phase_scaled', 0.0, 1.0, -0.1)",eta_over_s,0.15395801477296361,0.15397040719109373,1.2392418130113825e-05,8.049219229273955e-05
mode_a muB=0 alpha_T=1.2 xi=-0.4,"('mode_a_fixed_muB_phase_scaled', 0.0, 1.2, -0.4)",eta,3.640983892276909,3.640690863167315,0.00029302910959394524,8.048074868320768e-05
mode_a muB=0 alpha_T=1.2 xi=-0.4,"('mode_a_fixed_muB_phase_scaled', 0.0, 1.2, -0.4)",eta_over_s,0.11295453820004739,0.11294544753424589,9.09066580150053e-06,8.048074868316107e-05
mode_a muB=450 alpha_T=1 xi=0.35,"('mode_a_fixed_muB_phase_scaled', 450.0, 1.0, 0.35)",tauinv_ubar,0.47700896378084134,0.47704731254979826,3.834876895691952e-05,8.039423128018746e-05
mode_a muB=450 alpha_T=1 xi=0.35,"('mode_a_fixed_muB_phase_scaled', 450.0, 1.0, 0.35)",tauinv_dbar,0.47700896378084134,0.47704731254979826,3.834876895691952e-05,8.039423128018746e-05
mode_a muB=450 alpha_T=1 xi=0.35,"('mode_a_fixed_muB_phase_scaled', 450.0, 1.0, 0.35)",tau_ubar,2.0963966632279964,2.0962281385782076,0.0001685246497888926,8.038776856732884e-05
mode_a muB=450 alpha_T=1 xi=0.35,"('mode_a_fixed_muB_phase_scaled', 450.0, 1.0, 0.35)",tau_dbar,2.0963966632279964,2.0962281385782076,0.0001685246497888926,8.038776856732884e-05
mode_b T=120 muB=0 xi=-0.25,"('mode_b_fixed_T_sparse_muB', 120.0, 0.0, -0.25)",zeta,2.024754869289644,2.0245921063741545,0.000162762915489445,8.03864793502376e-05
mode_b T=120 muB=0 xi=-0.25,"('mode_b_fixed_T_sparse_muB', 120.0, 0.0, -0.25)",zeta_over_s,118.51770194679112,118.50817472599094,0.009527220800180203,8.038647935021113e-05
mode_b T=120 muB=0 xi=0.4,"('mode_b_fixed_T_sparse_muB', 120.0, 0.0, 0.4)",zeta_over_s,119.24925502489984,119.2588360311506,0.009581006250755308,8.034436985585149e-05
mode_b T=120 muB=0 xi=0.4,"('mode_b_fixed_T_sparse_muB', 120.0, 0.0, 0.4)",zeta,1.080973080231466,1.0810599303324284,8.685010096232126e-05,8.034436985583792e-05
mode_a muB=0 alpha_T=1.1 xi=-0.35,"('mode_a_fixed_muB_phase_scaled', 0.0, 1.1, -0.35)",zeta_over_s,0.026235593775589046,0.02623349168045145,2.1020951375960717e-06,8.01237873850589e-05
mode_a muB=0 alpha_T=1.1 xi=-0.35,"('mode_a_fixed_muB_phase_scaled', 0.0, 1.1, -0.35)",zeta,0.5838106820257525,0.5837639049027927,4.677712295975134e-05,8.012378738504814e-05
mode_a muB=0 alpha_T=1.2 xi=0.5,"('mode_a_fixed_muB_phase_scaled', 0.0, 1.2, 0.5)",tauinv_u,1.6820684835368762,1.6822032542811396,0.00013477074426337943,8.012203164284828e-05
mode_a muB=0 alpha_T=1.2 xi=0.5,"('mode_a_fixed_muB_phase_scaled', 0.0, 1.2, 0.5)",tauinv_d,1.6820684835368762,1.6822032542811396,0.00013477074426337943,8.012203164284828e-05
mode_a muB=0 alpha_T=1.2 xi=0.5,"('mode_a_fixed_muB_phase_scaled', 0.0, 1.2, 0.5)",tauinv_ubar,1.6820684835353623,1.6822032542774599,0.00013477074209755635,8.012203035532534e-05
mode_a muB=0 alpha_T=1.2 xi=0.5,"('mode_a_fixed_muB_phase_scaled', 0.0, 1.2, 0.5)",tauinv_dbar,1.6820684835353623,1.6822032542774599,0.00013477074209755635,8.012203035532534e-05
mode_a muB=0 alpha_T=1.2 xi=0.5,"('mode_a_fixed_muB_phase_scaled', 0.0, 1.2, 0.5)",tau_u,0.5945061154093474,0.5944584861877067,4.762922164069927e-05,8.011561261721278e-05
mode_a muB=0 alpha_T=1.2 xi=0.5,"('mode_a_fixed_muB_phase_scaled', 0.0, 1.2, 0.5)",tau_d,0.5945061154093474,0.5944584861877067,4.762922164069927e-05,8.011561261721278e-05
mode_a muB=0 alpha_T=1.2 xi=0.5,"('mode_a_fixed_muB_phase_scaled', 0.0, 1.2, 0.5)",tau_ubar,0.5945061154098824,0.594458486189007,4.762922087542254e-05,8.011561132989281e-05
mode_a muB=0 alpha_T=1.2 xi=0.5,"('mode_a_fixed_muB_phase_scaled', 0.0, 1.2, 0.5)",tau_dbar,0.5945061154098824,0.594458486189007,4.762922087542254e-05,8.011561132989281e-05
mode_a muB=450 alpha_T=1.1 xi=0.4,"('mode_a_fixed_muB_phase_scaled', 450.0, 1.1, 0.4)",sigma_over_T,0.01633681900391361,0.016335511641154408,1.307362759203623e-06,8.002553978779064e-05
mode_a muB=450 alpha_T=1.1 xi=0.4,"('mode_a_fixed_muB_phase_scaled', 450.0, 1.1, 0.4)",sigma,0.016644170137462215,0.016642838178762647,1.3319586995678978e-06,8.002553978764996e-05
mode_a muB=450 alpha_T=1.1 xi=-0.2,"('mode_a_fixed_muB_phase_scaled', 450.0, 1.1, -0.2)",eta_over_s,0.1763913994006166,0.17637730244137892,1.4096959237680506e-05,7.991863143884796e-05
mode_a muB=450 alpha_T=1.1 xi=-0.2,"('mode_a_fixed_muB_phase_scaled', 450.0, 1.1, -0.2)",eta,2.775467700148969,2.7752458885687705,0.00022181158019840552,7.99186314387662e-05
mode_a muB=900 alpha_T=1.1 xi=-0.35,"('mode_a_fixed_muB_phase_scaled', 900.0, 1.1, -0.35)",eta,6.734834039987245,6.735372175049954,0.0005381350627091663,7.990324030466912e-05
mode_a muB=900 alpha_T=1.1 xi=-0.35,"('mode_a_fixed_muB_phase_scaled', 900.0, 1.1, -0.35)",eta_over_s,1.1575347549500792,1.1576272457277648,9.249077768558323e-05,7.9903240304497e-05
mode_b T=120 muB=900 xi=-0.5,"('mode_b_fixed_T_sparse_muB', 120.0, 900.0, -0.5)",tau_u,5.9772526568518245,5.977729626210087,0.0004769693582629131,7.979742293746863e-05
mode_b T=120 muB=900 xi=-0.5,"('mode_b_fixed_T_sparse_muB', 120.0, 900.0, -0.5)",tau_d,5.9772526568518245,5.977729626210087,0.0004769693582629131,7.979742293746863e-05
mode_b T=120 muB=900 xi=-0.5,"('mode_b_fixed_T_sparse_muB', 120.0, 900.0, -0.5)",tauinv_u,0.16730094198940768,0.16728759287060718,1.3349118800493054e-05,7.979105581687775e-05
mode_b T=120 muB=900 xi=-0.5,"('mode_b_fixed_T_sparse_muB', 120.0, 900.0, -0.5)",tauinv_d,0.16730094198940768,0.16728759287060718,1.3349118800493054e-05,7.979105581687775e-05
mode_b T=120 muB=900 xi=-0.4,"('mode_b_fixed_T_sparse_muB', 120.0, 900.0, -0.4)",tauinv_s,0.2681553724074905,0.2681767540786834,2.138167119292156e-05,7.973612835334078e-05
mode_b T=120 muB=900 xi=-0.4,"('mode_b_fixed_T_sparse_muB', 120.0, 900.0, -0.4)",tau_s,3.7291812989686965,3.728883972197675,0.00029732677102156657,7.972977101000485e-05
mode_b T=160 muB=0 xi=-0.3,"('mode_b_fixed_T_sparse_muB', 160.0, 0.0, -0.3)",sigma,0.028602788450277736,0.02860051308247454,2.2753678031971203e-06,7.955055875592529e-05
mode_b T=160 muB=0 xi=-0.3,"('mode_b_fixed_T_sparse_muB', 160.0, 0.0, -0.3)",sigma_over_T,0.03527563672445813,0.03527283052784623,2.8061966119014015e-06,7.955055875591732e-05
mode_b T=120 muB=0 xi=0.45,"('mode_b_fixed_T_sparse_muB', 120.0, 0.0, 0.45)",zeta,1.0552706194413448,1.0553545489299863,8.392948864144323e-05,7.953361639678275e-05
mode_b T=120 muB=0 xi=0.45,"('mode_b_fixed_T_sparse_muB', 120.0, 0.0, 0.45)",zeta_over_s,120.61517910198289,120.6247720633692,0.009592961386317711,7.953361639671108e-05
mode_b T=160 muB=900 xi=-0.05,"('mode_b_fixed_T_sparse_muB', 160.0, 900.0, -0.05)",tauinv_sbar,1.3478993587238655,1.34800640123685,0.00010704251298454537,7.941432147121779e-05
mode_b T=160 muB=900 xi=-0.05,"('mode_b_fixed_T_sparse_muB', 160.0, 900.0, -0.05)",tau_sbar,0.741895152281071,0.7418362398594397,5.891242163125199e-05,7.940801533763453e-05
mode_a muB=900 alpha_T=1.2 xi=0.45,"('mode_a_fixed_muB_phase_scaled', 900.0, 1.2, 0.45)",tau_s,3.6043636770225813,3.604649806643984,0.00028612962140250886,7.938422618853737e-05
mode_a muB=900 alpha_T=1.2 xi=0.45,"('mode_a_fixed_muB_phase_scaled', 900.0, 1.2, 0.45)",tauinv_s,0.27744148193893114,0.27741945920983213,2.2022729099013816e-05,7.937792483339365e-05
mode_b T=120 muB=450 xi=-0.15,"('mode_b_fixed_T_sparse_muB', 120.0, 450.0, -0.15)",tau_u,852.0654677642893,852.133006275014,0.06753851072471662,7.926446180471204e-05
mode_b T=120 muB=450 xi=-0.15,"('mode_b_fixed_T_sparse_muB', 120.0, 450.0, -0.15)",tau_d,852.0654677642893,852.133006275014,0.06753851072471662,7.926446180471204e-05
